DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,FORMA DE CONTRATACIÓN,TOTAL GIRO ENERO2024,OBSERVACIÓN
05120,ANTIOQUIA,CACERES,EPSS37,LA NUEVA EPS S.A.,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,Capitacion,5031000,
05120,ANTIOQUIA,CACERES,ESS024,COOSALUD,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,Capitacion,373041130,
05125,ANTIOQUIA,CAICEDO,EPSS40,SAVIA SALUD,800037244,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,Capitacion,149948543,
05129,ANTIOQUIA,CALDAS,EPSS37,LA NUEVA EPS S.A.,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,16678620,
05129,ANTIOQUIA,CALDAS,EPSS40,SAVIA SALUD,890907215,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE CALDAS,Capitacion,231929802,
05134,ANTIOQUIA,CAMPAMENTO,EPSS40,SAVIA SALUD,890985457,E.S.E. HOSPITAL LA SAGRADA FAMILIA,Capitacion,127518279,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS37,LA NUEVA EPS S.A.,890980784,E.S.E. HOSPITAL SAN CARLOS,Capitacion,17521690,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS40,SAVIA SALUD,890980784,E.S.E. HOSPITAL SAN CARLOS,Capitacion,227131020,
05142,ANTIOQUIA,CARACOLI,EPSS40,SAVIA SALUD,890981266,E.S.E. HOSPITAL SAN PIO X,Capitacion,56871290,
05145,ANTIOQUIA,CARAMANTA,EPSS40,SAVIA SALUD,890981163,E.S.E. HOSPITAL SAN ANTONIO,Capitacion,60272961,
05147,ANTIOQUIA,CAREPA,EPSS37,LA NUEVA EPS S.A.,811045925,SALUD DARIEN I.P.S. S.A.,Capitacion,39872089,
05147,ANTIOQUIA,CAREPA,EPSS40,SAVIA SALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,Capitacion,513953835,
05147,ANTIOQUIA,CAREPA,ESS024,COOSALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,Capitacion,42113790,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS10,EPS SURA,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,21312666,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS37,LA NUEVA EPS S.A.,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,90325696,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS40,SAVIA SALUD,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,225800814,
05154,ANTIOQUIA,CAUCASIA,EPSS37,LA NUEVA EPS S.A.,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,78493578,
05154,ANTIOQUIA,CAUCASIA,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,Capitacion,378927864,
05154,ANTIOQUIA,CAUCASIA,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,Capitacion,540095190,
05172,ANTIOQUIA,CHIGORODO,CCF033,COMFASUCRE,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,Capitacion,10830600,
05172,ANTIOQUIA,CHIGORODO,EPSI03,AIC,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,Capitacion,57207794,
05172,ANTIOQUIA,CHIGORODO,EPSS37,LA NUEVA EPS S.A.,811045925,SALUD DARIEN I.P.S. S.A.,Capitacion,56325822,
05172,ANTIOQUIA,CHIGORODO,EPSS40,SAVIA SALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,Capitacion,566945820,
05172,ANTIOQUIA,CHIGORODO,ESS024,COOSALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,Capitacion,39534312,
05190,ANTIOQUIA,CISNEROS,EPSS37,LA NUEVA EPS S.A.,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,Capitacion,19359740,
05190,ANTIOQUIA,CISNEROS,EPSS40,SAVIA SALUD,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,Capitacion,105580961,
05197,ANTIOQUIA,COCORNA,EPSS40,SAVIA SALUD,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,Capitacion,206553413,
05206,ANTIOQUIA,CONCEPCION,EPSS40,SAVIA SALUD,890980512,ESE HOSPITAL JOSE MARIA CORDOBA,Capitacion,41346718,
05209,ANTIOQUIA,CONCORDIA,EPSS40,SAVIA SALUD,890907297,ESE HOSPITAL SAN JUAN DE DIOS,Capitacion,247090812,
05212,ANTIOQUIA,COPACABANA,EPSS37,LA NUEVA EPS S.A.,890980949,ESE HOSPITAL SANTA MARGARITA,Capitacion,21052185,
05212,ANTIOQUIA,COPACABANA,EPSS40,SAVIA SALUD,890980949,ESE HOSPITAL SANTA MARGARITA,Capitacion,298991961,
05234,ANTIOQUIA,DABEIBA,EPSI03,AIC,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,Capitacion,129324037,
05234,ANTIOQUIA,DABEIBA,EPSS37,LA NUEVA EPS S.A.,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,Capitacion,10974348,
05234,ANTIOQUIA,DABEIBA,ESS024,COOSALUD,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,Capitacion,344705640,
05237,ANTIOQUIA,DON MATIAS,EPSS40,SAVIA SALUD,890905097,E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA,Capitacion,115712088,
05240,ANTIOQUIA,EBEJICO,EPSS40,SAVIA SALUD,890982370,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,Capitacion,131766000,
05250,ANTIOQUIA,EL BAGRE,EPSS40,SAVIA SALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,Capitacion,111692070,
05250,ANTIOQUIA,EL BAGRE,ESS024,COOSALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,Capitacion,445433786,
05264,ANTIOQUIA,ENTRERRIOS,EPSS37,LA NUEVA EPS S.A.,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,Capitacion,12240878,
05264,ANTIOQUIA,ENTRERRIOS,EPSS40,SAVIA SALUD,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,Capitacion,41896304,
05266,ANTIOQUIA,ENVIGADO,EPSS40,SAVIA SALUD,890906347,ESE HOSPITAL MANUEL URIBE ANGEL,Capitacion,319795886,
05282,ANTIOQUIA,FREDONIA,EPSS37,LA NUEVA EPS S.A.,890980181,ESE HOSPITAL DE SANTA LUCIA,Capitacion,26779392,
05282,ANTIOQUIA,FREDONIA,EPSS40,SAVIA SALUD,890980181,ESE HOSPITAL DE SANTA LUCIA,Capitacion,146588330,
05284,ANTIOQUIA,FRONTINO,EPSI03,AIC,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,Capitacion,68882625,
05284,ANTIOQUIA,FRONTINO,EPSS37,LA NUEVA EPS S.A.,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,Capitacion,12380187,
05284,ANTIOQUIA,FRONTINO,EPSS40,SAVIA SALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,Capitacion,50369347,
05284,ANTIOQUIA,FRONTINO,ESS024,COOSALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,Capitacion,234110483,
05306,ANTIOQUIA,GIRALDO,ESS024,COOSALUD,800193392,E.S.E. HOSPITAL SAN ISIDRO,Capitacion,61875000,
05308,ANTIOQUIA,GIRARDOTA,EPSS40,SAVIA SALUD,890980727,E.S.E. HOSPITAL SAN RAFAEL,Capitacion,239605566,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS40,SAVIA SALUD,890902151,E.S.E. HOSPITAL SANTA ISABEL,Capitacion,85894603,
05313,ANTIOQUIA,GRANADA,EPSS40,SAVIA SALUD,890981182,ESE HOSPITAL PADRE CLEMENTE GIRALDO,Capitacion,105493948,
05315,ANTIOQUIA,GUADALUPE,EPSS40,SAVIA SALUD,890981690,E.S.E. NUESTRA SEÑORA DE GUADALUPE,Capitacion,72714948,
05318,ANTIOQUIA,GUARNE,EPSS37,LA NUEVA EPS S.A.,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,Capitacion,38702328,
05318,ANTIOQUIA,GUARNE,EPSS40,SAVIA SALUD,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,Capitacion,212674210,
05321,ANTIOQUIA,GUATAPE,EPSS37,LA NUEVA EPS S.A.,890981817,E.S.E. HOSPITAL LA INMACULADA,Capitacion,14006160,
05321,ANTIOQUIA,GUATAPE,EPSS40,SAVIA SALUD,890981817,E.S.E. HOSPITAL LA INMACULADA,Capitacion,69066886,
05347,ANTIOQUIA,HELICONIA,EPSS40,SAVIA SALUD,890981074,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,Capitacion,54210040,
05353,ANTIOQUIA,HISPANIA,ESS024,COOSALUD,800068653,ESE HOSPITAL SAN JUAN DEL SUROESTE,Capitacion,39417818,
05360,ANTIOQUIA,ITAGUI,EPSS40,SAVIA SALUD,811017810,E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,Capitacion,844437915,
05361,ANTIOQUIA,ITUANGO,EPSS40,SAVIA SALUD,890980840,ESE HOSPITAL SAN JUAN DE DIOS,Capitacion,348585560,
05364,ANTIOQUIA,JARDIN,EPSI03,AIC,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,Capitacion,25833929,
05364,ANTIOQUIA,JARDIN,EPSS37,LA NUEVA EPS S.A.,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,Capitacion,21298200,
05364,ANTIOQUIA,JARDIN,EPSS40,SAVIA SALUD,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,Capitacion,160228200,
05368,ANTIOQUIA,JERICO,ESS024,COOSALUD,890980765,NUEVA ESE HOSPITAL SAN RAFAEL JERICO,Capitacion,120736213,
05376,ANTIOQUIA,LA CEJA,EPSS37,LA NUEVA EPS S.A.,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,35953478,
05376,ANTIOQUIA,LA CEJA,EPSS40,SAVIA SALUD,890980758,ESE HOSPITAL DE LA CEJA,Capitacion,120580280,
05380,ANTIOQUIA,LA ESTRELLA,EPSS37,LA NUEVA EPS S.A.,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,Capitacion,11843846,
05380,ANTIOQUIA,LA ESTRELLA,EPSS40,SAVIA SALUD,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,Capitacion,180066134,
05390,ANTIOQUIA,LA PINTADA,EPSS37,LA NUEVA EPS S.A.,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,Capitacion,17948440,
05390,ANTIOQUIA,LA PINTADA,EPSS40,SAVIA SALUD,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,Capitacion,88037325,
05400,ANTIOQUIA,LA UNION,EPSS40,SAVIA SALUD,890980866,E.S.E. HOSPITAL SAN ROQUE - LA UNION,Capitacion,157170509,
05411,ANTIOQUIA,LIBORINA,EPSS40,SAVIA SALUD,890982139,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO,Capitacion,149083684,
05425,ANTIOQUIA,MACEO,EPSS40,SAVIA SALUD,890906966,EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA,Capitacion,104842943,
05440,ANTIOQUIA,MARINILLA,EPSS37,LA NUEVA EPS S.A.,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,Capitacion,60701362,
05440,ANTIOQUIA,MARINILLA,EPSS40,SAVIA SALUD,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,Capitacion,379734488,
05467,ANTIOQUIA,MONTEBELLO,EPSS40,SAVIA SALUD,890981096,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,Capitacion,93350672,
05475,ANTIOQUIA,MURINDO,EPSS40,SAVIA SALUD,800165050,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,Capitacion,61622198,
05480,ANTIOQUIA,MUTATA,EPSI03,AIC,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,Capitacion,66358152,
05480,ANTIOQUIA,MUTATA,EPSS37,LA NUEVA EPS S.A.,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,Capitacion,35271159,
05480,ANTIOQUIA,MUTATA,EPSS40,SAVIA SALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,Capitacion,278550702,
05480,ANTIOQUIA,MUTATA,EPSS41,NUEVA EPSS,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,Capitacion,38978709,
05480,ANTIOQUIA,MUTATA,ESS024,COOSALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,Capitacion,23815952,
05483,ANTIOQUIA,NARIÑO,EPSS37,LA NUEVA EPS S.A.,890981652,E.S.E. HOSPITAL SAN JOAQUIN,Capitacion,5161500,
05483,ANTIOQUIA,NARIÑO,EPSS40,SAVIA SALUD,890981652,E.S.E. HOSPITAL SAN JOAQUIN,Capitacion,136869720,
05483,ANTIOQUIA,NARIÑO,ESS024,COOSALUD,890981652,E.S.E. HOSPITAL SAN JOAQUIN,Capitacion,12603135,
05490,ANTIOQUIA,NECOCLI,CCF033,COMFASUCRE,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,25938000,
05490,ANTIOQUIA,NECOCLI,EPSI03,AIC,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,44827984,
05490,ANTIOQUIA,NECOCLI,EPSS37,LA NUEVA EPS S.A.,811045925,SALUD DARIEN I.P.S. S.A.,Capitacion,30026579,
05490,ANTIOQUIA,NECOCLI,EPSS37,LA NUEVA EPS S.A.,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,111286464,
05490,ANTIOQUIA,NECOCLI,EPSS40,SAVIA SALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,512142950,
05490,ANTIOQUIA,NECOCLI,EPSS41,NUEVA EPSS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,368402835,
05490,ANTIOQUIA,NECOCLI,ESS024,COOSALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,159526080,
05495,ANTIOQUIA,NECHI,ESS024,COOSALUD,800138011,ESE HOSPITAL LA MISERICORDIA,Capitacion,578416828,
05501,ANTIOQUIA,OLAYA,EPSS40,SAVIA SALUD,800202398,ESE HOSPITAL SAN MIGUEL,Capitacion,33280324,
05541,ANTIOQUIA,PEÑOL,EPSS37,LA NUEVA EPS S.A.,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,76530564,
05541,ANTIOQUIA,PEÑOL,EPSS40,SAVIA SALUD,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,195008650,
05543,ANTIOQUIA,PEQUE,EPSS40,SAVIA SALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,Capitacion,54341014,
05543,ANTIOQUIA,PEQUE,ESS024,COOSALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,Capitacion,91733730,
05576,ANTIOQUIA,PUEBLORRICO,EPSS40,SAVIA SALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,Capitacion,21840584,
05576,ANTIOQUIA,PUEBLORRICO,ESS024,COOSALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,Capitacion,65161670,
05579,ANTIOQUIA,PUERTO BERRIO,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,Capitacion,319737196,
05579,ANTIOQUIA,PUERTO BERRIO,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,Capitacion,29398570,
05585,ANTIOQUIA,PUERTO NARE,EPSS37,LA NUEVA EPS S.A.,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,Capitacion,27287568,
05585,ANTIOQUIA,PUERTO NARE,EPSS40,SAVIA SALUD,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,Capitacion,90158588,
05585,ANTIOQUIA,PUERTO NARE,ESS024,COOSALUD,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,Capitacion,20780000,
05591,ANTIOQUIA,PUERTO TRIUNFO,EPSS40,SAVIA SALUD,890925336,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.,Capitacion,134707444,
