DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO JULIO 2023",OBSERVACIÓN
05034,ANTIOQUIA,ANDES,EPSS40,SAVIA SALUD,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,496346239,
05036,ANTIOQUIA,ANGELOPOLIS,EPSS37,NUEVA EPS,890980959,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,4720000,
05038,ANTIOQUIA,ANGOSTURA,ESS024,COOSALUD,890982183,E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA,150737997,
05040,ANTIOQUIA,ANORI,EPSS37,NUEVA EPS,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,6151080,
05040,ANTIOQUIA,ANORI,EPSS40,SAVIA SALUD,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,56787020,
05040,ANTIOQUIA,ANORI,ESS024,COOSALUD,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,220173390,
05042,ANTIOQUIA,ANTIOQUIA,EPSS37,NUEVA EPS,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,46114623,
05042,ANTIOQUIA,ANTIOQUIA,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,145462186,
05042,ANTIOQUIA,ANTIOQUIA,ESS024,COOSALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,162168544,
05044,ANTIOQUIA,ANZA,EPSS40,SAVIA SALUD,890397282,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,110392383,
05045,ANTIOQUIA,APARTADO,EPSS10,SURAMERICANA,900390423,PROMOTORA CLINICA ZONA FRANCA DE URABA SAS,303277535,
05045,ANTIOQUIA,APARTADO,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,173595799,
05045,ANTIOQUIA,APARTADO,EPSS40,SAVIA SALUD,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,849641148,
05051,ANTIOQUIA,ARBOLETES,CCF033,EPS FAMILIAR DE COLOMBIA,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,36292500,
05051,ANTIOQUIA,ARBOLETES,EPSS40,SAVIA SALUD,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,389660553,
05055,ANTIOQUIA,ARGELIA,EPSS40,SAVIA SALUD,890981851,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,130185694,
05059,ANTIOQUIA,ARMENIA,EPSS37,NUEVA EPS,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,1978494,
05059,ANTIOQUIA,ARMENIA,EPSS40,SAVIA SALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,12217095,
05059,ANTIOQUIA,ARMENIA,ESS024,COOSALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,33440068,
05079,ANTIOQUIA,BARBOSA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,16742712,
05079,ANTIOQUIA,BARBOSA,EPSS40,SAVIA SALUD,890905193,ESE HOSPITAL SAN VICENTE DE PAUL,337284995,
05086,ANTIOQUIA,BELMIRA,EPSS37,NUEVA EPS,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,3506624,
05086,ANTIOQUIA,BELMIRA,EPSS40,SAVIA SALUD,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,48885050,
05088,ANTIOQUIA,BELLO,EPSS40,SAVIA SALUD,800174995,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,1886630100,
05091,ANTIOQUIA,BETANIA,EPSS40,SAVIA SALUD,890981494,E.S.E. HOSPITAL SAN ANTONIO DE BETANIA,75206828,
05093,ANTIOQUIA,BETULIA,EPSS40,SAVIA SALUD,890982116,E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ,276860446,
05101,ANTIOQUIA,BOLIVAR,EPSS37,NUEVA EPS,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,31000320,
05101,ANTIOQUIA,BOLIVAR,EPSS40,SAVIA SALUD,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,154395105,
05101,ANTIOQUIA,BOLIVAR,ESS024,COOSALUD,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,175627881,
05107,ANTIOQUIA,BRICEÑO,EPSS40,SAVIA SALUD,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,29348800,
05107,ANTIOQUIA,BRICEÑO,ESS024,COOSALUD,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,85921056,
05113,ANTIOQUIA,BURITICA,EPSS37,NUEVA EPS,890983843,ESE HOSPITAL SAN ANTONIO,17891312,
05113,ANTIOQUIA,BURITICA,EPSS40,SAVIA SALUD,890983843,ESE HOSPITAL SAN ANTONIO,101036450,
05120,ANTIOQUIA,CACERES,EPSI03,A.I.C.,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,45286169,
05120,ANTIOQUIA,CACERES,EPSS37,NUEVA EPS,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,5009500,
05120,ANTIOQUIA,CACERES,ESS024,COOSALUD,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,337135788,
05125,ANTIOQUIA,CAICEDO,EPSS40,SAVIA SALUD,800037244,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,141734637,
05129,ANTIOQUIA,CALDAS,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,15805832,
05129,ANTIOQUIA,CALDAS,EPSS40,SAVIA SALUD,890907215,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE CALDAS,246933003,
05134,ANTIOQUIA,CAMPAMENTO,EPSS40,SAVIA SALUD,890985457,E.S.E. HOSPITAL LA SAGRADA FAMILIA,127633011,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS37,NUEVA EPS,890980784,E.S.E. HOSPITAL SAN CARLOS,18280410,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS40,SAVIA SALUD,890980784,E.S.E. HOSPITAL SAN CARLOS,224271220,
05142,ANTIOQUIA,CARACOLI,EPSS40,SAVIA SALUD,890981266,E.S.E. HOSPITAL SAN PIO X,56659530,
05145,ANTIOQUIA,CARAMANTA,EPSS40,SAVIA SALUD,890981163,E.S.E. HOSPITAL SAN ANTONIO,61355117,
05147,ANTIOQUIA,CAREPA,EPSS37,NUEVA EPS,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,32908404,
05147,ANTIOQUIA,CAREPA,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,45960564,
05147,ANTIOQUIA,CAREPA,EPSS40,SAVIA SALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,491473797,
05147,ANTIOQUIA,CAREPA,EPSS41,NUEVA EPS,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,38669970,
05147,ANTIOQUIA,CAREPA,ESS024,COOSALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,42113790,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS37,NUEVA EPS,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,85254444,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS40,SAVIA SALUD,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,224723712,
05154,ANTIOQUIA,CAUCASIA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,76033951,
05154,ANTIOQUIA,CAUCASIA,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,376124246,
05154,ANTIOQUIA,CAUCASIA,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,474808693,
05172,ANTIOQUIA,CHIGORODO,CCF033,EPS FAMILIAR DE COLOMBIA,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,11147400,
05172,ANTIOQUIA,CHIGORODO,EPSI03,A.I.C.,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,57207794,
05172,ANTIOQUIA,CHIGORODO,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,67686027,
05172,ANTIOQUIA,CHIGORODO,EPSS40,SAVIA SALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,567840669,
05172,ANTIOQUIA,CHIGORODO,ESS024,COOSALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,34123551,
05190,ANTIOQUIA,CISNEROS,EPSS37,NUEVA EPS,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,14843136,
05190,ANTIOQUIA,CISNEROS,EPSS40,SAVIA SALUD,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,91552864,
05197,ANTIOQUIA,COCORNA,EPSS37,NUEVA EPS,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,49102092,
05197,ANTIOQUIA,COCORNA,EPSS40,SAVIA SALUD,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,204457152,
05206,ANTIOQUIA,CONCEPCION,EPSS40,SAVIA SALUD,890980512,ESE HOSPITAL JOSE MARIA CORDOBA,41389035,
05209,ANTIOQUIA,CONCORDIA,EPSS40,SAVIA SALUD,890907297,ESE HOSPITAL SAN JUAN DE DIOS,245264487,
05212,ANTIOQUIA,COPACABANA,EPSS37,NUEVA EPS,890980949,ESE HOSPITAL SANTA MARGARITA,17064432,
05212,ANTIOQUIA,COPACABANA,EPSS40,SAVIA SALUD,890980949,ESE HOSPITAL SANTA MARGARITA,298483759,
05234,ANTIOQUIA,DABEIBA,EPSI03,A.I.C.,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,129324036,
05234,ANTIOQUIA,DABEIBA,EPSS37,NUEVA EPS,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,9590966,
05234,ANTIOQUIA,DABEIBA,ESS024,COOSALUD,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,339626368,
05237,ANTIOQUIA,DON MATIAS,EPSS40,SAVIA SALUD,890905097,E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA,115840800,
05240,ANTIOQUIA,EBEJICO,EPSS40,SAVIA SALUD,890982370,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,119263122,
05250,ANTIOQUIA,EL BAGRE,EPSS40,SAVIA SALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,108228750,
05250,ANTIOQUIA,EL BAGRE,ESS024,COOSALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,445433786,
05264,ANTIOQUIA,ENTRERRIOS,EPSS37,NUEVA EPS,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,12011218,
05264,ANTIOQUIA,ENTRERRIOS,EPSS40,SAVIA SALUD,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,43109093,
05266,ANTIOQUIA,ENVIGADO,EPSS40,SAVIA SALUD,890906347,ESE HOSPITAL MANUEL URIBE ANGEL,269573988,
05282,ANTIOQUIA,FREDONIA,EPSS37,NUEVA EPS,890980181,ESE HOSPITAL DE SANTA LUCIA,24080000,
05282,ANTIOQUIA,FREDONIA,EPSS40,SAVIA SALUD,890980181,ESE HOSPITAL DE SANTA LUCIA,126902987,
05284,ANTIOQUIA,FRONTINO,EPSS37,NUEVA EPS,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,9785610,
05284,ANTIOQUIA,FRONTINO,EPSS40,SAVIA SALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,43519935,
05284,ANTIOQUIA,FRONTINO,ESS024,COOSALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,229357627,
05306,ANTIOQUIA,GIRALDO,ESS024,COOSALUD,800193392,E.S.E. HOSPITAL SAN ISIDRO,61875000,
05308,ANTIOQUIA,GIRARDOTA,EPSS40,SAVIA SALUD,890980727,E.S.E. HOSPITAL SAN RAFAEL,240275597,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS37,NUEVA EPS,890902151,E.S.E. HOSPITAL SANTA ISABEL,11997970,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS40,SAVIA SALUD,890902151,E.S.E. HOSPITAL SANTA ISABEL,87036761,
05313,ANTIOQUIA,GRANADA,EPSS40,SAVIA SALUD,890981182,ESE HOSPITAL PADRE CLEMENTE GIRALDO,103877291,
05315,ANTIOQUIA,GUADALUPE,EPSS40,SAVIA SALUD,890981690,E.S.E. NUESTRA SEÑORA DE GUADALUPE,73210648,
05318,ANTIOQUIA,GUARNE,EPSS37,NUEVA EPS,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,35446992,
05318,ANTIOQUIA,GUARNE,EPSS40,SAVIA SALUD,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,211350792,
05321,ANTIOQUIA,GUATAPE,EPSS37,NUEVA EPS,890981817,E.S.E. HOSPITAL LA INMACULADA,12562822,
05321,ANTIOQUIA,GUATAPE,EPSS40,SAVIA SALUD,890981817,E.S.E. HOSPITAL LA INMACULADA,69121190,
05347,ANTIOQUIA,HELICONIA,EPSS40,SAVIA SALUD,890981074,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,50529596,
05353,ANTIOQUIA,HISPANIA,ESS024,COOSALUD,800068653,ESE HOSPITAL SAN JUAN DEL SUROESTE,35377541,
05360,ANTIOQUIA,ITAGUI,EPSS10,SURAMERICANA,800190884,CLINICA ANTIOQUIA S.A.,70527255,
05360,ANTIOQUIA,ITAGUI,EPSS40,SAVIA SALUD,811017810,E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,836952833,
05361,ANTIOQUIA,ITUANGO,EPSS37,NUEVA EPS,890980840,ESE HOSPITAL SAN JUAN DE DIOS,21272623,
05361,ANTIOQUIA,ITUANGO,EPSS40,SAVIA SALUD,890980840,ESE HOSPITAL SAN JUAN DE DIOS,349840860,
05364,ANTIOQUIA,JARDIN,EPSI03,A.I.C.,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,25833929,
05364,ANTIOQUIA,JARDIN,EPSS40,SAVIA SALUD,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,155650758,
05368,ANTIOQUIA,JERICO,ESS024,COOSALUD,890980765,NUEVA ESE HOSPITAL SAN RAFAEL JERICO,107531535,
05376,ANTIOQUIA,LA CEJA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,33048146,
05376,ANTIOQUIA,LA CEJA,EPSS40,SAVIA SALUD,890980758,ESE HOSPITAL DE LA CEJA,116045314,
05380,ANTIOQUIA,LA ESTRELLA,EPSS37,NUEVA EPS,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,9196914,
05380,ANTIOQUIA,LA ESTRELLA,EPSS40,SAVIA SALUD,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,177584545,
05390,ANTIOQUIA,LA PINTADA,EPSS37,NUEVA EPS,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,18128600,
05390,ANTIOQUIA,LA PINTADA,EPSS40,SAVIA SALUD,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,81955781,
05400,ANTIOQUIA,LA UNION,EPSS40,SAVIA SALUD,890980866,E.S.E. HOSPITAL SAN ROQUE - LA UNION,137366358,
05411,ANTIOQUIA,LIBORINA,EPSS40,SAVIA SALUD,890982139,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO,147083312,
05425,ANTIOQUIA,MACEO,EPSS40,SAVIA SALUD,890906966,EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA,105439150,
05440,ANTIOQUIA,MARINILLA,EPSS37,NUEVA EPS,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,54060236,
05440,ANTIOQUIA,MARINILLA,EPSS40,SAVIA SALUD,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,403276106,
05467,ANTIOQUIA,MONTEBELLO,EPSS40,SAVIA SALUD,890981096,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,92659976,
05475,ANTIOQUIA,MURINDO,EPSS40,SAVIA SALUD,800165050,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,59735508,
05480,ANTIOQUIA,MUTATA,EPSI03,A.I.C.,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,60283461,
05480,ANTIOQUIA,MUTATA,EPSS37,NUEVA EPS,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,46621904,
05480,ANTIOQUIA,MUTATA,EPSS40,SAVIA SALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,273231861,
05480,ANTIOQUIA,MUTATA,EPSS41,NUEVA EPS,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,18265863,
05480,ANTIOQUIA,MUTATA,ESS024,COOSALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,20037616,
05483,ANTIOQUIA,NARIÑO,EPSS40,SAVIA SALUD,890981652,E.S.E. HOSPITAL SAN JOAQUIN,139594728,
05490,ANTIOQUIA,NECOCLI,CCF033,EPS FAMILIAR DE COLOMBIA,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,26373600,
05490,ANTIOQUIA,NECOCLI,EPSI03,A.I.C.,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,62603081,
05490,ANTIOQUIA,NECOCLI,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,29313782,
05490,ANTIOQUIA,NECOCLI,EPSS37,NUEVA EPS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,343955109,
05490,ANTIOQUIA,NECOCLI,EPSS40,SAVIA SALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,515391965,
05490,ANTIOQUIA,NECOCLI,EPSS41,NUEVA EPS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,111987195,
05490,ANTIOQUIA,NECOCLI,ESS024,COOSALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,159526080,
05495,ANTIOQUIA,NECHI,ESS024,COOSALUD,800138011,ESE HOSPITAL LA MISERICORDIA,330825600,
05501,ANTIOQUIA,OLAYA,EPSS40,SAVIA SALUD,800202398,ESE HOSPITAL SAN MIGUEL,33689967,
05541,ANTIOQUIA,PEÑOL,EPSS37,NUEVA EPS,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,63808928,
05541,ANTIOQUIA,PEÑOL,EPSS40,SAVIA SALUD,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,190568692,
05543,ANTIOQUIA,PEQUE,EPSS40,SAVIA SALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,51307648,
05543,ANTIOQUIA,PEQUE,ESS024,COOSALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,90011578,
05576,ANTIOQUIA,PUEBLORRICO,EPSS40,SAVIA SALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,22045332,
05576,ANTIOQUIA,PUEBLORRICO,ESS024,COOSALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,57114072,
05579,ANTIOQUIA,PUERTO BERRIO,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,324093887,
05579,ANTIOQUIA,PUERTO BERRIO,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,24483521,
05585,ANTIOQUIA,PUERTO NARE,EPSS37,NUEVA EPS,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,26175303,
05585,ANTIOQUIA,PUERTO NARE,EPSS40,SAVIA SALUD,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,87433576,
05591,ANTIOQUIA,PUERTO TRIUNFO,EPSS40,SAVIA SALUD,890925336,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.,140080220,
05604,ANTIOQUIA,REMEDIOS,EPSS37,NUEVA EPS,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,33311518,
05604,ANTIOQUIA,REMEDIOS,EPSS40,SAVIA SALUD,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,123251068,
05604,ANTIOQUIA,REMEDIOS,ESS024,COOSALUD,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,275834129,
05607,ANTIOQUIA,RETIRO,EPSS37,NUEVA EPS,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,19379640,
05607,ANTIOQUIA,RETIRO,EPSS40,SAVIA SALUD,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,54120926,
05615,ANTIOQUIA,RIONEGRO,EPSS40,SAVIA SALUD,890907254,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,358043063,
05628,ANTIOQUIA,SABANALARGA,EPSS40,SAVIA SALUD,890982140,E.S.E. HOSPITAL SAN PEDRO,132988788,
05628,ANTIOQUIA,SABANALARGA,ESS024,COOSALUD,890982140,E.S.E. HOSPITAL SAN PEDRO,9273577,
05631,ANTIOQUIA,SABANETA,EPSS40,SAVIA SALUD,800123106,ESE HOSPITAL VENANCIO DIAZ DIAZ,158548962,
05642,ANTIOQUIA,SALGAR,EPSS40,SAVIA SALUD,890981424,E.S.E. HOSPITAL SAN JOSE,167686805,
05647,ANTIOQUIA,SAN ANDRES,EPSS40,SAVIA SALUD,890982113,EMPRESA SOCIAL DEL ESTADO HOSPITAL GUSTAVO GONZALEZ OCHOA,73113904,
05649,ANTIOQUIA,SAN CARLOS,EPSS37,NUEVA EPS,890981561,E.S.E. HOSPITAL SAN VICENTE DE PAÚL,13058280,
05649,ANTIOQUIA,SAN CARLOS,EPSS40,SAVIA SALUD,890981561,E.S.E. HOSPITAL SAN VICENTE DE PAÚL,140286570,
05652,ANTIOQUIA,SAN FRANCISCO,EPSS40,SAVIA SALUD,800133887,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS,102115093,
05656,ANTIOQUIA,SAN JERONIMO,EPSS37,NUEVA EPS,890981848,E.S.E. HOSPITAL SAN LUIS BELTRAN,28735986,
