COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,FORMA DE CONTRATACIÓN,"TOTAL GIRO 
ENERO 2024",OBSERVACIÓN
CCF033,COMFASUCRE,ONCOMEDICA S.A.S,Evento,812007194.0,160908000,
CCF033,COMFASUCRE,OPTIMUS HEALTH SAS,Evento,900874167.0,40567761,
CCF033,COMFASUCRE,ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.,Evento,800194798.0,295148470,
CCF033,COMFASUCRE,ORTOSALUD IPS,Evento,812005831.0,6384158,
CCF033,COMFASUCRE,PROMOTORA CLINICA ZONA FRANCA DE URABA SAS,Evento,900390423.0,33150711,
CCF033,COMFASUCRE,RADIOLOGIA E IMAGENES SAS,Evento,900025621.0,1307951,
CCF033,COMFASUCRE,RESONANCIA DE ALTA TECNOLOGIA DEL CARIBE SAS,Evento,900729157.0,7447086,
CCF033,COMFASUCRE,RESONANCIA E IMÁGENES SANTA MARIA S.A,Evento,830511549.0,45358375,
CCF033,COMFASUCRE,ROSARY HEALTH CARE SAS,Evento,901204233.0,10472008,
CCF033,COMFASUCRE,SEDARTE MEDICINA ESPECIALIZADA SAS,Evento,900772014.0,5203605,
CCF033,COMFASUCRE,SERVICIOS DE SALUD ESPECIALIZADOS S.A.S,Evento,900957139.0,3787105,
CCF033,COMFASUCRE,SERVICIOS MEDICOS INTEGRALES IPS S.A.S,Evento,901182802.0,519277336,
CCF033,COMFASUCRE,SOCIEDAD DE HEMODINAMIA SANTA MARIA S.A.S,Evento,900015779.0,67960521,
CCF033,COMFASUCRE,SOCIEDAD UNIDAD INTEGRAL DE SALUD MENTAL SION SAS,Evento,900552539.0,12810027,
CCF033,COMFASUCRE,SOLUCIONES INTEGRALES EN SALUD AURUM MEDICAL SAS,Evento,900618967.0,45690000,
CCF033,COMFASUCRE,UNIDAD DE CUIDADOS INTENSIVOS RENACER S.A.S,Evento,825003080.0,442373794,
CCF033,COMFASUCRE,UNIDAD DE DIAGNOSTICO CLINICO O IMAGENOLOGICO E.U.,Evento,900116275.0,11577651,
CCF033,COMFASUCRE,UNIDAD DE DIAGNOSTICO GINECOLOGICO Y PRENATAL SER MUJER S.A.S,Evento,900172745.0,5193117,
CCF033,COMFASUCRE,UNIDAD MATERNO INFANTIL TALAPUIN S.A.S.,Evento,900492815.0,23008794,
CCF033,COMFASUCRE,URMEDICAS VIP S.A.S,Evento,825003685.0,1846986,
CCF033,COMFASUCRE,VIA MEDICA SAS,Evento,900343468.0,2708123,
CCF033,COMFASUCRE,VISION TOTAL S.A.S,Evento,830504734.0,1682046,
CCF050,COMFAORIENTE,"ASOCIACION DE PATOLOGOS ""ASOPAT"" S.A.S",Evento,807005711.0,5457310,
CCF050,COMFAORIENTE,ASOCIACIÓN NIÑOS DE PAPEL,Evento,800099778.0,1679422,
CCF050,COMFAORIENTE,ASOCIACIÓN PROFAMILIA,Evento,860013779.0,38618070,
CCF050,COMFAORIENTE,ASOTAC SAN JOSE SA,Evento,800099886.0,5016065,
CCF050,COMFAORIENTE,"ATENCION EN REHABILITACION INTEGRAL S.A.S. ""ATERIN S.A.S.""",Evento,900222303.0,40212490,
CCF050,COMFAORIENTE,CARDIOLOGIA DIAGNOSTICA DEL NORTE S.A.S.- CARDINOR S.A.S.,Evento,900241448.0,38288260,
CCF050,COMFAORIENTE,CENTRO DE ATENCION MI RENACER S.A.S.,Evento,901254971.0,25886397,
CCF050,COMFAORIENTE,CENTRO DE ECO-RADIODIAGNOSTICOS S.A.S,Evento,900332743.0,89488451,
CCF050,COMFAORIENTE,CENTRO INTEGRAL DE ATENCION DIAGNOSTICA ESPECIALIZADA IPS SAS,Evento,900542979.0,608468223,
CCF050,COMFAORIENTE,CENTRO INTEGRAL DE DIAGNOSTICO MEDICO I.P.S. S.A.S.,Evento,900717202.0,41772756,
CCF050,COMFAORIENTE,CENTRO MEDICO LA SAMARITANA LTDA,Evento,807001041.0,3796058,
CCF050,COMFAORIENTE,CLINICA CARDIO VID,Evento,811046900.0,22262671,
CCF050,COMFAORIENTE,CLINICA DE CANCEROLOGIA DEL NORTE DE SANTANDER LTDA.,Evento,807002424.0,687399329,
CCF050,COMFAORIENTE,CLINICA LOS ANDES LTDA.,Evento,890503532.0,97451647,
CCF050,COMFAORIENTE,CLINICA OFTALMOLOGICA PEÑARANDA S.A.S,Evento,807002152.0,349004007,
CCF050,COMFAORIENTE,CLINICA SAN JOSE DE CUCUTA SA,Evento,800012189.0,808894501,
CCF050,COMFAORIENTE,CLINICA SANTA ANA S.A.,Evento,890500060.0,360133945,
CCF050,COMFAORIENTE,CLINICA Y DROGUERIA NTRA SRA DE TORCOROMA S.A.S.,Evento,890506459.0,165065627,
CCF050,COMFAORIENTE,CONFESALUD IPS LTDA.,Evento,900241734.0,9633521,
CCF050,COMFAORIENTE,COOPERATIVA MULTIACTIVA DE SERVICIOS INTEGRALES GESTIONARBIENESTAR,Evento,900101736.0,23047168,
CCF050,COMFAORIENTE,DISFARMA G.C. S.A.S.,Evento,900580962.0,992644054,
CCF050,COMFAORIENTE,DROGUERIA MAGRETH S.A.S.,Evento,900535099.0,242459151,
CCF050,COMFAORIENTE,DUMIAN MÉDICAL S.A.S,Evento,805027743.0,20572654,
CCF050,COMFAORIENTE,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,Evento,899999151.0,18462261,
CCF050,COMFAORIENTE,E.S.E. CENTRO DE REHABILITACION CARDIO NEURO MUSCULAR DEL NORTE DE SANTANDER,Evento,807002015.0,5060392,
CCF050,COMFAORIENTE,E.S.E. HOSPITAL EMIRO QUINTERO CAÑIZARES,Evento,890501438.0,842673881,
CCF050,COMFAORIENTE,E.S.E. HOSPITAL INTEGRADO SABANA DE TORRES,Evento,800064543.0,2904967,
CCF050,COMFAORIENTE,E.S.E. HOSPITAL LOCAL MUNICIPIO DE LOS PATIOS,Evento,807004393.0,3230011,
CCF050,COMFAORIENTE,E.S.E. HOSPITAL MARCO FIDEL SUAREZ,Evento,890985703.0,1594760,
CCF050,COMFAORIENTE,E.S.E. HOSPITAL MENTAL RUDESINDO SOTO,Evento,890500810.0,189894113,
CCF050,COMFAORIENTE,E.S.E. HOSPITAL REGIONAL SURORIENTAL-CHINACOTA,Evento,807008827.0,2308958,
CCF050,COMFAORIENTE,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE PAIPA,Evento,891855209.0,1044870,
CCF050,COMFAORIENTE,E.S.E. HOSPITAL UNIVERSITARIO ERASMO MEOZ,Evento,800014918.0,1355840478,
CCF050,COMFAORIENTE,E.S.E. SOR TERESA ADELE,Evento,900211460.0,1000000,
CCF050,COMFAORIENTE,E.S.E.HOSPITAL LOCAL VILLA DEL ROSARIO,Evento,807004631.0,2475093,
CCF050,COMFAORIENTE,ECOIMAGEN SALUD S.A.S.,Evento,900704446.0,236186287,
CCF050,COMFAORIENTE,"EMPRESA SOCIAL DEL ESTADO DEL DEPARTAMENTO DEL META ESE ""SOLUCION SALUD""",Evento,822006595.0,2040250,
CCF050,COMFAORIENTE,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE DUITAMA,Evento,891855438.0,8297628,
CCF050,COMFAORIENTE,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL NOROCCIDENTAL,Evento,807008842.0,4066166,
CCF050,COMFAORIENTE,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE FLORIDABLANCA,Evento,890202024.0,4277706,
CCF050,COMFAORIENTE,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE SANTANDER,Evento,900006037.0,324689531,
CCF050,COMFAORIENTE,EMPRESA SOCIAL DEL ESTADO IMSALUD,Evento,807004352.0,12815449,
CCF050,COMFAORIENTE,EMPRESA SOCIAL DEL ESTADO INSTITUTO DE SALUD DE BUCARAMANGA,Evento,800084206.0,4167733,
CCF050,COMFAORIENTE,ESE HOSPITAL CESAR URIBE PIEDRAHITA,Evento,890980757.0,1979409,
CCF050,COMFAORIENTE,ESE HOSPITAL JUAN LUIS LONDOÑO,Evento,807004665.0,2417571,
CCF050,COMFAORIENTE,ESE HOSPITAL LOCAL CURUMANI CRISTIAN MORENO PALLARES,Evento,824000426.0,2579533,
CCF050,COMFAORIENTE,ESE HOSPITAL LOCAL DE RIO DE ORO,Evento,824000449.0,1046315,
CCF050,COMFAORIENTE,ESE HOSPITAL REGIONAL DE AGUACHICA JOSE DAVID PADILLA VILLAFAÑE,Evento,892300445.0,4947991,
CCF050,COMFAORIENTE,ESE HOSPITAL REGIONAL NORTE,Evento,807008857.0,2571329,
CCF050,COMFAORIENTE,ESE HOSPITAL SAN JUAN DE DIOS DE PAMPLONA,Evento,890501019.0,65973479,
CCF050,COMFAORIENTE,ESE MORENO Y CLAVIJO,Evento,900034131.0,1554655,
CCF050,COMFAORIENTE,FUNDACION CARDIOVASCULAR DE COLOMBIA,Evento,890212568.0,1013695171,
CCF050,COMFAORIENTE,GASTROQUIRURGICA S.A.S.,Evento,900075758.0,151601579,
CCF050,COMFAORIENTE,HELP TRAUMA SALUD Y ORTOPEDIA IPS SAS,Evento,901220248.0,22423380,
CCF050,COMFAORIENTE,HOSPICLINIC DE COLOMBIA S.A.S.,Evento,900309444.0,197885246,
CCF050,COMFAORIENTE,HOSPITAL DEPARTAMENTAL DE VILLAVICENCIO E.S.E.,Evento,892000501.0,13173317,
CCF050,COMFAORIENTE,HOSPITAL REGIONAL DE SOGAMOSO EMPRESA SOCIAL DEL ESTADO,Evento,891855039.0,1282650,
CCF050,COMFAORIENTE,HOSPITAL ROSARIO PUMAREJO DE LOPEZ - EMPRESA SOCIAL DEL ESTADO,Evento,892399994.0,5965344,
CCF050,COMFAORIENTE,IMAGEN DENTAL INTEGRAL IPS S.A.S.,Evento,901315238.0,152802485,
CCF050,COMFAORIENTE,INSTITUCION PRESTADORA DE SERVICIOS DE SALUD DOMICILIARIOS SANARTE CLÍNICA DE HERIDAS Y OSTOMIAS S.A.S.,Evento,900900693.0,51494350,
CCF050,COMFAORIENTE,INSTITUTO NACIONAL DE CANCEROLOGIA,Evento,899999092.0,80723705,
CCF050,COMFAORIENTE,INSTITUTO NEUROLOGICO INFANTIL S.A.S.,Evento,900386919.0,110506016,
CCF050,COMFAORIENTE,IPS CLINICAL HOUSE S.A.S.,Evento,900752620.0,235245994,
CCF050,COMFAORIENTE,LABORATORIO CLINICO ESPECIALIZADO LTDA,Evento,807000832.0,16519841,
CCF050,COMFAORIENTE,MEDICAL DUARTE ZF S.A.S,Evento,900470642.0,2169321391,
CCF050,COMFAORIENTE,MIRED BARRANQUILLA IPS S.A.S.,Evento,901139193.0,4840512,
CCF050,COMFAORIENTE,NEUMOLOGIA Y SERVICIOS DE REHABILITACION S.A.S,Evento,901127399.0,38251090,
CCF050,COMFAORIENTE,NEUROALIADOS MEDICINA ESPECIALIZADA S.A.S.,Evento,900471992.0,98005743,
CCF050,COMFAORIENTE,NEUROCOOP REHABILITACION FISICA Y MEDICA INTEGRAL,Evento,900301770.0,400340754,
CCF050,COMFAORIENTE,NUCLEAR SAN JOSE S.A.,Evento,800106375.0,30296665,
CCF050,COMFAORIENTE,ODONTOCUCUTA S.A,Evento,800165163.0,5463555,
CCF050,COMFAORIENTE,ONCOMEDICAL I.P.S. S.A.S,Evento,900037353.0,547402700,
CCF050,COMFAORIENTE,OPTICA CIENTIFICA Y CIA LTDA,Evento,890505755.0,10359600,
CCF050,COMFAORIENTE,PIEL MEDICALSPA CENTRO DERMATOLOGICO IPS SAS,Evento,900315341.0,28173930,
CCF050,COMFAORIENTE,RADIOTERAPIA DEL NORTE LTDA.,Evento,807003768.0,85157107,
CCF050,COMFAORIENTE,RED SALUD INTEGRAL IPS S.A.S.,Evento,901313049.0,4085000,
CCF050,COMFAORIENTE,RTS S.A.S,Evento,805011262.0,206007093,
CCF050,COMFAORIENTE,SANAMEDIC SOCIEDAD POR ACCIONES SIMPLIFICADA - S.A.S,Evento,900155231.0,21579711,
CCF050,COMFAORIENTE,SERVICIOS ESPECIALIZADOS FCB S.A.S,Evento,900017916.0,55285123,
CCF050,COMFAORIENTE,SERVICIOS INTEGRALES DE SALUD LTDA -SERINSA,Evento,807001311.0,83841700,
CCF050,COMFAORIENTE,SERVICIOS VIVIR S.A.S.,Evento,900395846.0,21606190,
CCF050,COMFAORIENTE,SERVIMOS AMBULANCIAS DE COLOMBIA IPS S.A.S.,Evento,900595259.0,16497075,
CCF050,COMFAORIENTE,SOLUCIONES MEDICAS AVANZADAS S.A.S,Evento,901417815.0,3226754,
CCF050,COMFAORIENTE,SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E,Evento,900959051.0,3193689,
CCF050,COMFAORIENTE,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE E.S.E,Evento,900959048.0,1276667,
CCF050,COMFAORIENTE,TRANSPORTE SALUD IMÁGENES TRANSALIM LTDA,Evento,900041610.0,116620318,
CCF050,COMFAORIENTE,UCIS DE COLOMBIA S.A.S.,Evento,901383010.0,896939973,
CCF050,COMFAORIENTE,UNIDAD DE HEMODINAMIA Y TERAPIA ENDOVASCULAR DEL NORTE DE SANTANDER S.A.S,Evento,901222235.0,4665227,
CCF050,COMFAORIENTE,UNIDAD DE MEDICINA MATERNOFETAL NORFETUS SOCIEDAD POR ACCIONES SIMPLIFICADA,Evento,900635297.0,34458315,
CCF050,COMFAORIENTE,UNIDAD HEMATO ONCOLOGICA ESPECIALIZADA IPS SAS,Evento,900112351.0,437972684,
CCF050,COMFAORIENTE,UROLOGOS DEL NORTE DE SANTANDER URONORTE S.A.,Evento,807000799.0,101694282,
CCF050,COMFAORIENTE,VIDAMEDICAL IPS S.A.S.,Evento,900225631.0,226040600,
CCF050,COMFAORIENTE,VITAL MEDICAL CARE VIMEC S.A.S,Evento,900307987.0,303812387,
CCF055,CAJACOPI,AMANECER MEDICO SAS,Evento,805010659.0,3713598,
CCF055,CAJACOPI,AMBULANCIAS AB IPS S.A.S,Evento,900803163.0,50000000,
CCF055,CAJACOPI,AMBULANCIAS DEL LLANO SAS,Evento,822007837.0,100000006,
CCF055,CAJACOPI,AMBULANCIAS MEDICAS DEL ATLANTICO S.A.S.,Evento,900078998.0,80000000,
CCF055,CAJACOPI,AMBULANCIAS PROYECTAR SAS,Evento,900412760.0,36043017,
CCF055,CAJACOPI,ANASHIWAYA IPSI,Evento,900177624.0,229490319,
CCF055,CAJACOPI,ASESORÍA DE ATENCIÓN INTEGRAL EN SALUD IPS SAS,Evento,900681399.0,349999995,
CCF055,CAJACOPI,ASISTENCIA MEDICA DOMICILIARIA DEL CESAR SAS,Evento,901275328.0,150000006,
CCF055,CAJACOPI,ASOCIACION DE CABILDOS Y/O AUTORIDADES TRADICIONALES DE LA GUAJIRA,Evento,839000145.0,33833871,
CCF055,CAJACOPI,ASOCIACION MEDICA DE MEDICINA NUCLEAR LTDA NUCLEAR 2000 LTDA,Evento,800197424.0,39999998,
CCF055,CAJACOPI,ASOCIACIÓN PROFAMILIA,Evento,860013779.0,273514035,
CCF055,CAJACOPI,AUDIFARMA S.A.,Evento,816001182.0,1200000000,
CCF055,CAJACOPI,AVANCEMOS CENTRO DE REHABILITACION S.A.S,Evento,900604748.0,2418224,
CCF055,CAJACOPI,BEHAVIORAL CENTER IPS S.A.S.,Evento,900520007.0,260000000,
CCF055,CAJACOPI,CAD VIDA IPS S.A.S,Evento,900500653.0,245699999,
CCF055,CAJACOPI,CAJA DE COMPENSACION FAMILIAR DE LA GUAJIRA,Evento,892115006.0,27871524,
CCF055,CAJACOPI,CARDENAS VISION S.A.S,Evento,900012660.0,48683135,
CCF055,CAJACOPI,CARVAJAL LABORATORIOS I.P.S. S.A.S.,Evento,900152996.0,111809046,
CCF055,CAJACOPI,CASA DE PASO KAMANES S.A.S,Evento,900757147.0,20000000,
CCF055,CAJACOPI,CCICOL S.A.S,Evento,900424844.0,59999688,
CCF055,CAJACOPI,CENTRO AMBULATORIO DE REHABILITACION INTEGRAL DEL CARIBE S.A.S.,Evento,900852997.0,597569891,
CCF055,CAJACOPI,CENTRO AVANZADO DE ATENCIÓN EN TRATAMIENTO DE HERIDAS,Evento,901073066.0,7097922,
CCF055,CAJACOPI,CENTRO DE ALERGIA ASMA E INMUNOLOGIA S.A.S.,Evento,802022337.0,25000000,
CCF055,CAJACOPI,CENTRO DE CANCEROLOGÍA DE BOYACÁ SAS.,Evento,820001277.0,228121483,
CCF055,CAJACOPI,CENTRO DE CIRUGIA OCULAR LTDA,Evento,891702882.0,60000001,
CCF055,CAJACOPI,CENTRO DE DIAGNOSTICO AVANZADO SAS,Evento,900669601.0,75813956,
CCF055,CAJACOPI,CENTRO DE DIALISIS SANTA MARGARITA,Evento,800235973.0,150000104,
CCF055,CAJACOPI,CENTRO DE ESPECIALIDADES ODONTOLOGICAS INNOVADENT'S,Evento,901076925.0,7050627,
CCF055,CAJACOPI,CENTRO DE FISIOTERAPIA REHABILITAR DRA. MARTA CANTILLO MARTINEZ S.A.S.,Evento,900118990.0,50000002,
CCF055,CAJACOPI,CENTRO DE IMÁGENES DIAGNOSTICAS SANTA MARTA S.A.S,Evento,819002228.0,2867651,
CCF055,CAJACOPI,CENTRO DE IMÁGENES ESPECIALIZADAS- CIME SAS.,Evento,900261422.0,1216500,
CCF055,CAJACOPI,CENTRO DE NEUROCIENCIAS DEL CARIBE SAS,Evento,901533865.0,64999996,
CCF055,CAJACOPI,CENTRO DE OTORRINOLARINGOLOGIA Y FONOAUDIOLOGIA DE LA SABANA S.A.S,Evento,900862842.0,39138827,
CCF055,CAJACOPI,CENTRO DE RADIOLOGIA ELISA CLARA R. F. S.A.S.,Evento,900437964.0,77288189,
CCF055,CAJACOPI,CENTRO DE REHABILITACION FISICA LUCY ORDOÑEZ SAS,Evento,806015513.0,10000001,
CCF055,CAJACOPI,CENTRO DE REHABILITACION INTEGRAL FISIOVITAL,Evento,900354649.0,50000000,
CCF055,CAJACOPI,CENTRO DE REHABILITACION INTEGRAL FUNDACION PASOS,Evento,900353345.0,30000000,
CCF055,CAJACOPI,CENTRO DE REHABILITACION INTEGRAL ROSALIA MENA S.A.S,Evento,900274057.0,1941241,
