DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,TOTAL GIRO ENERO 2023,OBSERVACIÓN
05042,ANTIOQUIA,ANTIOQUIA,EPSS37,LA NUEVA EPS S.A.,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,34671168,
05042,ANTIOQUIA,ANTIOQUIA,EPSS40,SAVIA SALUD,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,125834162,
05042,ANTIOQUIA,ANTIOQUIA,ESS024,COOSALUD EPS S.A.,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,194550369,
05044,ANTIOQUIA,ANZA,EPSS40,SAVIA SALUD,890397282,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,97378703,
05045,ANTIOQUIA,APARTADO,EPSS10,SURAMERICANA,900390423,PROMOTORA CLINICA ZONA FRANCA DE URABA SAS,263010677,
05045,ANTIOQUIA,APARTADO,EPSS37,LA NUEVA EPS S.A.,811045925,SALUD DARIEN I.P.S. S.A.,153429580,
05045,ANTIOQUIA,APARTADO,EPSS40,SAVIA SALUD,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,801370008,
05051,ANTIOQUIA,ARBOLETES,EPSS37,LA NUEVA EPS S.A.,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,61827900,
05051,ANTIOQUIA,ARBOLETES,EPSS40,SAVIA SALUD,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,373630250,
05051,ANTIOQUIA,ARBOLETES,EPSS41,NUEVA EPS,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,56116500,
05055,ANTIOQUIA,ARGELIA,EPSS40,SAVIA SALUD,890981851,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,115590582,
05059,ANTIOQUIA,ARMENIA,EPSS37,LA NUEVA EPS S.A.,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,2172464,
05059,ANTIOQUIA,ARMENIA,EPSS40,SAVIA SALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,11527083,
05059,ANTIOQUIA,ARMENIA,ESS024,COOSALUD EPS S.A.,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,37010444,
05079,ANTIOQUIA,BARBOSA,EPSS37,LA NUEVA EPS S.A.,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,12984216,
05079,ANTIOQUIA,BARBOSA,EPSS40,SAVIA SALUD,890905193,ESE HOSPITAL SAN VICENTE DE PAUL,293532388,
05086,ANTIOQUIA,BELMIRA,EPSS37,LA NUEVA EPS S.A.,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,2928828,
05086,ANTIOQUIA,BELMIRA,EPSS40,SAVIA SALUD,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,47410079,
05088,ANTIOQUIA,BELLO,EPSS40,SAVIA SALUD,800174995,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,1572963741,
05091,ANTIOQUIA,BETANIA,EPSS40,SAVIA SALUD,890981494,E.S.E. HOSPITAL SAN ANTONIO DE BETANIA,65472439,
05093,ANTIOQUIA,BETULIA,EPSS40,SAVIA SALUD,890982116,E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ,265054947,
05101,ANTIOQUIA,BOLIVAR,EPSS37,LA NUEVA EPS S.A.,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,24820128,
05101,ANTIOQUIA,BOLIVAR,EPSS40,SAVIA SALUD,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,145982665,
05101,ANTIOQUIA,BOLIVAR,ESS024,COOSALUD EPS S.A.,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,199371546,
05107,ANTIOQUIA,BRICEÑO,EPSS40,SAVIA SALUD,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,26152009,
05107,ANTIOQUIA,BRICEÑO,ESS024,COOSALUD EPS S.A.,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,84040074,
05113,ANTIOQUIA,BURITICA,EPSS37,LA NUEVA EPS S.A.,890983843,ESE HOSPITAL SAN ANTONIO,17988972,
05113,ANTIOQUIA,BURITICA,EPSS40,SAVIA SALUD,890983843,ESE HOSPITAL SAN ANTONIO,86766414,
05120,ANTIOQUIA,CACERES,EPSI03,A.I.C.,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,42289799,
05120,ANTIOQUIA,CACERES,ESS024,COOSALUD EPS S.A.,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,353141982,
05125,ANTIOQUIA,CAICEDO,EPSS40,SAVIA SALUD,800037244,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,129286197,
05129,ANTIOQUIA,CALDAS,EPSS37,LA NUEVA EPS S.A.,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,14084168,
05129,ANTIOQUIA,CALDAS,EPSS40,SAVIA SALUD,890907215,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE CALDAS,244400981,
05134,ANTIOQUIA,CAMPAMENTO,EPSS40,SAVIA SALUD,890985457,E.S.E. HOSPITAL LA SAGRADA FAMILIA,115069590,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS37,LA NUEVA EPS S.A.,890980784,E.S.E. HOSPITAL SAN CARLOS,14218800,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS40,SAVIA SALUD,890980784,E.S.E. HOSPITAL SAN CARLOS,198333282,
05142,ANTIOQUIA,CARACOLI,EPSS40,SAVIA SALUD,890981266,E.S.E. HOSPITAL SAN PIO X,50681692,
05145,ANTIOQUIA,CARAMANTA,EPSS40,SAVIA SALUD,890981163,E.S.E. HOSPITAL SAN ANTONIO,58933171,
05147,ANTIOQUIA,CAREPA,EPSS37,LA NUEVA EPS S.A.,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,27129735,
05147,ANTIOQUIA,CAREPA,EPSS37,LA NUEVA EPS S.A.,811045925,SALUD DARIEN I.P.S. S.A.,42262929,
05147,ANTIOQUIA,CAREPA,EPSS40,SAVIA SALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,457772245,
05147,ANTIOQUIA,CAREPA,EPSS41,NUEVA EPS,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,12605210,
05147,ANTIOQUIA,CAREPA,ESS024,COOSALUD EPS S.A.,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,46241898,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS37,LA NUEVA EPS S.A.,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,40585732,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS40,SAVIA SALUD,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,195748685,
05154,ANTIOQUIA,CAUCASIA,EPSS37,LA NUEVA EPS S.A.,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,48709626,
05154,ANTIOQUIA,CAUCASIA,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,315405579,
05154,ANTIOQUIA,CAUCASIA,ESS024,COOSALUD EPS S.A.,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,461830611,
05172,ANTIOQUIA,CHIGORODO,EPSI03,A.I.C.,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,49383239,
05172,ANTIOQUIA,CHIGORODO,EPSS37,LA NUEVA EPS S.A.,811045925,SALUD DARIEN I.P.S. S.A.,63453794,
05172,ANTIOQUIA,CHIGORODO,EPSS37,LA NUEVA EPS S.A.,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,33356501,
05172,ANTIOQUIA,CHIGORODO,EPSS40,SAVIA SALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,524006010,
05172,ANTIOQUIA,CHIGORODO,EPSS41,NUEVA EPS,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,45147718,
05172,ANTIOQUIA,CHIGORODO,ESS024,COOSALUD EPS S.A.,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,41793477,
05190,ANTIOQUIA,CISNEROS,EPSS40,SAVIA SALUD,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,92300015,
05197,ANTIOQUIA,COCORNA,EPSS37,LA NUEVA EPS S.A.,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,16565340,
05197,ANTIOQUIA,COCORNA,EPSS40,SAVIA SALUD,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,176348965,
05206,ANTIOQUIA,CONCEPCION,EPSS40,SAVIA SALUD,890980512,ESE HOSPITAL JOSE MARIA CORDOBA,33188722,
05209,ANTIOQUIA,CONCORDIA,EPSS40,SAVIA SALUD,890907297,ESE HOSPITAL SAN JUAN DE DIOS,219417888,
05212,ANTIOQUIA,COPACABANA,EPSS37,LA NUEVA EPS S.A.,890980949,ESE HOSPITAL SANTA MARGARITA,15546168,
05212,ANTIOQUIA,COPACABANA,EPSS40,SAVIA SALUD,890980949,ESE HOSPITAL SANTA MARGARITA,259377809,
05234,ANTIOQUIA,DABEIBA,EPSI03,A.I.C.,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,108075610,
05234,ANTIOQUIA,DABEIBA,EPSS37,LA NUEVA EPS S.A.,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,9101848,
05234,ANTIOQUIA,DABEIBA,EPSS41,NUEVA EPS,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,1127098,
05234,ANTIOQUIA,DABEIBA,ESS024,COOSALUD EPS S.A.,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,314937704,
05237,ANTIOQUIA,DON MATIAS,EPSS40,SAVIA SALUD,890905097,E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA,100275627,
05240,ANTIOQUIA,EBEJICO,EPSS40,SAVIA SALUD,890982370,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,114158748,
05250,ANTIOQUIA,EL BAGRE,EPSS40,SAVIA SALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,92460449,
05250,ANTIOQUIA,EL BAGRE,ESS024,COOSALUD EPS S.A.,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,389734261,
05264,ANTIOQUIA,ENTRERRIOS,EPSS37,LA NUEVA EPS S.A.,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,9346007,
05264,ANTIOQUIA,ENTRERRIOS,EPSS40,SAVIA SALUD,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,37483232,
05266,ANTIOQUIA,ENVIGADO,EPSS40,SAVIA SALUD,890906347,ESE HOSPITAL MANUEL URIBE ANGEL,272343489,
05282,ANTIOQUIA,FREDONIA,EPSS37,LA NUEVA EPS S.A.,890980181,ESE HOSPITAL DE SANTA LUCIA,21540000,
05282,ANTIOQUIA,FREDONIA,EPSS40,SAVIA SALUD,890980181,ESE HOSPITAL DE SANTA LUCIA,127177482,
05284,ANTIOQUIA,FRONTINO,EPSI03,A.I.C.,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,57655832,
05284,ANTIOQUIA,FRONTINO,EPSS37,LA NUEVA EPS S.A.,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,9705070,
05284,ANTIOQUIA,FRONTINO,EPSS40,SAVIA SALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,44517031,
05284,ANTIOQUIA,FRONTINO,ESS024,COOSALUD EPS S.A.,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,229725422,
05308,ANTIOQUIA,GIRARDOTA,EPSS40,SAVIA SALUD,890980727,E.S.E. HOSPITAL SAN RAFAEL,214129953,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS37,LA NUEVA EPS S.A.,890902151,E.S.E. HOSPITAL SANTA ISABEL,10776140,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS40,SAVIA SALUD,890902151,E.S.E. HOSPITAL SANTA ISABEL,78015697,
05313,ANTIOQUIA,GRANADA,EPSS40,SAVIA SALUD,890981182,ESE HOSPITAL PADRE CLEMENTE GIRALDO,91990281,
05315,ANTIOQUIA,GUADALUPE,EPSS37,LA NUEVA EPS S.A.,890981690,E.S.E. NUESTRA SEÑORA DE GUADALUPE,8109200,
05315,ANTIOQUIA,GUADALUPE,EPSS40,SAVIA SALUD,890981690,E.S.E. NUESTRA SEÑORA DE GUADALUPE,66263430,
05318,ANTIOQUIA,GUARNE,EPSS40,SAVIA SALUD,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,187182254,
05321,ANTIOQUIA,GUATAPE,EPSS37,LA NUEVA EPS S.A.,890981817,E.S.E. HOSPITAL LA INMACULADA,10731984,
05321,ANTIOQUIA,GUATAPE,EPSS40,SAVIA SALUD,890981817,E.S.E. HOSPITAL LA INMACULADA,58717275,
05347,ANTIOQUIA,HELICONIA,EPSS40,SAVIA SALUD,890981074,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,49567531,
05353,ANTIOQUIA,HISPANIA,ESS024,COOSALUD EPS S.A.,800068653,ESE HOSPITAL SAN JUAN DEL SUROESTE,39665097,
05360,ANTIOQUIA,ITAGUI,EPSS10,SURAMERICANA,800190884,CLINICA ANTIOQUIA S.A.,53254741,
05360,ANTIOQUIA,ITAGUI,EPSS40,SAVIA SALUD,811017810,E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,737930887,
05361,ANTIOQUIA,ITUANGO,EPSS37,LA NUEVA EPS S.A.,890980840,ESE HOSPITAL SAN JUAN DE DIOS,17104757,
05361,ANTIOQUIA,ITUANGO,EPSS40,SAVIA SALUD,890980840,ESE HOSPITAL SAN JUAN DE DIOS,315341500,
05364,ANTIOQUIA,JARDIN,EPSI03,A.I.C.,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,22362541,
05364,ANTIOQUIA,JARDIN,EPSS40,SAVIA SALUD,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,138314646,
05368,ANTIOQUIA,JERICO,ESS024,COOSALUD EPS S.A.,890980765,NUEVA ESE HOSPITAL SAN RAFAEL JERICO,128948307,
05376,ANTIOQUIA,LA CEJA,EPSS37,LA NUEVA EPS S.A.,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,17867556,
05376,ANTIOQUIA,LA CEJA,EPSS40,SAVIA SALUD,890980758,ESE HOSPITAL DE LA CEJA,105388041,
05380,ANTIOQUIA,LA ESTRELLA,EPSS37,LA NUEVA EPS S.A.,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,8484477,
05380,ANTIOQUIA,LA ESTRELLA,EPSS40,SAVIA SALUD,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,153749553,
05390,ANTIOQUIA,LA PINTADA,EPSS40,SAVIA SALUD,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,79082847,
05400,ANTIOQUIA,LA UNION,EPSS37,LA NUEVA EPS S.A.,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,10150056,
05400,ANTIOQUIA,LA UNION,EPSS40,SAVIA SALUD,890980866,E.S.E. HOSPITAL SAN ROQUE - LA UNION,139606426,
05411,ANTIOQUIA,LIBORINA,EPSS40,SAVIA SALUD,890982139,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO,129464970,
05425,ANTIOQUIA,MACEO,EPSS40,SAVIA SALUD,890906966,EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA,92432030,
05440,ANTIOQUIA,MARINILLA,EPSS37,LA NUEVA EPS S.A.,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,40122852,
05440,ANTIOQUIA,MARINILLA,EPSS40,SAVIA SALUD,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,304403807,
05467,ANTIOQUIA,MONTEBELLO,EPSS40,SAVIA SALUD,890981096,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,82008948,
05475,ANTIOQUIA,MURINDO,EPSI03,A.I.C.,800165050,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,49267451,
05475,ANTIOQUIA,MURINDO,EPSS40,SAVIA SALUD,800165050,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,54111533,
05480,ANTIOQUIA,MUTATA,EPSI03,A.I.C.,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,55771086,
05480,ANTIOQUIA,MUTATA,EPSS37,LA NUEVA EPS S.A.,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,32243417,
05480,ANTIOQUIA,MUTATA,EPSS40,SAVIA SALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,248103800,
05480,ANTIOQUIA,MUTATA,EPSS41,NUEVA EPS,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,13907964,
05480,ANTIOQUIA,MUTATA,ESS024,COOSALUD EPS S.A.,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,22629240,
05483,ANTIOQUIA,NARIÑO,EPSS37,LA NUEVA EPS S.A.,890981652,E.S.E. HOSPITAL SAN JOAQUIN,4791500,
05483,ANTIOQUIA,NARIÑO,EPSS40,SAVIA SALUD,890981652,E.S.E. HOSPITAL SAN JOAQUIN,125527343,
05490,ANTIOQUIA,NECOCLI,EPSI03,A.I.C.,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,56293934,
05490,ANTIOQUIA,NECOCLI,EPSS37,LA NUEVA EPS S.A.,811045925,SALUD DARIEN I.P.S. S.A.,25527047,
05490,ANTIOQUIA,NECOCLI,EPSS37,LA NUEVA EPS S.A.,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,226669647,
05490,ANTIOQUIA,NECOCLI,EPSS40,SAVIA SALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,478948640,
05490,ANTIOQUIA,NECOCLI,EPSS41,NUEVA EPS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,79491240,
05490,ANTIOQUIA,NECOCLI,ESS024,COOSALUD EPS S.A.,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,148797592,
05495,ANTIOQUIA,NECHI,ESS024,COOSALUD EPS S.A.,800138011,ESE HOSPITAL LA MISERICORDIA,330390886,
05501,ANTIOQUIA,OLAYA,EPSS40,SAVIA SALUD,800202398,ESE HOSPITAL SAN MIGUEL,29192921,
05541,ANTIOQUIA,PEÑOL,EPSS37,LA NUEVA EPS S.A.,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,20495329,
05541,ANTIOQUIA,PEÑOL,EPSS40,SAVIA SALUD,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,163787970,
05543,ANTIOQUIA,PEQUE,EPSS40,SAVIA SALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,46728020,
05543,ANTIOQUIA,PEQUE,ESS024,COOSALUD EPS S.A.,890983675,E.S.E. HOSPITAL SAN FRANCISCO,80554368,
05576,ANTIOQUIA,PUEBLORRICO,EPSS40,SAVIA SALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,19115833,
05576,ANTIOQUIA,PUEBLORRICO,ESS024,COOSALUD EPS S.A.,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,61873578,
05579,ANTIOQUIA,PUERTO BERRIO,EPSS37,LA NUEVA EPS S.A.,900219765,IPS SALUD ANTIOQUIA LTDA,31896798,
05579,ANTIOQUIA,PUERTO BERRIO,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,317730976,
05579,ANTIOQUIA,PUERTO BERRIO,ESS024,COOSALUD EPS S.A.,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,37302920,
05585,ANTIOQUIA,PUERTO NARE,EPSS37,LA NUEVA EPS S.A.,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,41180000,
05585,ANTIOQUIA,PUERTO NARE,EPSS40,SAVIA SALUD,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,84988882,
05591,ANTIOQUIA,PUERTO TRIUNFO,EPSS40,SAVIA SALUD,890925336,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.,142728000,
05604,ANTIOQUIA,REMEDIOS,EPSS37,LA NUEVA EPS S.A.,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,24240000,
05604,ANTIOQUIA,REMEDIOS,EPSS40,SAVIA SALUD,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,104300292,
05604,ANTIOQUIA,REMEDIOS,ESS024,COOSALUD EPS S.A.,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,310405579,
05607,ANTIOQUIA,RETIRO,EPSS37,LA NUEVA EPS S.A.,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,15889485,
05607,ANTIOQUIA,RETIRO,EPSS40,SAVIA SALUD,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,52889103,
05615,ANTIOQUIA,RIONEGRO,EPSS40,SAVIA SALUD,890907254,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,322837333,
