DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO AGOSTO 2023",OBSERVACIÓN
05120,ANTIOQUIA,CACERES,ESS024,COOSALUD,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,373041130,
05125,ANTIOQUIA,CAICEDO,EPSS40,SAVIA SALUD,800037244,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,149971548,
05129,ANTIOQUIA,CALDAS,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,17252508,
05129,ANTIOQUIA,CALDAS,EPSS40,SAVIA SALUD,890907215,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE CALDAS,248547295,
05134,ANTIOQUIA,CAMPAMENTO,EPSS40,SAVIA SALUD,890985457,E.S.E. HOSPITAL LA SAGRADA FAMILIA,130596140,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS37,NUEVA EPS,890980784,E.S.E. HOSPITAL SAN CARLOS,18636060,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS40,SAVIA SALUD,890980784,E.S.E. HOSPITAL SAN CARLOS,229628540,
05142,ANTIOQUIA,CARACOLI,EPSS40,SAVIA SALUD,890981266,E.S.E. HOSPITAL SAN PIO X,57308575,
05145,ANTIOQUIA,CARAMANTA,EPSS40,SAVIA SALUD,890981163,E.S.E. HOSPITAL SAN ANTONIO,62255933,
05147,ANTIOQUIA,CAREPA,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,45797215,
05147,ANTIOQUIA,CAREPA,EPSS40,SAVIA SALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,517163639,
05147,ANTIOQUIA,CAREPA,ESS024,COOSALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,42113790,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS37,NUEVA EPS,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,90253933,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS40,SAVIA SALUD,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,223517451,
05154,ANTIOQUIA,CAUCASIA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,78779581,
05154,ANTIOQUIA,CAUCASIA,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,386963336,
05154,ANTIOQUIA,CAUCASIA,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,686376770,
05172,ANTIOQUIA,CHIGORODO,CCF033,EPS FAMILIAR DE COLOMBIA,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,11028600,
05172,ANTIOQUIA,CHIGORODO,EPSI03,A.I.C.,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,57207794,
05172,ANTIOQUIA,CHIGORODO,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,70314466,
05172,ANTIOQUIA,CHIGORODO,EPSS40,SAVIA SALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,577231284,
05172,ANTIOQUIA,CHIGORODO,ESS024,COOSALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,39534312,
05190,ANTIOQUIA,CISNEROS,EPSS37,NUEVA EPS,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,14526876,
05190,ANTIOQUIA,CISNEROS,EPSS40,SAVIA SALUD,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,93090842,
05197,ANTIOQUIA,COCORNA,EPSS37,NUEVA EPS,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,49401495,
05197,ANTIOQUIA,COCORNA,EPSS40,SAVIA SALUD,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,207517342,
05206,ANTIOQUIA,CONCEPCION,EPSS40,SAVIA SALUD,890980512,ESE HOSPITAL JOSE MARIA CORDOBA,41506802,
05209,ANTIOQUIA,CONCORDIA,EPSS40,SAVIA SALUD,890907297,ESE HOSPITAL SAN JUAN DE DIOS,251579200,
05212,ANTIOQUIA,COPACABANA,EPSS37,NUEVA EPS,890980949,ESE HOSPITAL SANTA MARGARITA,17449344,
05212,ANTIOQUIA,COPACABANA,EPSS40,SAVIA SALUD,890980949,ESE HOSPITAL SANTA MARGARITA,302511932,
05234,ANTIOQUIA,DABEIBA,EPSI03,A.I.C.,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,129324036,
05234,ANTIOQUIA,DABEIBA,ESS024,COOSALUD,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,401120179,
05237,ANTIOQUIA,DON MATIAS,EPSS40,SAVIA SALUD,890905097,E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA,116291292,
05240,ANTIOQUIA,EBEJICO,EPSS40,SAVIA SALUD,890982370,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,118387653,
05250,ANTIOQUIA,EL BAGRE,EPSS40,SAVIA SALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,109892055,
05250,ANTIOQUIA,EL BAGRE,ESS024,COOSALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,502013854,
05264,ANTIOQUIA,ENTRERRIOS,EPSS37,NUEVA EPS,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,12585368,
05264,ANTIOQUIA,ENTRERRIOS,EPSS40,SAVIA SALUD,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,43782385,
05266,ANTIOQUIA,ENVIGADO,EPSS40,SAVIA SALUD,890906347,ESE HOSPITAL MANUEL URIBE ANGEL,318423052,
05282,ANTIOQUIA,FREDONIA,EPSS37,NUEVA EPS,890980181,ESE HOSPITAL DE SANTA LUCIA,24020000,
05282,ANTIOQUIA,FREDONIA,EPSS40,SAVIA SALUD,890980181,ESE HOSPITAL DE SANTA LUCIA,129783639,
05284,ANTIOQUIA,FRONTINO,EPSI03,A.I.C.,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,206647875,
05284,ANTIOQUIA,FRONTINO,EPSS37,NUEVA EPS,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,10550740,
05284,ANTIOQUIA,FRONTINO,EPSS40,SAVIA SALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,45168225,
05284,ANTIOQUIA,FRONTINO,ESS024,COOSALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,229357627,
05306,ANTIOQUIA,GIRALDO,ESS024,COOSALUD,800193392,E.S.E. HOSPITAL SAN ISIDRO,61875000,
05308,ANTIOQUIA,GIRARDOTA,EPSS40,SAVIA SALUD,890980727,E.S.E. HOSPITAL SAN RAFAEL,244453066,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS37,NUEVA EPS,890902151,E.S.E. HOSPITAL SANTA ISABEL,12218300,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS40,SAVIA SALUD,890902151,E.S.E. HOSPITAL SANTA ISABEL,88630154,
05313,ANTIOQUIA,GRANADA,EPSS40,SAVIA SALUD,890981182,ESE HOSPITAL PADRE CLEMENTE GIRALDO,107430050,
05315,ANTIOQUIA,GUADALUPE,EPSS40,SAVIA SALUD,890981690,E.S.E. NUESTRA SEÑORA DE GUADALUPE,74574760,
05318,ANTIOQUIA,GUARNE,EPSS37,NUEVA EPS,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,37746396,
05318,ANTIOQUIA,GUARNE,EPSS40,SAVIA SALUD,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,212157408,
05321,ANTIOQUIA,GUATAPE,EPSS37,NUEVA EPS,890981817,E.S.E. HOSPITAL LA INMACULADA,13362088,
05321,ANTIOQUIA,GUATAPE,EPSS40,SAVIA SALUD,890981817,E.S.E. HOSPITAL LA INMACULADA,69862197,
05347,ANTIOQUIA,HELICONIA,EPSS40,SAVIA SALUD,890981074,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,52288782,
05353,ANTIOQUIA,HISPANIA,ESS024,COOSALUD,800068653,ESE HOSPITAL SAN JUAN DEL SUROESTE,35377541,
05360,ANTIOQUIA,ITAGUI,EPSS10,SURAMERICANA,800190884,CLINICA ANTIOQUIA S.A.,131513069,
05360,ANTIOQUIA,ITAGUI,EPSS40,SAVIA SALUD,811017810,E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,843300829,
05361,ANTIOQUIA,ITUANGO,EPSS37,NUEVA EPS,890980840,ESE HOSPITAL SAN JUAN DE DIOS,20282239,
05361,ANTIOQUIA,ITUANGO,EPSS40,SAVIA SALUD,890980840,ESE HOSPITAL SAN JUAN DE DIOS,360484860,
05364,ANTIOQUIA,JARDIN,EPSI03,A.I.C.,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,25833929,
05364,ANTIOQUIA,JARDIN,EPSS40,SAVIA SALUD,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,161083900,
05368,ANTIOQUIA,JERICO,ESS024,COOSALUD,890980765,NUEVA ESE HOSPITAL SAN RAFAEL JERICO,107531535,
05376,ANTIOQUIA,LA CEJA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,35450632,
05376,ANTIOQUIA,LA CEJA,EPSS40,SAVIA SALUD,890980758,ESE HOSPITAL DE LA CEJA,117904602,
05380,ANTIOQUIA,LA ESTRELLA,EPSS37,NUEVA EPS,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,11291803,
05380,ANTIOQUIA,LA ESTRELLA,EPSS40,SAVIA SALUD,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,181027604,
05390,ANTIOQUIA,LA PINTADA,EPSS37,NUEVA EPS,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,18038520,
05390,ANTIOQUIA,LA PINTADA,EPSS40,SAVIA SALUD,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,89675047,
05400,ANTIOQUIA,LA UNION,EPSS40,SAVIA SALUD,890980866,E.S.E. HOSPITAL SAN ROQUE - LA UNION,157970339,
05411,ANTIOQUIA,LIBORINA,EPSS40,SAVIA SALUD,890982139,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO,149686572,
05425,ANTIOQUIA,MACEO,EPSS40,SAVIA SALUD,890906966,EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA,106841727,
05440,ANTIOQUIA,MARINILLA,EPSS37,NUEVA EPS,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,57491076,
05440,ANTIOQUIA,MARINILLA,EPSS40,SAVIA SALUD,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,402984827,
05467,ANTIOQUIA,MONTEBELLO,EPSS40,SAVIA SALUD,890981096,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,93950608,
05475,ANTIOQUIA,MURINDO,EPSS40,SAVIA SALUD,800165050,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,61506094,
05480,ANTIOQUIA,MUTATA,EPSI03,A.I.C.,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,61700424,
05480,ANTIOQUIA,MUTATA,EPSS37,NUEVA EPS,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,50867586,
05480,ANTIOQUIA,MUTATA,EPSS40,SAVIA SALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,280306683,
05480,ANTIOQUIA,MUTATA,EPSS41,NUEVA EPS,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,19650015,
05480,ANTIOQUIA,MUTATA,ESS024,COOSALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,20037616,
05483,ANTIOQUIA,NARIÑO,EPSS37,NUEVA EPS,890981652,E.S.E. HOSPITAL SAN JOAQUIN,5272500,
05483,ANTIOQUIA,NARIÑO,EPSS40,SAVIA SALUD,890981652,E.S.E. HOSPITAL SAN JOAQUIN,143104208,
05490,ANTIOQUIA,NECOCLI,CCF033,EPS FAMILIAR DE COLOMBIA,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,25858800,
05490,ANTIOQUIA,NECOCLI,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,30189928,
05490,ANTIOQUIA,NECOCLI,EPSS37,NUEVA EPS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,343877250,
05490,ANTIOQUIA,NECOCLI,EPSS40,SAVIA SALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,523196530,
05490,ANTIOQUIA,NECOCLI,EPSS41,NUEVA EPS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,114452730,
05490,ANTIOQUIA,NECOCLI,ESS024,COOSALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,159526080,
05495,ANTIOQUIA,NECHI,ESS024,COOSALUD,800138011,ESE HOSPITAL LA MISERICORDIA,330825600,
05501,ANTIOQUIA,OLAYA,EPSS40,SAVIA SALUD,800202398,ESE HOSPITAL SAN MIGUEL,34057183,
05541,ANTIOQUIA,PEÑOL,EPSS37,NUEVA EPS,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,75885442,
05541,ANTIOQUIA,PEÑOL,EPSS40,SAVIA SALUD,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,195143170,
05543,ANTIOQUIA,PEQUE,EPSS40,SAVIA SALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,53809920,
05543,ANTIOQUIA,PEQUE,ESS024,COOSALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,90011578,
05576,ANTIOQUIA,PUEBLORRICO,EPSS40,SAVIA SALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,21869778,
05576,ANTIOQUIA,PUEBLORRICO,ESS024,COOSALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,57114072,
05579,ANTIOQUIA,PUERTO BERRIO,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,331445081,
05579,ANTIOQUIA,PUERTO BERRIO,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,28871062,
05585,ANTIOQUIA,PUERTO NARE,EPSS37,NUEVA EPS,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,27065115,
05585,ANTIOQUIA,PUERTO NARE,EPSS40,SAVIA SALUD,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,90225116,
05591,ANTIOQUIA,PUERTO TRIUNFO,EPSS40,SAVIA SALUD,890925336,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.,141557900,
05604,ANTIOQUIA,REMEDIOS,EPSS37,NUEVA EPS,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,33567224,
05604,ANTIOQUIA,REMEDIOS,EPSS40,SAVIA SALUD,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,125895498,
05604,ANTIOQUIA,REMEDIOS,ESS024,COOSALUD,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,275834129,
05607,ANTIOQUIA,RETIRO,EPSS40,SAVIA SALUD,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,55912134,
05615,ANTIOQUIA,RIONEGRO,EPSS40,SAVIA SALUD,890907254,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,351446198,
05628,ANTIOQUIA,SABANALARGA,EPSS40,SAVIA SALUD,890982140,E.S.E. HOSPITAL SAN PEDRO,137639142,
05628,ANTIOQUIA,SABANALARGA,ESS024,COOSALUD,890982140,E.S.E. HOSPITAL SAN PEDRO,9273577,
05631,ANTIOQUIA,SABANETA,EPSS40,SAVIA SALUD,800123106,ESE HOSPITAL VENANCIO DIAZ DIAZ,153880668,
05642,ANTIOQUIA,SALGAR,EPSS40,SAVIA SALUD,890981424,E.S.E. HOSPITAL SAN JOSE,170113505,
05647,ANTIOQUIA,SAN ANDRES,EPSS40,SAVIA SALUD,890982113,EMPRESA SOCIAL DEL ESTADO HOSPITAL GUSTAVO GONZALEZ OCHOA,80088400,
05649,ANTIOQUIA,SAN CARLOS,EPSS37,NUEVA EPS,890981561,E.S.E. HOSPITAL SAN VICENTE DE PAÚL,13709160,
05649,ANTIOQUIA,SAN CARLOS,EPSS40,SAVIA SALUD,890981561,E.S.E. HOSPITAL SAN VICENTE DE PAÚL,146890321,
05652,ANTIOQUIA,SAN FRANCISCO,EPSS40,SAVIA SALUD,800133887,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS,103531837,
05656,ANTIOQUIA,SAN JERONIMO,EPSS37,NUEVA EPS,890981848,E.S.E. HOSPITAL SAN LUIS BELTRAN,30205223,
05656,ANTIOQUIA,SAN JERONIMO,EPSS40,SAVIA SALUD,890981848,E.S.E. HOSPITAL SAN LUIS BELTRAN,109604453,
05658,ANTIOQUIA,SAN JOSE DE LA MONTANA,EPSS40,SAVIA SALUD,890984427,E.S.E. HOSPITAL LAUREANO PINO,21754868,
05659,ANTIOQUIA,SAN JUAN DE URABA,CCF033,EPS FAMILIAR DE COLOMBIA,800143438,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,29600024,
05659,ANTIOQUIA,SAN JUAN DE URABA,EPSS37,NUEVA EPS,800143438,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,49947026,
05659,ANTIOQUIA,SAN JUAN DE URABA,EPSS40,SAVIA SALUD,800143438,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,356821408,
