COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO ($)
MARZO 2023",OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA,892115009.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS,38576060,
CCF033,EPS FAMILIAR DE COLOMBIA,892115010.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL NIVEL II,4482794,
CCF033,EPS FAMILIAR DE COLOMBIA,892120115.0,ESE HOSPITAL SAN JOSE DE MAICAO,220364430,
CCF033,EPS FAMILIAR DE COLOMBIA,892200273.0,CLINICA LAS PEÑITAS S.A.S,39667653,
CCF033,EPS FAMILIAR DE COLOMBIA,892201100.0,LIGA CONTRA EL CÁNCER SECCIONAL SUCRE,14610003,
CCF033,EPS FAMILIAR DE COLOMBIA,892280033.0,HOSPITAL UNIVERSITARIO DE SINCELEJO E.S.E,800064934,
CCF033,EPS FAMILIAR DE COLOMBIA,900015779.0,SOCIEDAD DE HEMODINAMIA SANTA MARIA S.A.S,112902396,
CCF033,EPS FAMILIAR DE COLOMBIA,900047571.0,IPSI OUTAJIAPALA,52920000,
CCF033,EPS FAMILIAR DE COLOMBIA,900116275.0,UNIDAD DE DIAGNOSTICO CLINICO O IMAGENOLOGICO E.U.,17853095,
CCF033,EPS FAMILIAR DE COLOMBIA,900118990.0,CENTRO DE FISIOTERAPIA REHABILITAR DRA. MARTA CANTILLO MARTINEZ S.A.S.,120535956,
CCF033,EPS FAMILIAR DE COLOMBIA,900119472.0,IPS TOLUSALUD LTDA,30148740,
CCF033,EPS FAMILIAR DE COLOMBIA,900164946.0,CLINICA PEDIATRICA NIÑO JESUS S.A.S,69211062,
CCF033,EPS FAMILIAR DE COLOMBIA,900172745.0,UNIDAD DE DIAGNOSTICO GINECOLOGICO Y PRENATAL SER MUJER S.A.S,6133419,
CCF033,EPS FAMILIAR DE COLOMBIA,900177624.0,ANASHIWAYA IPSI,44554348,
CCF033,EPS FAMILIAR DE COLOMBIA,900188717.0,IPS IMAGEN DIAGNOSTICA S.A.S,57557507,
CCF033,EPS FAMILIAR DE COLOMBIA,900217343.0,CLINICA OFTALMOLOGICA DE SUCRE S.A.S,42723341,
CCF033,EPS FAMILIAR DE COLOMBIA,900219120.0,VIVA 1A IPS SA,386320000,
CCF033,EPS FAMILIAR DE COLOMBIA,900233294.0,CLINICA GENERAL DEL CARIBE S.A.,72236983,
CCF033,EPS FAMILIAR DE COLOMBIA,900272582.0,CLINICA SAN JUAN BAUTISTA S.A.S.,40789280,
CCF033,EPS FAMILIAR DE COLOMBIA,900304958.0,SOCIEDAD SAN JOSE DE TORICES S.A,1237883,
CCF033,EPS FAMILIAR DE COLOMBIA,900324225.0,"SOCIEDAD PARA LA ATENCION MEDICA E IMAGENES DIAGNOSTICAS SAS ""SOMID SAS """,30235327,
CCF033,EPS FAMILIAR DE COLOMBIA,900328332.0,CARDIOCARE SERVICES SAS,104803062,
CCF033,EPS FAMILIAR DE COLOMBIA,900390423.0,PROMOTORA CLINICA ZONA FRANCA DE URABA SAS,8967758,
CCF033,EPS FAMILIAR DE COLOMBIA,900449481.0,MEDICINA INTEGRAL DEL CARIBE SAS,16863962,
CCF033,EPS FAMILIAR DE COLOMBIA,900468210.0,CENTRO DE RESONANCIA MAGNETICA DEL NORTE S.A.S,9712490,
CCF033,EPS FAMILIAR DE COLOMBIA,900508066.0,CMIACIPSGUAJIRA SAS,33635857,
CCF033,EPS FAMILIAR DE COLOMBIA,900513306.0,FUNDACION MARIA REINA,40661208,
CCF033,EPS FAMILIAR DE COLOMBIA,900550249.0,IPS CARDIOCENTRO PEDIATRICO DE SUCRE S.A.S,11438697,
CCF033,EPS FAMILIAR DE COLOMBIA,900581036.0,GASTROCENTRO S.A.S,10537720,
CCF033,EPS FAMILIAR DE COLOMBIA,900602320.0,CLINICA LA MISERICORDIA,23606953,
CCF033,EPS FAMILIAR DE COLOMBIA,900656493.0,IPS PUNTO VITAL SAS,709810000,
CCF033,EPS FAMILIAR DE COLOMBIA,900691119.0,ORTOPEDICA EUROPEA S.A.S.,141924496,
CCF033,EPS FAMILIAR DE COLOMBIA,900718559.0,CLINICA CARDIODAJUD SAS,5656175,
CCF033,EPS FAMILIAR DE COLOMBIA,900728399.0,CENTRO SALUD DE LA GUAJIRA S.A.S,7152308,
CCF033,EPS FAMILIAR DE COLOMBIA,900734605.0,CENTRO DE REHABILITACION TERAPEUTICO INTEGRAL S.A.S.,19665000,
CCF033,EPS FAMILIAR DE COLOMBIA,900784418.0,FISIOMED INTEGRAL S.A.S,1747500,
CCF033,EPS FAMILIAR DE COLOMBIA,900794134.0,IPS INDIGENA KOTTUSHI SAO ANA>A,617556249,
CCF033,EPS FAMILIAR DE COLOMBIA,900795851.0,IPSI EITERRA JAWAPIA,299880000,
CCF033,EPS FAMILIAR DE COLOMBIA,900798865.0,911 ASITENCIA MEDICA DOMICILIARIA IPS SAS,36435802,
CCF033,EPS FAMILIAR DE COLOMBIA,900803163.0,AMBULANCIAS AB IPS S.A.S,3827472,
CCF033,EPS FAMILIAR DE COLOMBIA,900839714.0,PROFHARMA SALUD IPS S.A.S,9589625,
CCF033,EPS FAMILIAR DE COLOMBIA,900839869.0,CLINICA SANTA ANA DE DIOS S.A.S.,168516052,
CCF033,EPS FAMILIAR DE COLOMBIA,900862842.0,CENTRO DE OTORRINOLARINGOLOGIA Y FONOAUDIOLOGIA DE LA SABANA S.A.S,10597134,
CCF033,EPS FAMILIAR DE COLOMBIA,900874167.0,OPTIMUS HEALTH SAS,13038869,
CCF033,EPS FAMILIAR DE COLOMBIA,900919030.0,IPS LA DIVINA MISERICORDIA S.A.S,308743595,
CCF033,EPS FAMILIAR DE COLOMBIA,900943534.0,DIAGNOSTISALUD S.A.S,63918760,
CCF033,EPS FAMILIAR DE COLOMBIA,900957660.0,DELTA SALUD S.A.S,36333553,
CCF033,EPS FAMILIAR DE COLOMBIA,900959048.0,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE E.S.E,1586467,
CCF033,EPS FAMILIAR DE COLOMBIA,900959051.0,SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E,1484653,
CCF033,EPS FAMILIAR DE COLOMBIA,900966539.0,FUNDACION TRAZANDO CAMINOS,352690000,
CCF033,EPS FAMILIAR DE COLOMBIA,900995574.0,MEDIPOHDS,119639247,
CCF033,EPS FAMILIAR DE COLOMBIA,901085352.0,INSTITUTO MEDICO DE ALTA TECNOLOGÍA S.A.S,374448813,
CCF033,EPS FAMILIAR DE COLOMBIA,901094037.0,TRAUMACENTRO S.A.S,2133870,
CCF033,EPS FAMILIAR DE COLOMBIA,901161920.0,FUNDACION AZUL REY,65400000,
CCF033,EPS FAMILIAR DE COLOMBIA,901182802.0,SERVICIOS MEDICOS INTEGRALES IPS S.A.S,640100000,
CCF033,EPS FAMILIAR DE COLOMBIA,901204233.0,ROSARY HEALTH CARE SAS,19331955,
CCF033,EPS FAMILIAR DE COLOMBIA,901219760.0,SUMEICOL IPS SAS,81314389,
CCF033,EPS FAMILIAR DE COLOMBIA,901219961.0,OXXISALUD S.A.S,41988250,
CCF033,EPS FAMILIAR DE COLOMBIA,901258669.0,CENTRO DE SALUD MENTAL Y REHABILITACION SAN ROQUE S.A.S.,5445643,
CCF033,EPS FAMILIAR DE COLOMBIA,901314216.0,MEDI VIDA IPS S.A.S,358560000,
CCF033,EPS FAMILIAR DE COLOMBIA,901341454.0,INTTEGRAL I.P.S S.A.S,163663000,
CCF033,EPS FAMILIAR DE COLOMBIA,901353186.0,UCI LAS MERCEDES DE COROZAL SAS,54178682,
CCF033,EPS FAMILIAR DE COLOMBIA,901483168.0,GHG GLOBAL HEALTH GROUP SAS,216508591,
CCF033,EPS FAMILIAR DE COLOMBIA,901489682.0,CLINICA DE SALUD MENTAL SANTA TERESA SAS,28444485,
CCF050,COMFAORIENTE,800012189.0,CLINICA SAN JOSE DE CUCUTA SA,847401177,
CCF050,COMFAORIENTE,800014918.0,E.S.E. HOSPITAL UNIVERSITARIO ERASMO MEOZ,1307872430,
CCF050,COMFAORIENTE,800037021.0,HOSPITAL DEPARTAMENTAL DE GRANADA - EMPRESA SOCIAL DEL META,13626572,
CCF050,COMFAORIENTE,800106375.0,NUCLEAR SAN JOSE S.A.,10032725,
CCF050,COMFAORIENTE,800218979.0,HOSPITAL SAN VICENTE ESE,7489691,
CCF050,COMFAORIENTE,800231215.0,HOSPITAL DEL SARARE ESE,1911583,
CCF050,COMFAORIENTE,804015473.0,UNIDAD ESPECIALIZADA EN ATENCIÓN TERAPÉUTICA S.A.S IPS - UNESAT S.A.S. IPS,1062540,
CCF050,COMFAORIENTE,805011262.0,RTS S.A.S,186794964,
CCF050,COMFAORIENTE,805027743.0,DUMIAN MÉDICAL S.A.S,56421929,
CCF050,COMFAORIENTE,807000799.0,UROLOGOS DEL NORTE DE SANTANDER URONORTE S.A.,47328791,
CCF050,COMFAORIENTE,807000832.0,LABORATORIO CLINICO ESPECIALIZADO LTDA,11059179,
CCF050,COMFAORIENTE,807001311.0,SERVICIOS INTEGRALES DE SALUD LTDA -SERINSA,71767130,
CCF050,COMFAORIENTE,807002152.0,CLINICA OFTALMOLOGICA PEÑARANDA S.A.S,368118486,
CCF050,COMFAORIENTE,807002424.0,CLINICA DE CANCEROLOGIA DEL NORTE DE SANTANDER LTDA.,410058519,
CCF050,COMFAORIENTE,807003768.0,RADIOTERAPIA DEL NORTE LTDA.,59506551,
CCF050,COMFAORIENTE,807004352.0,EMPRESA SOCIAL DEL ESTADO IMSALUD,13722781,
CCF050,COMFAORIENTE,807004393.0,E.S.E. HOSPITAL LOCAL MUNICIPIO DE LOS PATIOS,1986627,
CCF050,COMFAORIENTE,807004631.0,E.S.E.HOSPITAL LOCAL VILLA DEL ROSARIO,2988699,
CCF050,COMFAORIENTE,807004665.0,ESE HOSPITAL JUAN LUIS LONDOÑO,1626636,
CCF050,COMFAORIENTE,807005711.0,"ASOCIACION DE PATOLOGOS ""ASOPAT"" LTDA.",1308685,
CCF050,COMFAORIENTE,807008824.0,E.S.E. HOSPITAL REGIONAL CENTRO,1056191,
CCF050,COMFAORIENTE,807008842.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL NOROCCIDENTAL,2467819,
CCF050,COMFAORIENTE,807008857.0,ESE HOSPITAL REGIONAL NORTE,2756909,
CCF050,COMFAORIENTE,814003448.0,AUDIOCOM IPS,4058220,
CCF050,COMFAORIENTE,824000426.0,ESE HOSPITAL LOCAL CURUMANI CRISTIAN MORENO PALLARES,1498250,
CCF050,COMFAORIENTE,830007355.0,FRESENIUS MEDICAL CARE COLOMBIA S.A.,200473877,
CCF050,COMFAORIENTE,860013779.0,ASOCIACIÓN PROFAMILIA,35423846,
CCF050,COMFAORIENTE,860037950.0,FUNDACION SANTA FE DE BOGOTA,47158624,
CCF050,COMFAORIENTE,890208758.0,CLINICA MATERNO INFANTIL SAN LUIS S.A,19517041,
CCF050,COMFAORIENTE,890212568.0,FUNDACION CARDIOVASCULAR DE COLOMBIA,353984626,
CCF050,COMFAORIENTE,890500060.0,CLINICA SANTA ANA S.A.,315793540,
CCF050,COMFAORIENTE,890500810.0,E.S.E. HOSPITAL MENTAL RUDESINDO SOTO,135853272,
CCF050,COMFAORIENTE,890501019.0,ESE HOSPITAL SAN JUAN DE DIOS DE PAMPLONA,77473994,
CCF050,COMFAORIENTE,890501438.0,E.S.E. HOSPITAL EMIRO QUINTERO CAÑIZARES,868643596,
CCF050,COMFAORIENTE,890503532.0,CLINICA LOS ANDES LTDA.,58666560,
CCF050,COMFAORIENTE,890505755.0,OPTICA CIENTIFICA Y CIA LTDA,12275200,
CCF050,COMFAORIENTE,890506459.0,CLINICA Y DROGUERIA NTRA SRA DE TORCOROMA S.A.S.,194195875,
CCF050,COMFAORIENTE,890904646.0,"HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",8223318,
CCF050,COMFAORIENTE,891480000.0,CAJA DE COMPENSACION FAMILIAR DE RISARALDA COMFAMILIAR RISARALDA,16488620,
CCF050,COMFAORIENTE,891855039.0,HOSPITAL REGIONAL DE SOGAMOSO EMPRESA SOCIAL DEL ESTADO,1390060,
CCF050,COMFAORIENTE,892300445.0,ESE HOSPITAL REGIONAL DE AGUACHICA JOSE DAVID PADILLA VILLAFAÑE,18396675,
CCF050,COMFAORIENTE,899999092.0,INSTITUTO NACIONAL DE CANCEROLOGIA - EMPRESA SOCIAL DEL ESTADO,44385587,
CCF050,COMFAORIENTE,899999151.0,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ,1147332,
CCF050,COMFAORIENTE,900006037.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE SANTANDER,191913524,
CCF050,COMFAORIENTE,900017916.0,SERVICIOS ESPECIALIZADOS FCB S.A.S,2573539,
CCF050,COMFAORIENTE,900037353.0,ONCOMEDICAL I.P.S. S.A.S,564925066,
CCF050,COMFAORIENTE,900041610.0,TRANSPORTE SALUD IMÁGENES TRANSALIM LTDA,87498919,
CCF050,COMFAORIENTE,900067169.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE GARCIA ROVIRA,3905050,
CCF050,COMFAORIENTE,900075758.0,GASTROQUIRURGICA S.A.S.,155552001,
CCF050,COMFAORIENTE,900112351.0,UNIDAD HEMATO ONCOLOGICA ESPECIALIZADA IPS SAS,228633595,
CCF050,COMFAORIENTE,900155231.0,SANAMEDIC SOCIEDAD POR ACCIONES SIMPLIFICADA - S.A.S,9917170,
CCF050,COMFAORIENTE,900191362.0,SOCIEDAD DE OFTALMOLOGIA Y CIRUGIA PLASTICA DE CUCUTA S.A.,40971219,
CCF050,COMFAORIENTE,900222303.0,"ATENCION EN REHABILITACION INTEGRAL S.A.S. ""ATERIN S.A.S.""",18175600,
CCF050,COMFAORIENTE,900225631.0,VIDAMEDICAL IPS S.A.S.,256599000,
CCF050,COMFAORIENTE,900241448.0,CARDIOLOGIA DIAGNOSTICA DEL NORTE S.A.S.- CARDINOR S.A.S.,21908298,
CCF050,COMFAORIENTE,900241734.0,CONFESALUD IPS LTDA.,7593606,
CCF050,COMFAORIENTE,900301770.0,NEUROCOOP REHABILITACION FISICA Y MEDICA INTEGRAL,273773755,
CCF050,COMFAORIENTE,900307987.0,VITAL MEDICAL CARE VIMEC S.A.S,217215733,
CCF050,COMFAORIENTE,900309444.0,HOSPICLINIC DE COLOMBIA S.A.S.,187230166,
CCF050,COMFAORIENTE,900315341.0,PIEL MEDICALSPA CENTRO DERMATOLOGICO IPS SAS,20533696,
CCF050,COMFAORIENTE,900332743.0,CENTRO DE ECO-RADIODIAGNOSTICOS S.A.S,58308514,
CCF050,COMFAORIENTE,900386919.0,INSTITUTO NEUROLOGICO INFANTIL S.A.S.,71018148,
CCF050,COMFAORIENTE,900395846.0,SERVICIOS VIVIR S.A.S.,30328320,
CCF050,COMFAORIENTE,900470642.0,MEDICAL DUARTE ZF S.A.S,2764774512,
CCF050,COMFAORIENTE,900471992.0,NEUROALIADOS MEDICINA ESPECIALIZADA S.A.S.,23478160,
CCF050,COMFAORIENTE,900535099.0,DROGUERIA MAGRETH S.A.S.,159351702,
CCF050,COMFAORIENTE,900542979.0,CENTRO INTEGRAL DE ATENCION DIAGNOSTICA ESPECIALIZADA IPS SAS,792907566,
CCF050,COMFAORIENTE,900575153.0,ANGIOVASCULAR MORENO,11772963,
CCF050,COMFAORIENTE,900580962.0,DISFARMA G.C. S.A.S.,1368505358,
CCF050,COMFAORIENTE,900595259.0,SERVIMOS AMBULANCIAS DE COLOMBIA IPS S.A.S.,4760000,
CCF050,COMFAORIENTE,900635297.0,UNIDAD DE MEDICINA MATERNOFETAL NORFETUS SOCIEDAD POR ACCIONES SIMPLIFICADA,24392262,
CCF050,COMFAORIENTE,900704446.0,ECOIMAGEN SALUD S.A.S.,211865310,
CCF050,COMFAORIENTE,900717202.0,CENTRO INTEGRAL DE DIAGNOSTICO MEDICO I.P.S. S.A.S.,18499120,
CCF050,COMFAORIENTE,900752620.0,IPS CLINICAL HOUSE S.A.S.,7814000,
CCF050,COMFAORIENTE,900900693.0,INSTITUCION PRESTADORA DE SERVICIOS DE SALUD DOMICILIARIOS SANARTE CLÍNICA DE HERIDAS Y OSTOMIAS S.A.S.,176353560,
CCF050,COMFAORIENTE,900958564.0,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.,8992403,
CCF050,COMFAORIENTE,900959048.0,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE E.S.E,29170345,
CCF050,COMFAORIENTE,900959051.0,SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E,2337709,
CCF050,COMFAORIENTE,900971006.0,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E,4921400,
CCF050,COMFAORIENTE,901127399.0,NEUMOLOGIA Y SERVICIOS DE REHABILITACION S.A.S,23768815,
CCF050,COMFAORIENTE,901254971.0,CENTRO DE ATENCION MI RENACER S.A.S.,33624800,
CCF050,COMFAORIENTE,901313049.0,RED SALUD INTEGRAL IPS S.A.S.,27648000,
CCF050,COMFAORIENTE,901315238.0,IMAGEN DENTAL INTEGRAL IPS S.A.S.,155563475,
CCF050,COMFAORIENTE,901383010.0,UCIS DE COLOMBIA S.A.S.,973229390,
CCF050,COMFAORIENTE,901417815.0,SOLUCIONES MEDICAS AVANZADAS S.A.S,4711773,
CCF055,CAJACOPI,800000118.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL DEPARTAMENTAL UNIVERSITARIO DEL QUINDIO SAN JUAN DE DIOS,6104311,
CCF055,CAJACOPI,800018233.0,SOMECA MALAMBO,10948871,
CCF055,CAJACOPI,800025755.0,IPS CLINICA SAN IGNACIO LTDA,158822150,
CCF055,CAJACOPI,800026173.0,ESE HOSPITAL HELI MORENO BLANCO,5520542,
CCF055,CAJACOPI,800037021.0,HOSPITAL DEPARTAMENTAL DE GRANADA - EMPRESA SOCIAL DEL META,600353162,
CCF055,CAJACOPI,800037202.0,HOSPITAL PRIMER NIVEL DE GUAMAL,1043366,
CCF055,CAJACOPI,800037979.0,E.S.E. HOSPITAL LOCAL DE PUERTO LOPEZ,4573901,
CCF055,CAJACOPI,800066001.0,CENTRO MEDICO OFTALMOLOGICO Y LABORATORIO CLINICO ANDRADE NARVAEZ SIGLA COLCAN S.A.S.,108060556,
CCF055,CAJACOPI,800067514.0,COMITÉ MUNICIPAL DE LA CRUZ ROJA DE MAICAO,11673206,
CCF055,CAJACOPI,800075650.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTO TOMAS,6647762,
CCF055,CAJACOPI,800099860.0,E.S.E. HOSPITAL SAN RAFAEL DE PACHO,1746637,
CCF055,CAJACOPI,800101022.0,ESE HOSPITAL NUESTRA SEÑORA DEL PILAR,6893351,
CCF055,CAJACOPI,800112725.0,FUNDACION OFTALMOLOGICA DEL CARIBE,132827160,
CCF055,CAJACOPI,800119945.0,HOSPITAL SAN ROQUE ESE,2397361,
CCF055,CAJACOPI,800129856.0,CLINICA DE LA COSTA S.A.S.,399999996,
CCF055,CAJACOPI,800130625.0,ESE HOSPITAL SAN CRISTOBAL DE CIENAGA,33264921,
CCF055,CAJACOPI,800138011.0,ESE HOSPITAL LA MISERICORDIA,2861674,
CCF055,CAJACOPI,800154347.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA CANDELARIA,250851767,
CCF055,CAJACOPI,800162035.0,SERVICIOS MEDICOS INTEGRALES DE SALUD SAS SERVIMEDICOS SAS,177118618,
CCF055,CAJACOPI,800174123.0,ESE HOSPITAL DE SANTO TOMAS,3034999,
CCF055,CAJACOPI,800175901.0,CLINICA EMPERATRIZ SAS,130000000,
CCF055,CAJACOPI,800183943.0,CLINICA SANTA MARIA SAS,34222577,
CCF055,CAJACOPI,800187260.0,INSTITUTO DE ENFERMEDADES DIGESTIVAS DE COLOMBIA S.A.S,20000000,
CCF055,CAJACOPI,800191643.0,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,16010842,
CCF055,CAJACOPI,800193912.0,ESE HOSPITAL SAN RAFAEL DE CHINU,1951886,
CCF055,CAJACOPI,800193989.0,CENTRO DIAGNOSTICO DE ESPECIALISTAS LTDA,180190209,
CCF055,CAJACOPI,800197424.0,ASOCIACION MEDICA DE MEDICINA NUCLEAR LTDA NUCLEAR 2000 LTDA,95478057,
CCF055,CAJACOPI,800201726.0,FUNDACION POLICLINICA CIENAGA,99415798,
CCF055,CAJACOPI,800204153.0,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,496017822,
CCF055,CAJACOPI,800213942.0,E.S.E. HOSPITAL SANTA CRUZ,5426142,
CCF055,CAJACOPI,800222844.0,RADIOIMAGENES RADIOLOGOS ASOCIADOS S.A.S.,6203570,
CCF055,CAJACOPI,800227279.0,TECNITRAUMA S.A.,400000002,
CCF055,CAJACOPI,800231038.0,GARCIA PEREZ MEDICA Y COMPAÑIA SAS,2351740,
CCF055,CAJACOPI,800234860.0,LITOTRICIA S.A.,8429663,
CCF055,CAJACOPI,800235973.0,CENTRO DE DIALISIS SANTA MARGARITA,150000001,
CCF055,CAJACOPI,802001084.0,IPS CLINICA SANTA ANA DE BARANOA,7279720,
CCF055,CAJACOPI,802003081.0,E.S.E. HOSPITAL MUNICIPAL DE SABANAGRANDE,4309196,
CCF055,CAJACOPI,802006267.0,ESE CENTRO DE SALUD CON CAMAS DE PALMAR DE VARELA,1966422,
CCF055,CAJACOPI,802006337.0,TAMARA IMÁGENES DIAGNOSTICAS S.A.S,249698242,
CCF055,CAJACOPI,802007798.0,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE GALAPA,4247829,
CCF055,CAJACOPI,802009463.0,ESE CENTRO DE SALUD DE TUBARÁ,21672902,
CCF055,CAJACOPI,802009783.0,CLINICA SAN RAFAEL LTDA,94157084,
CCF055,CAJACOPI,802009914.0,VISION DEL LITORAL SAS,22477734,
CCF055,CAJACOPI,802010728.0,UROCENTRO LTDA,239373630,
CCF055,CAJACOPI,802014132.0,INSTITUTO DE TRASPLANTE DE MÉDULA OSEA DE LA COSTA IPS S.A.S,5119370,
CCF055,CAJACOPI,802016357.0,MEDICINA ALTA COMPLEJIDAD S.A,223893618,
CCF055,CAJACOPI,802018443.0,"INSTITUTO ONCOHEMATOLOGICO BETANIA S.A "" BIO BETANIA S.A""",4884840,
CCF055,CAJACOPI,802019573.0,CLINICA PORVENIR LIMITADA,142079607,
CCF055,CAJACOPI,802019914.0,MAXIVISION LTDA IPS,281572470,
CCF055,CAJACOPI,802019932.0,I.P.S SALUD PLENA S.A.S,2188810,
CCF055,CAJACOPI,802020334.0,QUIMIOSALUD S.A.S,445873544,
CCF055,CAJACOPI,802021332.0,CLINICA CENTRO S.A,800000025,
CCF055,CAJACOPI,802022337.0,CENTRO DE ALERGIA ASMA E INMUNOLOGIA S.A.S.,8864000,
CCF055,CAJACOPI,804016365.0,E.S.E. HOSPITAL EL CARMEN,1297674,
CCF055,CAJACOPI,805010659.0,AMANECER MEDICO SAS,33882436,
CCF055,CAJACOPI,806004548.0,CENTROMEDICO CRECER LTDA,34090811,
CCF055,CAJACOPI,806006414.0,E.S.E. HOSPITAL LOCAL SAN JUAN NEPOMUCENO,412002,
CCF055,CAJACOPI,806007257.0,E.S.E. HOSPITAL LOCAL SANTA MARIA DE MOMPOX BOLIVAR,578441,
CCF055,CAJACOPI,806007567.0,ESE HOSPITAL SAN JUAN DE PUERTO RICO,2504075,
