COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO 
ENERO 2023",OBSERVACIÓN
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900468210.0,CENTRO DE RESONANCIA MAGNETICA DEL NORTE S.A.S,1019200,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900627728.0,UNIDAD ENDOSCOPICA INTEGRAL DE SUCRE S.A.S,4800000,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900656493.0,IPS PUNTO VITAL SAS,632702184,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900691119.0,ORTOPEDICA EUROPEA S.A.S.,49565521,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900734605.0,CENTRO DE REHABILITACION TERAPEUTICO INTEGRAL S.A.S.,18792000,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900794134.0,IPS INDIGENA KOTTUSHI SAO ANA>A,580500000,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900795851.0,IPSI EITERRA JAWAPIA,297000000,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900798865.0,911 ASITENCIA MEDICA DOMICILIARIA IPS SAS,14737433,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900839714.0,PROFHARMA SALUD IPS S.A.S,55575621,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900919030.0,IPS LA DIVINA MISERICORDIA S.A.S,262175347,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900943534.0,DIAGNOSTISALUD S.A.S,56525546,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900971006.0,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E,1698888,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,900995574.0,MEDIPOHDS,95679880,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901085352.0,INSTITUTO MEDICO DE ALTA TECNOLOGÍA S.A.S,125699339,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901094037.0,TRAUMACENTRO S.A.S,17734374,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901139193.0,MIRED BARRANQUILLA IPS S.A.S.,1674770,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901161920.0,FUNDACION AZUL REY,66734000,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901182802.0,SERVICIOS MEDICOS INTEGRALES IPS S.A.S,653159000,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901204233.0,ROSARY HEALTH CARE SAS,4317547,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901219760.0,SUMEICOL IPS SAS,67892372,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901219961.0,OXXISALUD S.A.S,37682750,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901314216.0,MEDI VIDA IPS S.A.S,220828000,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901341454.0,INTTEGRAL I.P.S S.A.S,89477750,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901353186.0,UCI LAS MERCEDES DE COROZAL SAS,26461164,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901483168.0,GHG GLOBAL HEALTH GROUP SAS,312739431,
CCF033,EPS FAMILIAR DE COLOMBIA S.A.S.,901489682.0,CLINICA DE SALUD MENTAL SANTA TERESA SAS,14201135,
CCF050,COMFAORIENTE_CCF050,800012189.0,CLINICA SAN JOSE DE CUCUTA SA,1184158232,
CCF050,COMFAORIENTE_CCF050,800014918.0,E.S.E. HOSPITAL UNIVERSITARIO ERASMO MEOZ,2136539755,
CCF050,COMFAORIENTE_CCF050,800026173.0,ESE HOSPITAL HELI MORENO BLANCO,3507555,
CCF050,COMFAORIENTE_CCF050,800099886.0,ASOTAC SAN JOSE SA,1806140,
CCF050,COMFAORIENTE_CCF050,800106375.0,NUCLEAR SAN JOSE S.A.,6624562,
CCF050,COMFAORIENTE_CCF050,800165163.0,ODONTOCUCUTA S.A,1460900,
CCF050,COMFAORIENTE_CCF050,800176890.0,CLINICA MEDICO QUIRURGICA S.A,17990748,
CCF050,COMFAORIENTE_CCF050,800231215.0,HOSPITAL DEL SARARE ESE,2583996,
CCF050,COMFAORIENTE_CCF050,804015473.0,UNIDAD ESPECIALIZADA EN ATENCIÓN TERAPÉUTICA S.A.S IPS - UNESAT S.A.S. IPS,1186416,
CCF050,COMFAORIENTE_CCF050,805011262.0,RTS S.A.S,152924119,
CCF050,COMFAORIENTE_CCF050,805027743.0,DUMIAN MÉDICAL S.A.S,31718364,
CCF050,COMFAORIENTE_CCF050,807000799.0,UROLOGOS DEL NORTE DE SANTANDER URONORTE S.A.,68555641,
CCF050,COMFAORIENTE_CCF050,807000832.0,LABORATORIO CLINICO ESPECIALIZADO LTDA,8608330,
CCF050,COMFAORIENTE_CCF050,807001041.0,CENTRO MEDICO LA SAMARITANA LTDA,6783447,
CCF050,COMFAORIENTE_CCF050,807001311.0,SERVICIOS INTEGRALES DE SALUD LTDA -SERINSA,57257800,
CCF050,COMFAORIENTE_CCF050,807002152.0,CLINICA OFTALMOLOGICA PEÑARANDA S.A.S,146142833,
CCF050,COMFAORIENTE_CCF050,807002424.0,CLINICA DE CANCEROLOGIA DEL NORTE DE SANTANDER LTDA.,403933055,
CCF050,COMFAORIENTE_CCF050,807003768.0,RADIOTERAPIA DEL NORTE LTDA.,67328368,
CCF050,COMFAORIENTE_CCF050,807004352.0,EMPRESA SOCIAL DEL ESTADO IMSALUD,17369918,
CCF050,COMFAORIENTE_CCF050,807004393.0,E.S.E. HOSPITAL LOCAL MUNICIPIO DE LOS PATIOS,2410442,
CCF050,COMFAORIENTE_CCF050,807004631.0,E.S.E.HOSPITAL LOCAL VILLA DEL ROSARIO,1763366,
CCF050,COMFAORIENTE_CCF050,807004665.0,ESE HOSPITAL JUAN LUIS LONDOÑO,1437870,
CCF050,COMFAORIENTE_CCF050,807005711.0,"ASOCIACION DE PATOLOGOS ""ASOPAT"" LTDA.",3231410,
CCF050,COMFAORIENTE_CCF050,807008824.0,E.S.E. HOSPITAL REGIONAL CENTRO,1057176,
CCF050,COMFAORIENTE_CCF050,807008827.0,E.S.E. HOSPITAL REGIONAL SURORIENTAL-CHINACOTA,1502374,
CCF050,COMFAORIENTE_CCF050,807008842.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL NOROCCIDENTAL,1466205,
CCF050,COMFAORIENTE_CCF050,807008857.0,ESE HOSPITAL REGIONAL NORTE,13399703,
CCF050,COMFAORIENTE_CCF050,814003448.0,AUDIOCOM IPS,19061120,
CCF050,COMFAORIENTE_CCF050,824000426.0,ESE HOSPITAL LOCAL CURUMANI CRISTIAN MORENO PALLARES,1023974,
CCF050,COMFAORIENTE_CCF050,824000586.0,ESE HOSPITAL LOCAL LAZARO ALFONSO HERNANDEZ LARA,1028720,
CCF050,COMFAORIENTE_CCF050,830007355.0,FRESENIUS MEDICAL CARE COLOMBIA S.A.,193200608,
CCF050,COMFAORIENTE_CCF050,860013779.0,ASOCIACIÓN PROFAMILIA,27985318,
CCF050,COMFAORIENTE_CCF050,860035992.0,FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA,51010510,
CCF050,COMFAORIENTE_CCF050,890202024.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE FLORIDABLANCA,1410969,
CCF050,COMFAORIENTE_CCF050,890208758.0,CLINICA MATERNO INFANTIL SAN LUIS S.A,15834966,
CCF050,COMFAORIENTE_CCF050,890212568.0,FUNDACION CARDIOVASCULAR DE COLOMBIA,218817982,
CCF050,COMFAORIENTE_CCF050,890500060.0,CLINICA SANTA ANA S.A.,416307090,
CCF050,COMFAORIENTE_CCF050,890500810.0,E.S.E. HOSPITAL MENTAL RUDESINDO SOTO,70050630,
CCF050,COMFAORIENTE_CCF050,890501019.0,ESE HOSPITAL SAN JUAN DE DIOS DE PAMPLONA,78018772,
CCF050,COMFAORIENTE_CCF050,890501438.0,E.S.E. HOSPITAL EMIRO QUINTERO CAÑIZARES,374500155,
CCF050,COMFAORIENTE_CCF050,890503532.0,CLINICA LOS ANDES LTDA.,88008300,
CCF050,COMFAORIENTE_CCF050,890505755.0,OPTICA CIENTIFICA Y CIA LTDA,11696000,
CCF050,COMFAORIENTE_CCF050,890506459.0,CLINICA Y DROGUERIA NTRA SRA DE TORCOROMA S.A.S.,152343847,
CCF050,COMFAORIENTE_CCF050,890900518.0,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,10934818,
CCF050,COMFAORIENTE_CCF050,891180134.0,E.S.E. HOSPITAL DEPARTAMENTAL SAN ANTONIO DE PITALITO,1049438,
CCF050,COMFAORIENTE_CCF050,891855438.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE DUITAMA,4316293,
CCF050,COMFAORIENTE_CCF050,899999092.0,INSTITUTO NACIONAL DE CANCEROLOGIA - EMPRESA SOCIAL DEL ESTADO,190005706,
CCF050,COMFAORIENTE_CCF050,900006037.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE SANTANDER,171764306,
CCF050,COMFAORIENTE_CCF050,900017916.0,SERVICIOS ESPECIALIZADOS FCB S.A.S,11965315,
CCF050,COMFAORIENTE_CCF050,900037353.0,ONCOMEDICAL I.P.S. S.A.S,434187056,
CCF050,COMFAORIENTE_CCF050,900041610.0,TRANSPORTE SALUD IMÁGENES TRANSALIM LTDA,53862762,
CCF050,COMFAORIENTE_CCF050,900066347.0,E.S.E. HOSPITAL REGIONAL SAN GIL,2610547,
CCF050,COMFAORIENTE_CCF050,900075758.0,GASTROQUIRURGICA S.A.S.,105645038,
CCF050,COMFAORIENTE_CCF050,900112351.0,UNIDAD HEMATOLOGICA ESPECIALIZADA IPS SAS,399271165,
CCF050,COMFAORIENTE_CCF050,900155231.0,SANAMEDIC SOCIEDAD POR ACCIONES SIMPLIFICADA - S.A.S,15321383,
CCF050,COMFAORIENTE_CCF050,900191362.0,SOCIEDAD DE OFTALMOLOGIA Y CIRUGIA PLASTICA DE CUCUTA S.A.,59799669,
CCF050,COMFAORIENTE_CCF050,900204617.0,MEDICUC IPS LTDA,5892740,
CCF050,COMFAORIENTE_CCF050,900222303.0,"ATENCION EN REHABILITACION INTEGRAL S.A.S. ""ATERIN S.A.S.""",6500760,
CCF050,COMFAORIENTE_CCF050,900225631.0,VIDAMEDICAL IPS S.A.S.,162108000,
CCF050,COMFAORIENTE_CCF050,900241448.0,CARDIOLOGIA DIAGNOSTICA DEL NORTE S.A.S.- CARDINOR S.A.S.,29542130,
CCF050,COMFAORIENTE_CCF050,900241734.0,CONFESALUD IPS LTDA.,11785714,
CCF050,COMFAORIENTE_CCF050,900257281.0,IPS MEDCARE DE COLOMBIA S.A.S.,3204000,
CCF050,COMFAORIENTE_CCF050,900301770.0,NEUROCOOP REHABILITACION FISICA Y MEDICA INTEGRAL,252045480,
CCF050,COMFAORIENTE_CCF050,900307987.0,VITAL MEDICAL CARE VIMEC S.A.S,60818400,
CCF050,COMFAORIENTE_CCF050,900309444.0,HOSPICLINIC DE COLOMBIA S.A.S.,101235453,
CCF050,COMFAORIENTE_CCF050,900315341.0,PIEL MEDICALSPA CENTRO DERMATOLOGICO IPS SAS,30936183,
CCF050,COMFAORIENTE_CCF050,900332743.0,CENTRO DE ECO-RADIODIAGNOSTICOS S.A.S,65512382,
CCF050,COMFAORIENTE_CCF050,900338359.0,IPS REHABILITACION INTEGRAL MARTA OMAÑA ASOCIADOS S.A.S,9488000,
CCF050,COMFAORIENTE_CCF050,900386919.0,INSTITUTO NEUROLOGICO INFANTIL S.A.S.,108557010,
CCF050,COMFAORIENTE_CCF050,900395846.0,SERVICIOS VIVIR S.A.S.,26561840,
CCF050,COMFAORIENTE_CCF050,900470642.0,MEDICAL DUARTE ZF S.A.S,2487305723,
CCF050,COMFAORIENTE_CCF050,900471992.0,NEUROALIADOS MEDICINA ESPECIALIZADA S.A.S.,70808516,
CCF050,COMFAORIENTE_CCF050,900535099.0,DROGUERIA MAGRETH S.A.S.,74384624,
CCF050,COMFAORIENTE_CCF050,900542979.0,CENTRO INTEGRAL DE ATENCION DIAGNOSTICA ESPECIALIZADA IPS SAS,307369407,
CCF050,COMFAORIENTE_CCF050,900575153.0,ANGIOVASCULAR MORENO,52796266,
CCF050,COMFAORIENTE_CCF050,900580962.0,DISFARMA G.C. S.A.S.,569067972,
CCF050,COMFAORIENTE_CCF050,900595259.0,SERVIMOS AMBULANCIAS DE COLOMBIA IPS S.A.S.,12316000,
CCF050,COMFAORIENTE_CCF050,900635297.0,UNIDAD DE MEDICINA MATERNOFETAL NORFETUS SOCIEDAD POR ACCIONES SIMPLIFICADA,26858364,
CCF050,COMFAORIENTE_CCF050,900704446.0,ECOIMAGEN SALUD S.A.S.,170574285,
CCF050,COMFAORIENTE_CCF050,900717202.0,CENTRO INTEGRAL DE DIAGNOSTICO MEDICO I.P.S. S.A.S.,26154160,
CCF050,COMFAORIENTE_CCF050,900752620.0,IPS CLINICAL HOUSE S.A.S.,87166350,
CCF050,COMFAORIENTE_CCF050,900900693.0,INSTITUCION PRESTADORA DE SERVICIOS DE SALUD DOMICILIARIOS SANARTE CLÍNICA DE HERIDAS Y OSTOMIAS S.A.S.,162372704,
CCF050,COMFAORIENTE_CCF050,900959048.0,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE E.S.E,14684608,
CCF050,COMFAORIENTE_CCF050,901127399.0,NEUMOLOGIA Y SERVICIOS DE REHABILITACION S.A.S,36881276,
CCF050,COMFAORIENTE_CCF050,901139193.0,MIRED BARRANQUILLA IPS S.A.S.,1028960,
CCF050,COMFAORIENTE_CCF050,901222235.0,UNIDAD DE HEMODINAMIA Y TERAPIA ENDOVASCULAR DEL NORTE DE SANTANDER S.A.S,6465311,
CCF050,COMFAORIENTE_CCF050,901254971.0,CENTRO DE ATENCION MI RENACER S.A.S.,26558400,
CCF050,COMFAORIENTE_CCF050,901313049.0,RED SALUD INTEGRAL IPS S.A.S.,140268200,
CCF050,COMFAORIENTE_CCF050,901315238.0,IMAGEN DENTAL INTEGRAL IPS S.A.S.,59943320,
CCF050,COMFAORIENTE_CCF050,901383010.0,UCIS DE COLOMBIA S.A.S.,147803054,
CCF050,COMFAORIENTE_CCF050,901417815.0,SOLUCIONES MEDICAS AVANZADAS S.A.S,13520717,
CCF055,CAJACOPI EPS,800000118.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL DEPARTAMENTAL UNIVERSITARIO DEL QUINDIO SAN JUAN DE DIOS,12869288,
CCF055,CAJACOPI EPS,800006850.0,EMPRESA SOCIAL DEL ESTADO REGION DE SALUD SOACHA,9815332,
CCF055,CAJACOPI EPS,800014884.0,ESE HOSPITAL HÉCTOR ABAD GÓMEZ,1385824,
CCF055,CAJACOPI EPS,800018233.0,SOMECA MALAMBO,7554130,
CCF055,CAJACOPI EPS,800025755.0,IPS CLINICA SAN IGNACIO LTDA,43146760,
CCF055,CAJACOPI EPS,800037021.0,HOSPITAL DEPARTAMENTAL DE GRANADA - EMPRESA SOCIAL DEL META,608320899,
CCF055,CAJACOPI EPS,800037979.0,E.S.E. HOSPITAL LOCAL DE PUERTO LOPEZ,94375423,
CCF055,CAJACOPI EPS,800061765.0,ESE HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,2892351,
CCF055,CAJACOPI EPS,800066001.0,CENTRO MEDICO OFTALMOLOGICO Y LABORATORIO CLINICO ANDRADE NARVAEZ SIGLA COLCAN S.A.S.,336423349,
CCF055,CAJACOPI EPS,800067514.0,COMITÉ MUNICIPAL DE LA CRUZ ROJA DE MAICAO,16633974,
CCF055,CAJACOPI EPS,800101022.0,ESE HOSPITAL NUESTRA SEÑORA DEL PILAR,7661812,
CCF055,CAJACOPI EPS,800112725.0,FUNDACION OFTALMOLOGICA DEL CARIBE,132827160,
CCF055,CAJACOPI EPS,800129856.0,CLINICA DE LA COSTA S.A.S.,257380776,
CCF055,CAJACOPI EPS,800143438.0,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,1308033,
CCF055,CAJACOPI EPS,800150497.0,ESE HOSPITAL FRANCISCO CANOSSA,1616671,
CCF055,CAJACOPI EPS,800154347.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA CANDELARIA,178846847,
CCF055,CAJACOPI EPS,800162035.0,SERVICIOS MEDICOS INTEGRALES DE SALUD SAS SERVIMEDICOS SAS,70659122,
CCF055,CAJACOPI EPS,800174375.0,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE FOMEQUE,1453265,
CCF055,CAJACOPI EPS,800175901.0,CLINICA EMPERATRIZ SAS,63251275,
CCF055,CAJACOPI EPS,800179966.0,IPS CLINICA REINA CATALINA S.A.S.,127573902,
CCF055,CAJACOPI EPS,800183943.0,CLINICA SANTA MARIA SAS,47880814,
CCF055,CAJACOPI EPS,800187260.0,INSTITUTO DE ENFERMEDADES DIGESTIVAS DE COLOMBIA S.A.S,55646319,
CCF055,CAJACOPI EPS,800191643.0,ESE HOSPITAL REGIONNAL II NIVEL DE SAN MARCOS,31232418,
CCF055,CAJACOPI EPS,800193989.0,CENTRO DIAGNOSTICO DE ESPECIALISTAS LTDA,11656965,
CCF055,CAJACOPI EPS,800197217.0,CLINICA DE ESPECIALISTAS MARIA AUXILIADORA S.A.S.,44602686,
CCF055,CAJACOPI EPS,800197424.0,ASOCIACION MEDICA DE MEDICINA NUCLEAR LTDA NUCLEAR 2000 LTDA,3631291,
CCF055,CAJACOPI EPS,800201197.0,E.S.E. HOSPITAL SAN FRANCISCO,209871748,
CCF055,CAJACOPI EPS,800201726.0,FUNDACION POLICLINICA CIENAGA,38890773,
CCF055,CAJACOPI EPS,800204153.0,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,69636050,
CCF055,CAJACOPI EPS,800222844.0,RADIOIMAGENES RADIOLOGOS ASOCIADOS S.A.S.,27135355,
CCF055,CAJACOPI EPS,800227279.0,TECNITRAUMA S.A.,500000000,
CCF055,CAJACOPI EPS,800234339.0,LABORATORIO CLINICO PROCESAR IPS SAS,96342935,
CCF055,CAJACOPI EPS,800234860.0,LITOTRICIA S.A.,38939864,
CCF055,CAJACOPI EPS,800235973.0,CENTRO DE DIALISIS SANTA MARGARITA,50000000,
CCF055,CAJACOPI EPS,800239977.0,REHABILITADORES ASOCIADOS LTDA,15703954,
CCF055,CAJACOPI EPS,802000608.0,S Y D COLOMBIA SA AGENCIA .,799999999,
CCF055,CAJACOPI EPS,802000909.0,CLINICA LOS ALMENDROS SAS,150000004,
CCF055,CAJACOPI EPS,802001084.0,IPS CLINICA SANTA ANA DE BARANOA,1115540,
CCF055,CAJACOPI EPS,802003081.0,E.S.E. HOSPITAL MUNICIPAL DE SABANAGRANDE,2356956,
CCF055,CAJACOPI EPS,802003414.0,EMPRESA SOCIAL DEL ESTADO HOSPITAL DE JUAN DE ACOSTA,3177516,
CCF055,CAJACOPI EPS,802004549.0,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO,35926950,
CCF055,CAJACOPI EPS,802006337.0,TAMARA IMÁGENES DIAGNOSTICAS S.A.S,249698243,
CCF055,CAJACOPI EPS,802009783.0,CLINICA SAN RAFAEL LTDA,2809974,
CCF055,CAJACOPI EPS,802009914.0,VISION DEL LITORAL SAS,2406485,
CCF055,CAJACOPI EPS,802010728.0,UROCENTRO LTDA,200000000,
CCF055,CAJACOPI EPS,802014132.0,INSTITUTO DE TRASPLANTE DE MÉDULA OSEA DE LA COSTA IPS S.A.S,102408090,
CCF055,CAJACOPI EPS,802016357.0,MEDICINA ALTA COMPLEJIDAD S.A,40000002,
CCF055,CAJACOPI EPS,802018443.0,"INSTITUTO ONCOHEMATOLOGICO BETANIA S.A "" BIO BETANIA S.A""",13794897,
CCF055,CAJACOPI EPS,802019573.0,CLINICA PORVENIR LIMITADA,150000002,
CCF055,CAJACOPI EPS,802019914.0,MAXIVISION LTDA IPS,161572470,
CCF055,CAJACOPI EPS,802019932.0,I.P.S SALUD PLENA S.A.S,3099603,
CCF055,CAJACOPI EPS,802020334.0,QUIMIOSALUD S.A.S,500000004,
CCF055,CAJACOPI EPS,802021332.0,CLINICA CENTRO S.A,54051912,
CCF055,CAJACOPI EPS,802022337.0,CENTRO DE ALERGIA ASMA E INMUNOLOGIA S.A.S.,8010000,
CCF055,CAJACOPI EPS,805010659.0,AMANECER MEDICO SAS,5841144,
CCF055,CAJACOPI EPS,806001061.0,EMPRESA SOCIAL DEL ESTADO CLINICA MATERNIDAD RAFAEL CALVO,47294793,
CCF055,CAJACOPI EPS,806005602.0,ESE HOSPITAL LOCAL TURBACO,1932653,
CCF055,CAJACOPI EPS,806007343.0,ESE HOSPITAL SAN NICOLAS DE TOLENTINO,4283448,
CCF055,CAJACOPI EPS,806008356.0,UCI DEL CARIBE SAS,11850999,
CCF055,CAJACOPI EPS,806008828.0,FUNDACIÓN CENTRO MEDICO PARA EL DESARROLLO HUMANO EN SALUD,323631087,
CCF055,CAJACOPI EPS,806008930.0,ESE CENTRO DE SALUD CON CAMAS DE MONTECRISTO,8547129,
CCF055,CAJACOPI EPS,806015513.0,CENTRO DE REHABILITACION FISICA LUCY ORDOÑEZ SAS,3864708,
CCF055,CAJACOPI EPS,812000527.0,CLINICA SAHAGUN I.P.S. S.A,17793749,
CCF055,CAJACOPI EPS,812001423.0,ESE CAMU SANTA TERESITA,280923839,
CCF055,CAJACOPI EPS,812001520.0,E.S.E. CAMU DE PUEBLO NUEVO,21735081,
CCF055,CAJACOPI EPS,812002958.0,CLINICA LA TRINIDAD I.P.S. LTDA,100000000,
