DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,TOTAL GIRO SEPTIEMBRE 2023,OBSERVACIÓN
05045,ANTIOQUIA,APARTADO,EPSS40,SAVIA SALUD,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,831212262,
05051,ANTIOQUIA,ARBOLETES,CCF033,EPS FAMILIAR DE COLOMBIA,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,36495000,
05051,ANTIOQUIA,ARBOLETES,EPSS40,SAVIA SALUD,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,398544354,
05055,ANTIOQUIA,ARGELIA,EPSS40,SAVIA SALUD,890981851,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,129469792,
05059,ANTIOQUIA,ARMENIA,EPSS37,NUEVA EPS,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,1978494,
05059,ANTIOQUIA,ARMENIA,EPSS40,SAVIA SALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,11786900,
05059,ANTIOQUIA,ARMENIA,ESS024,COOSALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,36961920,
05079,ANTIOQUIA,BARBOSA,EPSS40,SAVIA SALUD,890905193,ESE HOSPITAL SAN VICENTE DE PAUL,335016432,
05086,ANTIOQUIA,BELMIRA,EPSS37,NUEVA EPS,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,3195758,
05086,ANTIOQUIA,BELMIRA,EPSS40,SAVIA SALUD,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,49565590,
05088,ANTIOQUIA,BELLO,EPSS40,SAVIA SALUD,800174995,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,1858160644,
05091,ANTIOQUIA,BETANIA,EPSS40,SAVIA SALUD,890981494,E.S.E. HOSPITAL SAN ANTONIO DE BETANIA,76294374,
05093,ANTIOQUIA,BETULIA,EPSS40,SAVIA SALUD,890982116,E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ,277561814,
05101,ANTIOQUIA,BOLIVAR,EPSS37,NUEVA EPS,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,36816618,
05101,ANTIOQUIA,BOLIVAR,EPSS40,SAVIA SALUD,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,153810405,
05101,ANTIOQUIA,BOLIVAR,ESS024,COOSALUD,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,175627881,
05107,ANTIOQUIA,BRICEÑO,EPSS40,SAVIA SALUD,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,29083344,
05107,ANTIOQUIA,BRICEÑO,ESS024,COOSALUD,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,85921056,
05113,ANTIOQUIA,BURITICA,EPSS40,SAVIA SALUD,890983843,ESE HOSPITAL SAN ANTONIO,101175985,
05113,ANTIOQUIA,BURITICA,ESS024,COOSALUD,890983843,ESE HOSPITAL SAN ANTONIO,34145397,
05120,ANTIOQUIA,CACERES,EPSI03,A.I.C.,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,45286169,
05120,ANTIOQUIA,CACERES,EPSS37,NUEVA EPS,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,4622500,
05120,ANTIOQUIA,CACERES,ESS024,COOSALUD,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,373041130,
05125,ANTIOQUIA,CAICEDO,EPSS40,SAVIA SALUD,800037244,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,147726524,
05129,ANTIOQUIA,CALDAS,EPSS40,SAVIA SALUD,890907215,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE CALDAS,243206325,
05134,ANTIOQUIA,CAMPAMENTO,EPSS40,SAVIA SALUD,890985457,E.S.E. HOSPITAL LA SAGRADA FAMILIA,127131263,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS37,NUEVA EPS,890980784,E.S.E. HOSPITAL SAN CARLOS,18849450,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS40,SAVIA SALUD,890980784,E.S.E. HOSPITAL SAN CARLOS,222983060,
05142,ANTIOQUIA,CARACOLI,EPSS40,SAVIA SALUD,890981266,E.S.E. HOSPITAL SAN PIO X,55876435,
05145,ANTIOQUIA,CARAMANTA,EPSS40,SAVIA SALUD,890981163,E.S.E. HOSPITAL SAN ANTONIO,62344666,
05147,ANTIOQUIA,CAREPA,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,38832593,
05147,ANTIOQUIA,CAREPA,EPSS40,SAVIA SALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,505970706,
05147,ANTIOQUIA,CAREPA,ESS024,COOSALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,42113790,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS37,NUEVA EPS,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,88890436,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS40,SAVIA SALUD,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,219792232,
05154,ANTIOQUIA,CAUCASIA,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,374896603,
05154,ANTIOQUIA,CAUCASIA,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,540095190,
05172,ANTIOQUIA,CHIGORODO,CCF033,EPS FAMILIAR DE COLOMBIA,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,11187200,
05172,ANTIOQUIA,CHIGORODO,EPSI03,A.I.C.,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,57207794,
05172,ANTIOQUIA,CHIGORODO,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,57409868,
05172,ANTIOQUIA,CHIGORODO,EPSS40,SAVIA SALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,562481292,
05172,ANTIOQUIA,CHIGORODO,ESS024,COOSALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,39534312,
05190,ANTIOQUIA,CISNEROS,EPSS37,NUEVA EPS,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,15686496,
05190,ANTIOQUIA,CISNEROS,EPSS40,SAVIA SALUD,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,91241226,
05197,ANTIOQUIA,COCORNA,EPSS37,NUEVA EPS,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,48342069,
05197,ANTIOQUIA,COCORNA,EPSS40,SAVIA SALUD,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,203657906,
05206,ANTIOQUIA,CONCEPCION,EPSS40,SAVIA SALUD,890980512,ESE HOSPITAL JOSE MARIA CORDOBA,40817270,
05209,ANTIOQUIA,CONCORDIA,EPSS40,SAVIA SALUD,890907297,ESE HOSPITAL SAN JUAN DE DIOS,244241412,
05212,ANTIOQUIA,COPACABANA,EPSS37,NUEVA EPS,890980949,ESE HOSPITAL SANTA MARGARITA,19411755,
05212,ANTIOQUIA,COPACABANA,EPSS40,SAVIA SALUD,890980949,ESE HOSPITAL SANTA MARGARITA,295148089,
05234,ANTIOQUIA,DABEIBA,EPSI03,A.I.C.,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,129324036,
05234,ANTIOQUIA,DABEIBA,ESS024,COOSALUD,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,339626368,
05237,ANTIOQUIA,DON MATIAS,EPSS40,SAVIA SALUD,890905097,E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA,114575132,
05240,ANTIOQUIA,EBEJICO,EPSS40,SAVIA SALUD,890982370,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,129350600,
05250,ANTIOQUIA,EL BAGRE,EPSS40,SAVIA SALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,108069255,
05250,ANTIOQUIA,EL BAGRE,ESS024,COOSALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,445433786,
05264,ANTIOQUIA,ENTRERRIOS,EPSS37,NUEVA EPS,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,11942320,
05264,ANTIOQUIA,ENTRERRIOS,EPSS40,SAVIA SALUD,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,42539491,
05266,ANTIOQUIA,ENVIGADO,EPSS40,SAVIA SALUD,890906347,ESE HOSPITAL MANUEL URIBE ANGEL,317514401,
05282,ANTIOQUIA,FREDONIA,EPSS37,NUEVA EPS,890980181,ESE HOSPITAL DE SANTA LUCIA,28220644,
05282,ANTIOQUIA,FREDONIA,EPSS40,SAVIA SALUD,890980181,ESE HOSPITAL DE SANTA LUCIA,124499476,
05284,ANTIOQUIA,FRONTINO,EPSI03,A.I.C.,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,68882625,
05284,ANTIOQUIA,FRONTINO,EPSS37,NUEVA EPS,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,10349390,
05284,ANTIOQUIA,FRONTINO,EPSS40,SAVIA SALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,49938396,
05284,ANTIOQUIA,FRONTINO,ESS024,COOSALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,229357627,
05306,ANTIOQUIA,GIRALDO,ESS024,COOSALUD,800193392,E.S.E. HOSPITAL SAN ISIDRO,61875000,
05308,ANTIOQUIA,GIRARDOTA,EPSS40,SAVIA SALUD,890980727,E.S.E. HOSPITAL SAN RAFAEL,237695668,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS37,NUEVA EPS,890902151,E.S.E. HOSPITAL SANTA ISABEL,12872676,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS40,SAVIA SALUD,890902151,E.S.E. HOSPITAL SANTA ISABEL,85951727,
05313,ANTIOQUIA,GRANADA,EPSS40,SAVIA SALUD,890981182,ESE HOSPITAL PADRE CLEMENTE GIRALDO,103298125,
05315,ANTIOQUIA,GUADALUPE,EPSS40,SAVIA SALUD,890981690,E.S.E. NUESTRA SEÑORA DE GUADALUPE,72687672,
05318,ANTIOQUIA,GUARNE,EPSS37,NUEVA EPS,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,37100496,
05318,ANTIOQUIA,GUARNE,EPSS40,SAVIA SALUD,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,208512227,
05321,ANTIOQUIA,GUATAPE,EPSS37,NUEVA EPS,890981817,E.S.E. HOSPITAL LA INMACULADA,12398870,
05321,ANTIOQUIA,GUATAPE,EPSS40,SAVIA SALUD,890981817,E.S.E. HOSPITAL LA INMACULADA,67583456,
05347,ANTIOQUIA,HELICONIA,EPSS40,SAVIA SALUD,890981074,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,53640840,
05353,ANTIOQUIA,HISPANIA,ESS024,COOSALUD,800068653,ESE HOSPITAL SAN JUAN DEL SUROESTE,35377541,
05360,ANTIOQUIA,ITAGUI,EPSS40,SAVIA SALUD,811017810,E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,828945587,
05361,ANTIOQUIA,ITUANGO,EPSS37,NUEVA EPS,890980840,ESE HOSPITAL SAN JUAN DE DIOS,17693715,
05361,ANTIOQUIA,ITUANGO,EPSS40,SAVIA SALUD,890980840,ESE HOSPITAL SAN JUAN DE DIOS,348991100,
05364,ANTIOQUIA,JARDIN,EPSI03,A.I.C.,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,25833929,
05364,ANTIOQUIA,JARDIN,EPSS40,SAVIA SALUD,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,159567733,
05368,ANTIOQUIA,JERICO,ESS024,COOSALUD,890980765,NUEVA ESE HOSPITAL SAN RAFAEL JERICO,107531535,
05376,ANTIOQUIA,LA CEJA,EPSS40,SAVIA SALUD,890980758,ESE HOSPITAL DE LA CEJA,116172701,
05380,ANTIOQUIA,LA ESTRELLA,EPSS37,NUEVA EPS,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,10915409,
05380,ANTIOQUIA,LA ESTRELLA,EPSS40,SAVIA SALUD,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,175442224,
05390,ANTIOQUIA,LA PINTADA,EPSS37,NUEVA EPS,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,18579000,
05390,ANTIOQUIA,LA PINTADA,EPSS40,SAVIA SALUD,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,88450152,
05400,ANTIOQUIA,LA UNION,EPSS40,SAVIA SALUD,890980866,E.S.E. HOSPITAL SAN ROQUE - LA UNION,156421830,
05411,ANTIOQUIA,LIBORINA,EPSS40,SAVIA SALUD,890982139,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO,146561992,
05425,ANTIOQUIA,MACEO,EPSS40,SAVIA SALUD,890906966,EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA,104229092,
05440,ANTIOQUIA,MARINILLA,EPSS37,NUEVA EPS,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,58471316,
05440,ANTIOQUIA,MARINILLA,EPSS40,SAVIA SALUD,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,397136233,
05467,ANTIOQUIA,MONTEBELLO,EPSS40,SAVIA SALUD,890981096,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,92884016,
05480,ANTIOQUIA,MUTATA,EPSI03,A.I.C.,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,60283461,
05480,ANTIOQUIA,MUTATA,EPSS40,SAVIA SALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,275115087,
05480,ANTIOQUIA,MUTATA,ESS024,COOSALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,20037616,
05483,ANTIOQUIA,NARIÑO,EPSS40,SAVIA SALUD,890981652,E.S.E. HOSPITAL SAN JOAQUIN,137014228,
05483,ANTIOQUIA,NARIÑO,ESS024,COOSALUD,890981652,E.S.E. HOSPITAL SAN JOAQUIN,37809405,
05490,ANTIOQUIA,NECOCLI,CCF033,EPS FAMILIAR DE COLOMBIA,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,26354000,
05490,ANTIOQUIA,NECOCLI,EPSI03,A.I.C.,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,64603081,
05490,ANTIOQUIA,NECOCLI,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,29061333,
05490,ANTIOQUIA,NECOCLI,EPSS37,NUEVA EPS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,148451160,
05490,ANTIOQUIA,NECOCLI,EPSS40,SAVIA SALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,514223545,
05490,ANTIOQUIA,NECOCLI,EPSS41,NUEVA EPS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,321557670,
05490,ANTIOQUIA,NECOCLI,ESS024,COOSALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,159526080,
05495,ANTIOQUIA,NECHI,ESS024,COOSALUD,800138011,ESE HOSPITAL LA MISERICORDIA,401435322,
05501,ANTIOQUIA,OLAYA,EPSS40,SAVIA SALUD,800202398,ESE HOSPITAL SAN MIGUEL,33324408,
05541,ANTIOQUIA,PEÑOL,EPSS37,NUEVA EPS,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,75383680,
05541,ANTIOQUIA,PEÑOL,EPSS40,SAVIA SALUD,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,192119460,
05543,ANTIOQUIA,PEQUE,EPSS40,SAVIA SALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,51174784,
05543,ANTIOQUIA,PEQUE,ESS024,COOSALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,90011578,
05576,ANTIOQUIA,PUEBLORRICO,EPSS40,SAVIA SALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,21524570,
05576,ANTIOQUIA,PUEBLORRICO,ESS024,COOSALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,57114072,
05579,ANTIOQUIA,PUERTO BERRIO,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,319085446,
05579,ANTIOQUIA,PUERTO BERRIO,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,28871062,
05585,ANTIOQUIA,PUERTO NARE,EPSS37,NUEVA EPS,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,27707757,
05585,ANTIOQUIA,PUERTO NARE,EPSS40,SAVIA SALUD,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,88472504,
05585,ANTIOQUIA,PUERTO NARE,ESS024,COOSALUD,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,62340000,
05591,ANTIOQUIA,PUERTO TRIUNFO,EPSS40,SAVIA SALUD,890925336,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.,133553020,
05604,ANTIOQUIA,REMEDIOS,EPSS37,NUEVA EPS,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,32986074,
05604,ANTIOQUIA,REMEDIOS,EPSS40,SAVIA SALUD,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,122842350,
05604,ANTIOQUIA,REMEDIOS,ESS024,COOSALUD,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,275834129,
05607,ANTIOQUIA,RETIRO,EPSS37,NUEVA EPS,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,23892165,
05607,ANTIOQUIA,RETIRO,EPSS40,SAVIA SALUD,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,59321662,
05615,ANTIOQUIA,RIONEGRO,EPSS40,SAVIA SALUD,890907254,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,349940813,
05628,ANTIOQUIA,SABANALARGA,EPSS40,SAVIA SALUD,890982140,E.S.E. HOSPITAL SAN PEDRO,133444596,
05628,ANTIOQUIA,SABANALARGA,ESS024,COOSALUD,890982140,E.S.E. HOSPITAL SAN PEDRO,9273577,
05631,ANTIOQUIA,SABANETA,EPSS40,SAVIA SALUD,800123106,ESE HOSPITAL VENANCIO DIAZ DIAZ,151901198,
05642,ANTIOQUIA,SALGAR,EPSS40,SAVIA SALUD,890981424,E.S.E. HOSPITAL SAN JOSE,166384032,
05647,ANTIOQUIA,SAN ANDRES,EPSS40,SAVIA SALUD,890982113,EMPRESA SOCIAL DEL ESTADO HOSPITAL GUSTAVO GONZALEZ OCHOA,78815200,
05649,ANTIOQUIA,SAN CARLOS,EPSS37,NUEVA EPS,890981561,E.S.E. HOSPITAL SAN VICENTE DE PAÚL,13343040,
05649,ANTIOQUIA,SAN CARLOS,EPSS40,SAVIA SALUD,890981561,E.S.E. HOSPITAL SAN VICENTE DE PAÚL,141270892,
05652,ANTIOQUIA,SAN FRANCISCO,EPSS40,SAVIA SALUD,800133887,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS,102092605,
05656,ANTIOQUIA,SAN JERONIMO,EPSS37,NUEVA EPS,890981848,E.S.E. HOSPITAL SAN LUIS BELTRAN,35418266,
05656,ANTIOQUIA,SAN JERONIMO,EPSS40,SAVIA SALUD,890981848,E.S.E. HOSPITAL SAN LUIS BELTRAN,106497155,
05658,ANTIOQUIA,SAN JOSE DE LA MONTANA,EPSS40,SAVIA SALUD,890984427,E.S.E. HOSPITAL LAUREANO PINO,20796428,
05659,ANTIOQUIA,SAN JUAN DE URABA,CCF033,EPS FAMILIAR DE COLOMBIA,800143438,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,30447200,
05659,ANTIOQUIA,SAN JUAN DE URABA,EPSS40,SAVIA SALUD,800143438,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,350859760,
05659,ANTIOQUIA,SAN JUAN DE URABA,EPSS41,NUEVA EPS,800143438,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,100482576,
05660,ANTIOQUIA,SAN LUIS,EPSS37,NUEVA EPS,890982091,E.S.E. HOSPITAL SAN RAFAEL DE SAN LUIS,26807670,
05660,ANTIOQUIA,SAN LUIS,EPSS40,SAVIA SALUD,890982091,E.S.E. HOSPITAL SAN RAFAEL DE SAN LUIS,199473299,
05664,ANTIOQUIA,SAN PEDRO,EPSS37,NUEVA EPS,800014405,ESE HOSPITAL SANTA ISABEL,37985370,
05664,ANTIOQUIA,SAN PEDRO,EPSS40,SAVIA SALUD,800014405,ESE HOSPITAL SANTA ISABEL,169427113,
05665,ANTIOQUIA,SAN PEDRO DE URABA,EPSS40,SAVIA SALUD,890985660,E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ,670626180,
05665,ANTIOQUIA,SAN PEDRO DE URABA,ESS024,COOSALUD,890985660,E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ,37372853,
05667,ANTIOQUIA,SAN RAFAEL,EPSS37,NUEVA EPS,891982128,E.S.E. HOSPITAL PRESBÍTERO ALONSO MARIA GIRALDO,23051867,
05667,ANTIOQUIA,SAN RAFAEL,EPSS40,SAVIA SALUD,891982128,E.S.E. HOSPITAL PRESBÍTERO ALONSO MARIA GIRALDO,194949784,
05670,ANTIOQUIA,SAN ROQUE,EPSS37,NUEVA EPS,890906211,E.S.E. HOSPITAL MUNICIPAL SAN ROQUE,28175214,
