DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,FORMA DE CONTRATACIÓN,"TOTAL GIRO 
DICIEMBRE 2023",OBSERVACIÓN
05030,ANTIOQUIA,AMAGA,EPSS37,Nueva Eps,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,19109412,
05030,ANTIOQUIA,AMAGA,EPSS40,Savia Salud,890906346,ESE HOSPITAL SAN FERNANDO,Capitacion,60080731,
05030,ANTIOQUIA,AMAGA,ESS024,Coosalud,890906346,ESE HOSPITAL SAN FERNANDO,Capitacion,103906425,
05031,ANTIOQUIA,AMALFI,EPSS37,Nueva Eps,890982101,E.S.E HOSPITAL EL CARMEN,Capitacion,24840827,
05031,ANTIOQUIA,AMALFI,EPSS40,Savia Salud,890982101,E.S.E HOSPITAL EL CARMEN,Capitacion,102533462,
05031,ANTIOQUIA,AMALFI,ESS024,Coosalud,890982101,E.S.E HOSPITAL EL CARMEN,Capitacion,246969100,
05034,ANTIOQUIA,ANDES,EPSS40,Savia Salud,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,Capitacion,495965772,
05036,ANTIOQUIA,ANGELOPOLIS,EPSS37,Nueva Eps,890980959,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,Capitacion,4720000,
05038,ANTIOQUIA,ANGOSTURA,ESS024,Coosalud,890982183,E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA,Capitacion,321579823,
05040,ANTIOQUIA,ANORI,EPSS40,Savia Salud,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,Capitacion,57539120,
05040,ANTIOQUIA,ANORI,ESS024,Coosalud,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,Capitacion,484142891,
05042,ANTIOQUIA,ANTIOQUIA,EPSS37,Nueva Eps,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,51031917,
05042,ANTIOQUIA,ANTIOQUIA,EPSS40,Savia Salud,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,146900668,
05042,ANTIOQUIA,ANTIOQUIA,ESS024,Coosalud,890982264,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,191115698,
05044,ANTIOQUIA,ANZA,EPSS40,Savia Salud,890397282,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,Capitacion,113063380,
05045,ANTIOQUIA,APARTADO,EPSS10,Suramericana,900390423,PROMOTORA CLINICA ZONA FRANCA DE URABA SAS,Capitacion,309459465,
05045,ANTIOQUIA,APARTADO,EPSS40,Savia Salud,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,837902496,
05051,ANTIOQUIA,ARBOLETES,CCF033,Familiar de Colombia,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,Capitacion,34875000,
05051,ANTIOQUIA,ARBOLETES,EPSS37,Nueva Eps,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,Capitacion,10565177,
05051,ANTIOQUIA,ARBOLETES,EPSS40,Savia Salud,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,Capitacion,401943906,
05051,ANTIOQUIA,ARBOLETES,EPSS41,Nueva Eps,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,Capitacion,138488692,
05055,ANTIOQUIA,ARGELIA,EPSS40,Savia Salud,890981851,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,Capitacion,127278189,
05059,ANTIOQUIA,ARMENIA,EPSS37,Nueva Eps,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,Capitacion,2953395,
05059,ANTIOQUIA,ARMENIA,EPSS40,Savia Salud,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,Capitacion,12643884,
05059,ANTIOQUIA,ARMENIA,ESS024,Coosalud,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,Capitacion,36961920,
05079,ANTIOQUIA,BARBOSA,EPSS37,Nueva Eps,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,17784060,
05079,ANTIOQUIA,BARBOSA,EPSS40,Savia Salud,890905193,ESE HOSPITAL SAN VICENTE DE PAUL,Capitacion,339239682,
05086,ANTIOQUIA,BELMIRA,EPSS37,Nueva Eps,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,Capitacion,3960018,
05086,ANTIOQUIA,BELMIRA,EPSS40,Savia Salud,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,Capitacion,48464840,
05088,ANTIOQUIA,BELLO,EPSS40,Savia Salud,800174995,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,Capitacion,1927253578,
05091,ANTIOQUIA,BETANIA,EPSS40,Savia Salud,890981494,E.S.E. HOSPITAL SAN ANTONIO DE BETANIA,Capitacion,78258809,
05093,ANTIOQUIA,BETULIA,EPSS40,Savia Salud,890982116,E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ,Capitacion,305255228,
05101,ANTIOQUIA,BOLIVAR,EPSS40,Savia Salud,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,Capitacion,155769747,
05101,ANTIOQUIA,BOLIVAR,ESS024,Coosalud,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,Capitacion,179062938,
05107,ANTIOQUIA,BRICEÑO,EPSS40,Savia Salud,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,Capitacion,30567904,
05107,ANTIOQUIA,BRICEÑO,ESS024,Coosalud,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,Capitacion,85921056,
05113,ANTIOQUIA,BURITICA,EPSS40,Savia Salud,890983843,ESE HOSPITAL SAN ANTONIO,Capitacion,103455150,
05113,ANTIOQUIA,BURITICA,ESS024,Coosalud,890983843,ESE HOSPITAL SAN ANTONIO,Capitacion,11381799,
05120,ANTIOQUIA,CACERES,EPSI03,Asociación Indígena del Cauca,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,Capitacion,45286168,
05120,ANTIOQUIA,CACERES,EPSS37,Nueva Eps,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,Capitacion,4988000,
05120,ANTIOQUIA,CACERES,ESS024,Coosalud,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,Capitacion,559414363,
05125,ANTIOQUIA,CAICEDO,EPSS40,Savia Salud,800037244,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,Capitacion,149804032,
05129,ANTIOQUIA,CALDAS,EPSS37,Nueva Eps,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,17874220,
05129,ANTIOQUIA,CALDAS,EPSS40,Savia Salud,890907215,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE CALDAS,Capitacion,231423699,
05134,ANTIOQUIA,CAMPAMENTO,EPSS40,Savia Salud,890985457,E.S.E. HOSPITAL LA SAGRADA FAMILIA,Capitacion,127509354,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS37,Nueva Eps,890980784,E.S.E. HOSPITAL SAN CARLOS,Capitacion,18636060,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS40,Savia Salud,890980784,E.S.E. HOSPITAL SAN CARLOS,Capitacion,225542620,
05142,ANTIOQUIA,CARACOLI,EPSS40,Savia Salud,890981266,E.S.E. HOSPITAL SAN PIO X,Capitacion,56389395,
05145,ANTIOQUIA,CARAMANTA,EPSS40,Savia Salud,890981163,E.S.E. HOSPITAL SAN ANTONIO,Capitacion,59515591,
05147,ANTIOQUIA,CAREPA,EPSS37,Nueva Eps,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,Capitacion,24759162,
05147,ANTIOQUIA,CAREPA,EPSS40,Savia Salud,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,Capitacion,511264114,
05147,ANTIOQUIA,CAREPA,EPSS41,Nueva Eps,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,Capitacion,50420881,
05147,ANTIOQUIA,CAREPA,ESS024,Coosalud,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,Capitacion,42113790,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS37,Nueva Eps,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,92191534,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS40,Savia Salud,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,225472079,
05154,ANTIOQUIA,CAUCASIA,EPSS37,Nueva Eps,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,81725414,
05154,ANTIOQUIA,CAUCASIA,EPSS40,Savia Salud,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,Capitacion,378167559,
05154,ANTIOQUIA,CAUCASIA,ESS024,Coosalud,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,Capitacion,540095190,
05172,ANTIOQUIA,CHIGORODO,CCF033,Familiar de Colombia,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,Capitacion,10870200,
05172,ANTIOQUIA,CHIGORODO,CCF033,Familiar de Colombia,900966539,FUNDACION TRAZANDO CAMINOS,Capitacion,6204600,
05172,ANTIOQUIA,CHIGORODO,EPSI03,Asociación Indígena del Cauca,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,Capitacion,57207794,
05172,ANTIOQUIA,CHIGORODO,EPSS40,Savia Salud,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,Capitacion,566233236,
05172,ANTIOQUIA,CHIGORODO,ESS024,Coosalud,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,Capitacion,39534312,
05190,ANTIOQUIA,CISNEROS,EPSS37,Nueva Eps,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,Capitacion,19139186,
05190,ANTIOQUIA,CISNEROS,EPSS40,Savia Salud,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,Capitacion,105080076,
05197,ANTIOQUIA,COCORNA,EPSS40,Savia Salud,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,Capitacion,205677033,
05206,ANTIOQUIA,CONCEPCION,EPSS40,Savia Salud,890980512,ESE HOSPITAL JOSE MARIA CORDOBA,Capitacion,40977049,
05209,ANTIOQUIA,CONCORDIA,EPSS40,Savia Salud,890907297,ESE HOSPITAL SAN JUAN DE DIOS,Capitacion,246362688,
05212,ANTIOQUIA,COPACABANA,EPSS37,Nueva Eps,890980949,ESE HOSPITAL SANTA MARGARITA,Capitacion,20057985,
05212,ANTIOQUIA,COPACABANA,EPSS40,Savia Salud,890980949,ESE HOSPITAL SANTA MARGARITA,Capitacion,298421775,
05234,ANTIOQUIA,DABEIBA,EPSI03,Asociación Indígena del Cauca,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,Capitacion,129324036,
05234,ANTIOQUIA,DABEIBA,EPSS37,Nueva Eps,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,Capitacion,10554159,
05234,ANTIOQUIA,DABEIBA,ESS024,Coosalud,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,Capitacion,344705640,
05237,ANTIOQUIA,DON MATIAS,EPSS40,Savia Salud,890905097,E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA,Capitacion,116570168,
05240,ANTIOQUIA,EBEJICO,EPSS40,Savia Salud,890982370,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,Capitacion,131685300,
05250,ANTIOQUIA,EL BAGRE,EPSS40,Savia Salud,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,Capitacion,111464220,
05250,ANTIOQUIA,EL BAGRE,ESS024,Coosalud,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,Capitacion,445433786,
05264,ANTIOQUIA,ENTRERRIOS,EPSS37,Nueva Eps,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,Capitacion,13067654,
05264,ANTIOQUIA,ENTRERRIOS,EPSS40,Savia Salud,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,Capitacion,42134094,
05266,ANTIOQUIA,ENVIGADO,EPSS40,Savia Salud,890906347,ESE HOSPITAL MANUEL URIBE ANGEL,Capitacion,317020851,
05282,ANTIOQUIA,FREDONIA,EPSS37,Nueva Eps,890980181,ESE HOSPITAL DE SANTA LUCIA,Capitacion,29057500,
05282,ANTIOQUIA,FREDONIA,EPSS40,Savia Salud,890980181,ESE HOSPITAL DE SANTA LUCIA,Capitacion,145218670,
05284,ANTIOQUIA,FRONTINO,EPSI03,Asociación Indígena del Cauca,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,Capitacion,68882625,
05284,ANTIOQUIA,FRONTINO,EPSS37,Nueva Eps,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,Capitacion,12918456,
05284,ANTIOQUIA,FRONTINO,EPSS40,Savia Salud,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,Capitacion,50658676,
05284,ANTIOQUIA,FRONTINO,ESS024,Coosalud,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,Capitacion,234110483,
05306,ANTIOQUIA,GIRALDO,ESS024,Coosalud,800193392,E.S.E. HOSPITAL SAN ISIDRO,Capitacion,61875000,
05308,ANTIOQUIA,GIRARDOTA,EPSS40,Savia Salud,890980727,E.S.E. HOSPITAL SAN RAFAEL,Capitacion,238630141,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS40,Savia Salud,890902151,E.S.E. HOSPITAL SANTA ISABEL,Capitacion,86255684,
05313,ANTIOQUIA,GRANADA,EPSS40,Savia Salud,890981182,ESE HOSPITAL PADRE CLEMENTE GIRALDO,Capitacion,104785618,
05315,ANTIOQUIA,GUADALUPE,EPSS40,Savia Salud,890981690,E.S.E. NUESTRA SEÑORA DE GUADALUPE,Capitacion,72471364,
05318,ANTIOQUIA,GUARNE,EPSS37,Nueva Eps,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,Capitacion,41027568,
05318,ANTIOQUIA,GUARNE,EPSS40,Savia Salud,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,Capitacion,213049435,
05321,ANTIOQUIA,GUATAPE,EPSS37,Nueva Eps,890981817,E.S.E. HOSPITAL LA INMACULADA,Capitacion,14363460,
05321,ANTIOQUIA,GUATAPE,EPSS40,Savia Salud,890981817,E.S.E. HOSPITAL LA INMACULADA,Capitacion,68668635,
05347,ANTIOQUIA,HELICONIA,EPSS40,Savia Salud,890981074,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,Capitacion,55049060,
05353,ANTIOQUIA,HISPANIA,ESS024,Coosalud,800068653,ESE HOSPITAL SAN JUAN DEL SUROESTE,Capitacion,35377541,
05360,ANTIOQUIA,ITAGUI,EPSS10,Suramericana,800190884,CLINICA ANTIOQUIA S.A.,Capitacion,170173664,
05360,ANTIOQUIA,ITAGUI,EPSS40,Savia Salud,811017810,E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,Capitacion,841983906,
05361,ANTIOQUIA,ITUANGO,EPSS37,Nueva Eps,890980840,ESE HOSPITAL SAN JUAN DE DIOS,Capitacion,20447303,
05361,ANTIOQUIA,ITUANGO,EPSS40,Savia Salud,890980840,ESE HOSPITAL SAN JUAN DE DIOS,Capitacion,348596300,
05364,ANTIOQUIA,JARDIN,EPSI03,Asociación Indígena del Cauca,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,Capitacion,25833929,
05364,ANTIOQUIA,JARDIN,EPSS40,Savia Salud,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,Capitacion,159691611,
05368,ANTIOQUIA,JERICO,ESS024,Coosalud,890980765,NUEVA ESE HOSPITAL SAN RAFAEL JERICO,Capitacion,213118806,
05376,ANTIOQUIA,LA CEJA,EPSS37,Nueva Eps,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,Capitacion,37881053,
05376,ANTIOQUIA,LA CEJA,EPSS40,Savia Salud,890980758,ESE HOSPITAL DE LA CEJA,Capitacion,118072953,
05380,ANTIOQUIA,LA ESTRELLA,EPSS37,Nueva Eps,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,Capitacion,11467501,
05380,ANTIOQUIA,LA ESTRELLA,EPSS40,Savia Salud,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,Capitacion,180013469,
05390,ANTIOQUIA,LA PINTADA,EPSS37,Nueva Eps,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,Capitacion,19322160,
05390,ANTIOQUIA,LA PINTADA,EPSS40,Savia Salud,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,Capitacion,88870765,
05400,ANTIOQUIA,LA UNION,EPSS40,Savia Salud,890980866,E.S.E. HOSPITAL SAN ROQUE - LA UNION,Capitacion,155146454,
05411,ANTIOQUIA,LIBORINA,EPSS40,Savia Salud,890982139,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO,Capitacion,147657464,
05425,ANTIOQUIA,MACEO,EPSS40,Savia Salud,890906966,EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA,Capitacion,103923041,
05440,ANTIOQUIA,MARINILLA,EPSS37,Nueva Eps,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,Capitacion,61191482,
05440,ANTIOQUIA,MARINILLA,EPSS40,Savia Salud,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,Capitacion,377534951,
05467,ANTIOQUIA,MONTEBELLO,EPSS40,Savia Salud,890981096,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,Capitacion,92817580,
05475,ANTIOQUIA,MURINDO,EPSS40,Savia Salud,800165050,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,Capitacion,61070704,
05480,ANTIOQUIA,MUTATA,EPSI03,Asociación Indígena del Cauca,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,Capitacion,60283458,
05480,ANTIOQUIA,MUTATA,EPSS37,Nueva Eps,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,Capitacion,31135181,
05480,ANTIOQUIA,MUTATA,EPSS40,Savia Salud,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,Capitacion,275140536,
05480,ANTIOQUIA,MUTATA,EPSS41,Nueva Eps,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,Capitacion,38558520,
05480,ANTIOQUIA,MUTATA,ESS024,Coosalud,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,Capitacion,23815952,
05483,ANTIOQUIA,NARIÑO,EPSS40,Savia Salud,890981652,E.S.E. HOSPITAL SAN JOAQUIN,Capitacion,137452740,
05483,ANTIOQUIA,NARIÑO,ESS024,Coosalud,890981652,E.S.E. HOSPITAL SAN JOAQUIN,Capitacion,12603135,
05490,ANTIOQUIA,NECOCLI,CCF033,Familiar de Colombia,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,26235000,
05490,ANTIOQUIA,NECOCLI,EPSI03,Asociación Indígena del Cauca,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,44827984,
05490,ANTIOQUIA,NECOCLI,EPSS37,Nueva Eps,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,109625472,
05490,ANTIOQUIA,NECOCLI,EPSS40,Savia Salud,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,512384295,
05490,ANTIOQUIA,NECOCLI,EPSS41,Nueva Eps,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,367260903,
05490,ANTIOQUIA,NECOCLI,ESS024,Coosalud,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,Capitacion,159526080,
05495,ANTIOQUIA,NECHI,ESS024,Coosalud,800138011,ESE HOSPITAL LA MISERICORDIA,Capitacion,354362174,
05501,ANTIOQUIA,OLAYA,EPSS40,Savia Salud,800202398,ESE HOSPITAL SAN MIGUEL,Capitacion,33275067,
05541,ANTIOQUIA,PEÑOL,EPSS37,Nueva Eps,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,76887674,
05541,ANTIOQUIA,PEÑOL,EPSS40,Savia Salud,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,Capitacion,196612140,
05543,ANTIOQUIA,PEQUE,EPSS40,Savia Salud,890983675,E.S.E. HOSPITAL SAN FRANCISCO,Capitacion,52193408,
05543,ANTIOQUIA,PEQUE,ESS024,Coosalud,890983675,E.S.E. HOSPITAL SAN FRANCISCO,Capitacion,133110809,
05576,ANTIOQUIA,PUEBLORRICO,EPSS40,Savia Salud,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,Capitacion,21683866,
05576,ANTIOQUIA,PUEBLORRICO,ESS024,Coosalud,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,Capitacion,65161670,
05579,ANTIOQUIA,PUERTO BERRIO,EPSS40,Savia Salud,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,Capitacion,319072169,
05579,ANTIOQUIA,PUERTO BERRIO,ESS024,Coosalud,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,Capitacion,29398570,
05585,ANTIOQUIA,PUERTO NARE,EPSS37,Nueva Eps,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,Capitacion,28251531,
05585,ANTIOQUIA,PUERTO NARE,EPSS40,Savia Salud,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,Capitacion,88345962,
05585,ANTIOQUIA,PUERTO NARE,ESS024,Coosalud,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,Capitacion,20780000,
05591,ANTIOQUIA,PUERTO TRIUNFO,EPSS40,Savia Salud,890925336,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.,Capitacion,135107140,
05604,ANTIOQUIA,REMEDIOS,EPSS37,Nueva Eps,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,Capitacion,36728680,
05604,ANTIOQUIA,REMEDIOS,EPSS40,Savia Salud,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,Capitacion,126722942,
05604,ANTIOQUIA,REMEDIOS,ESS024,Coosalud,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,Capitacion,313517520,
05607,ANTIOQUIA,RETIRO,EPSS37,Nueva Eps,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,Capitacion,24133500,
05607,ANTIOQUIA,RETIRO,EPSS40,Savia Salud,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,Capitacion,58508782,
05615,ANTIOQUIA,RIONEGRO,EPSS40,Savia Salud,890907254,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,Capitacion,359597768,
05628,ANTIOQUIA,SABANALARGA,EPSS40,Savia Salud,890982140,E.S.E. HOSPITAL SAN PEDRO,Capitacion,135455956,
