DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,"TOTAL GIRO ($)MARZO 2023",OBSERVACIÓN
05147,ANTIOQUIA,CAREPA,EPSS40,SAVIA SALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,458392473,
05147,ANTIOQUIA,CAREPA,EPSS41,NUEVA EPS,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,29987847,
05147,ANTIOQUIA,CAREPA,ESS024,COOSALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,46241898,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS37,NUEVA EPS,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,44990066,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS40,SAVIA SALUD,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,196896888,
05154,ANTIOQUIA,CAUCASIA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,53222820,
05154,ANTIOQUIA,CAUCASIA,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,325733782,
05154,ANTIOQUIA,CAUCASIA,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,461830611,
05172,ANTIOQUIA,CHIGORODO,EPSI03,A.I.C.,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,49759961,
05172,ANTIOQUIA,CHIGORODO,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,69512569,
05172,ANTIOQUIA,CHIGORODO,EPSS40,SAVIA SALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,524467005,
05172,ANTIOQUIA,CHIGORODO,ESS024,COOSALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,41793477,
05190,ANTIOQUIA,CISNEROS,EPSS40,SAVIA SALUD,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,94589423,
05197,ANTIOQUIA,COCORNA,EPSS37,NUEVA EPS,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,18348690,
05197,ANTIOQUIA,COCORNA,EPSS40,SAVIA SALUD,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,177008446,
05206,ANTIOQUIA,CONCEPCION,EPSS40,SAVIA SALUD,890980512,ESE HOSPITAL JOSE MARIA CORDOBA,33113075,
05209,ANTIOQUIA,CONCORDIA,EPSS40,SAVIA SALUD,890907297,ESE HOSPITAL SAN JUAN DE DIOS,220692365,
05212,ANTIOQUIA,COPACABANA,EPSS37,NUEVA EPS,890980949,ESE HOSPITAL SANTA MARGARITA,16401528,
05212,ANTIOQUIA,COPACABANA,EPSS40,SAVIA SALUD,890980949,ESE HOSPITAL SANTA MARGARITA,263490125,
05234,ANTIOQUIA,DABEIBA,EPSI03,A.I.C.,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,113736607,
05234,ANTIOQUIA,DABEIBA,ESS024,COOSALUD,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,321143929,
05237,ANTIOQUIA,DON MATIAS,EPSS40,SAVIA SALUD,890905097,E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA,101742894,
05240,ANTIOQUIA,EBEJICO,EPSS40,SAVIA SALUD,890982370,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,115297888,
05250,ANTIOQUIA,EL BAGRE,EPSS40,SAVIA SALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,96109944,
05250,ANTIOQUIA,EL BAGRE,ESS024,COOSALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,392835524,
05264,ANTIOQUIA,ENTRERRIOS,EPSS40,SAVIA SALUD,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,38291363,
05266,ANTIOQUIA,ENVIGADO,EPSS40,SAVIA SALUD,890906347,ESE HOSPITAL MANUEL URIBE ANGEL,275620710,
05282,ANTIOQUIA,FREDONIA,EPSS37,NUEVA EPS,890980181,ESE HOSPITAL DE SANTA LUCIA,24220000,
05282,ANTIOQUIA,FREDONIA,EPSS40,SAVIA SALUD,890980181,ESE HOSPITAL DE SANTA LUCIA,128899505,
05284,ANTIOQUIA,FRONTINO,EPSI03,A.I.C.,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,59786008,
05284,ANTIOQUIA,FRONTINO,EPSS37,NUEVA EPS,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,9604395,
05284,ANTIOQUIA,FRONTINO,EPSS40,SAVIA SALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,44363261,
05284,ANTIOQUIA,FRONTINO,ESS024,COOSALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,230027697,
05308,ANTIOQUIA,GIRARDOTA,EPSS40,SAVIA SALUD,890980727,E.S.E. HOSPITAL SAN RAFAEL,212247958,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS37,NUEVA EPS,890902151,E.S.E. HOSPITAL SANTA ISABEL,10675990,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS40,SAVIA SALUD,890902151,E.S.E. HOSPITAL SANTA ISABEL,77682222,
05313,ANTIOQUIA,GRANADA,EPSS40,SAVIA SALUD,890981182,ESE HOSPITAL PADRE CLEMENTE GIRALDO,91619103,
05315,ANTIOQUIA,GUADALUPE,EPSS40,SAVIA SALUD,890981690,E.S.E. NUESTRA SEÑORA DE GUADALUPE,66865640,
05318,ANTIOQUIA,GUARNE,EPSS37,NUEVA EPS,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,28274016,
05318,ANTIOQUIA,GUARNE,EPSS40,SAVIA SALUD,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,187203445,
05321,ANTIOQUIA,GUATAPE,EPSS40,SAVIA SALUD,890981817,E.S.E. HOSPITAL LA INMACULADA,60268088,
05347,ANTIOQUIA,HELICONIA,EPSS40,SAVIA SALUD,890981074,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,49925351,
05353,ANTIOQUIA,HISPANIA,ESS024,COOSALUD,800068653,ESE HOSPITAL SAN JUAN DEL SUROESTE,35275343,
05360,ANTIOQUIA,ITAGUI,EPSS40,SAVIA SALUD,811017810,E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,734986507,
05361,ANTIOQUIA,ITUANGO,EPSS40,SAVIA SALUD,890980840,ESE HOSPITAL SAN JUAN DE DIOS,315776216,
05364,ANTIOQUIA,JARDIN,EPSI03,A.I.C.,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,22139943,
05364,ANTIOQUIA,JARDIN,EPSS40,SAVIA SALUD,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,139988700,
05368,ANTIOQUIA,JERICO,ESS024,COOSALUD,890980765,NUEVA ESE HOSPITAL SAN RAFAEL JERICO,128948307,
05376,ANTIOQUIA,LA CEJA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,20497680,
05376,ANTIOQUIA,LA CEJA,EPSS40,SAVIA SALUD,890980758,ESE HOSPITAL DE LA CEJA,101464505,
05380,ANTIOQUIA,LA ESTRELLA,EPSS37,NUEVA EPS,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,9304859,
05380,ANTIOQUIA,LA ESTRELLA,EPSS40,SAVIA SALUD,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,156893827,
05390,ANTIOQUIA,LA PINTADA,EPSS40,SAVIA SALUD,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,80036878,
05400,ANTIOQUIA,LA UNION,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,11582424,
05400,ANTIOQUIA,LA UNION,EPSS40,SAVIA SALUD,890980866,E.S.E. HOSPITAL SAN ROQUE - LA UNION,141636937,
05411,ANTIOQUIA,LIBORINA,EPSS40,SAVIA SALUD,890982139,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO,131599800,
05425,ANTIOQUIA,MACEO,EPSS40,SAVIA SALUD,890906966,EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA,94466610,
05440,ANTIOQUIA,MARINILLA,EPSS37,NUEVA EPS,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,44719164,
05440,ANTIOQUIA,MARINILLA,EPSS40,SAVIA SALUD,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,322486782,
05467,ANTIOQUIA,MONTEBELLO,EPSS40,SAVIA SALUD,890981096,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,81616036,
05475,ANTIOQUIA,MURINDO,EPSI03,A.I.C.,800165050,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,51066892,
05475,ANTIOQUIA,MURINDO,EPSS40,SAVIA SALUD,800165050,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,57066429,
05480,ANTIOQUIA,MUTATA,EPSI03,A.I.C.,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,59720302,
05480,ANTIOQUIA,MUTATA,EPSS40,SAVIA SALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,253332310,
05480,ANTIOQUIA,MUTATA,EPSS41,NUEVA EPS,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,15035062,
05480,ANTIOQUIA,MUTATA,ESS024,COOSALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,22629240,
05483,ANTIOQUIA,NARIÑO,EPSS40,SAVIA SALUD,890981652,E.S.E. HOSPITAL SAN JOAQUIN,126033624,
05490,ANTIOQUIA,NECOCLI,EPSI03,A.I.C.,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,56021839,
05490,ANTIOQUIA,NECOCLI,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,31080924,
05490,ANTIOQUIA,NECOCLI,EPSS37,NUEVA EPS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,301151223,
05490,ANTIOQUIA,NECOCLI,EPSS40,SAVIA SALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,479332100,
05490,ANTIOQUIA,NECOCLI,EPSS41,NUEVA EPS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,85319109,
05490,ANTIOQUIA,NECOCLI,ESS024,COOSALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,148797592,
05495,ANTIOQUIA,NECHI,ESS024,COOSALUD,800138011,ESE HOSPITAL LA MISERICORDIA,330628338,
05501,ANTIOQUIA,OLAYA,EPSS40,SAVIA SALUD,800202398,ESE HOSPITAL SAN MIGUEL,29867822,
05541,ANTIOQUIA,PEÑOL,EPSS37,NUEVA EPS,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,21461508,
05541,ANTIOQUIA,PEÑOL,EPSS40,SAVIA SALUD,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,165163920,
05543,ANTIOQUIA,PEQUE,EPSS40,SAVIA SALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,47668584,
05543,ANTIOQUIA,PEQUE,ESS024,COOSALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,87147648,
05576,ANTIOQUIA,PUEBLORRICO,EPSS40,SAVIA SALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,19478243,
05576,ANTIOQUIA,PUEBLORRICO,ESS024,COOSALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,61873578,
05579,ANTIOQUIA,PUERTO BERRIO,EPSS37,NUEVA EPS,900219765,IPS SALUD ANTIOQUIA LTDA,37329243,
05579,ANTIOQUIA,PUERTO BERRIO,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,319862896,
05579,ANTIOQUIA,PUERTO BERRIO,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,37302920,
05585,ANTIOQUIA,PUERTO NARE,EPSS37,NUEVA EPS,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,40400000,
05585,ANTIOQUIA,PUERTO NARE,EPSS40,SAVIA SALUD,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,85392885,
05591,ANTIOQUIA,PUERTO TRIUNFO,EPSS40,SAVIA SALUD,890925336,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.,144932000,
05604,ANTIOQUIA,REMEDIOS,EPSS37,NUEVA EPS,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,26160000,
05604,ANTIOQUIA,REMEDIOS,EPSS40,SAVIA SALUD,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,107097654,
05604,ANTIOQUIA,REMEDIOS,ESS024,COOSALUD,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,310405579,
05607,ANTIOQUIA,RETIRO,EPSS37,NUEVA EPS,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,15720727,
05607,ANTIOQUIA,RETIRO,EPSS40,SAVIA SALUD,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,52771901,
05615,ANTIOQUIA,RIONEGRO,EPSS40,SAVIA SALUD,890907254,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,331084597,
05628,ANTIOQUIA,SABANALARGA,EPSS40,SAVIA SALUD,890982140,E.S.E. HOSPITAL SAN PEDRO,118971931,
05631,ANTIOQUIA,SABANETA,EPSS40,SAVIA SALUD,800123106,ESE HOSPITAL VENANCIO DIAZ DIAZ,136946302,
05642,ANTIOQUIA,SALGAR,EPSS40,SAVIA SALUD,890981424,E.S.E. HOSPITAL SAN JOSE,148162804,
05647,ANTIOQUIA,SAN ANDRES,EPSS40,SAVIA SALUD,890982113,EMPRESA SOCIAL DEL ESTADO HOSPITAL GUSTAVO GONZALEZ OCHOA,70838525,
05649,ANTIOQUIA,SAN CARLOS,EPSS37,NUEVA EPS,890981561,E.S.E. HOSPITAL SAN VICENTE DE PAÚL,12488760,
05649,ANTIOQUIA,SAN CARLOS,EPSS40,SAVIA SALUD,890981561,E.S.E. HOSPITAL SAN VICENTE DE PAÚL,124978522,
05652,ANTIOQUIA,SAN FRANCISCO,EPSS40,SAVIA SALUD,800133887,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS,90541645,
05656,ANTIOQUIA,SAN JERONIMO,EPSS40,SAVIA SALUD,890981848,E.S.E. HOSPITAL SAN LUIS BELTRAN,95665782,
05658,ANTIOQUIA,SAN JOSE DE LA MONTANA,EPSS40,SAVIA SALUD,890984427,E.S.E. HOSPITAL LAUREANO PINO,21120786,
05659,ANTIOQUIA,SAN JUAN DE URABA,EPSS40,SAVIA SALUD,800143438,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,316948366,
05660,ANTIOQUIA,SAN LUIS,EPSS37,NUEVA EPS,890982091,E.S.E. HOSPITAL SAN RAFAEL DE SAN LUIS,25093900,
05660,ANTIOQUIA,SAN LUIS,EPSS40,SAVIA SALUD,890982091,E.S.E. HOSPITAL SAN RAFAEL DE SAN LUIS,178666329,
05664,ANTIOQUIA,SAN PEDRO,EPSS37,NUEVA EPS,800014405,ESE HOSPITAL SANTA ISABEL,30714156,
05664,ANTIOQUIA,SAN PEDRO,EPSS40,SAVIA SALUD,800014405,ESE HOSPITAL SANTA ISABEL,152159099,
05665,ANTIOQUIA,SAN PEDRO DE URABA,EPSS37,NUEVA EPS,890985660,E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ,63063665,
05665,ANTIOQUIA,SAN PEDRO DE URABA,EPSS40,SAVIA SALUD,890985660,E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ,599103960,
05665,ANTIOQUIA,SAN PEDRO DE URABA,ESS024,COOSALUD,890985660,E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ,37216172,
05667,ANTIOQUIA,SAN RAFAEL,EPSS37,NUEVA EPS,891982128,E.S.E. HOSPITAL PRESBÍTERO ALONSO MARIA GIRALDO,18926900,
05667,ANTIOQUIA,SAN RAFAEL,EPSS40,SAVIA SALUD,891982128,E.S.E. HOSPITAL PRESBÍTERO ALONSO MARIA GIRALDO,169761808,
05670,ANTIOQUIA,SAN ROQUE,EPSS37,NUEVA EPS,890906211,E.S.E. HOSPITAL MUNICIPAL SAN ROQUE,24404290,
