DANE,DEPARTAMENTO,MUNICIPIO,COD EPS,NOMBRE EPS,NIT IPS,NOMBRE IPS,TOTAL GIRO ABRIL 2023,OBSERVACIÓN
05045,ANTIOQUIA,APARTADO,EPSS40,SAVIA SALUD,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,786598306,
05051,ANTIOQUIA,ARBOLETES,CCF033,EPS FAMILIAR DE COLOMBIA,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,31799000,
05051,ANTIOQUIA,ARBOLETES,EPSS40,SAVIA SALUD,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,364029225,
05055,ANTIOQUIA,ARGELIA,EPSS40,SAVIA SALUD,890981851,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,114219423,
05059,ANTIOQUIA,ARMENIA,EPSS37,NUEVA EPS,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,2269449,
05059,ANTIOQUIA,ARMENIA,EPSS40,SAVIA SALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,11922649,
05059,ANTIOQUIA,ARMENIA,ESS024,COOSALUD,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,41006488,
05079,ANTIOQUIA,BARBOSA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,14861308,
05079,ANTIOQUIA,BARBOSA,EPSS40,SAVIA SALUD,890905193,ESE HOSPITAL SAN VICENTE DE PAUL,295728134,
05086,ANTIOQUIA,BELMIRA,EPSS37,NUEVA EPS,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,3745712,
05086,ANTIOQUIA,BELMIRA,EPSS40,SAVIA SALUD,890982065,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,46553139,
05088,ANTIOQUIA,BELLO,EPSS40,SAVIA SALUD,800174995,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,1656923740,
05091,ANTIOQUIA,BETANIA,EPSS40,SAVIA SALUD,890981494,E.S.E. HOSPITAL SAN ANTONIO DE BETANIA,66052496,
05093,ANTIOQUIA,BETULIA,EPSS40,SAVIA SALUD,890982116,E.S.E HOSPITAL GERMAN VELEZ GUTIERREZ,264734581,
05101,ANTIOQUIA,BOLIVAR,EPSS37,NUEVA EPS,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,25038720,
05101,ANTIOQUIA,BOLIVAR,EPSS40,SAVIA SALUD,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,142915137,
05101,ANTIOQUIA,BOLIVAR,ESS024,COOSALUD,890907241,E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR,225340581,
05107,ANTIOQUIA,BRICEÑO,EPSS40,SAVIA SALUD,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,26874656,
05107,ANTIOQUIA,BRICEÑO,ESS024,COOSALUD,800044320,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,92793537,
05113,ANTIOQUIA,BURITICA,EPSS37,NUEVA EPS,890983843,ESE HOSPITAL SAN ANTONIO,18340548,
05113,ANTIOQUIA,BURITICA,EPSS40,SAVIA SALUD,890983843,ESE HOSPITAL SAN ANTONIO,87365258,
05120,ANTIOQUIA,CACERES,EPSI03,A.I.C.,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,40897395,
05120,ANTIOQUIA,CACERES,ESS024,COOSALUD,890982430,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,390921735,
05125,ANTIOQUIA,CAICEDO,EPSS40,SAVIA SALUD,800037244,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,130025973,
05129,ANTIOQUIA,CALDAS,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,15327592,
05129,ANTIOQUIA,CALDAS,EPSS40,SAVIA SALUD,890907215,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE CALDAS,230678643,
05134,ANTIOQUIA,CAMPAMENTO,EPSS40,SAVIA SALUD,890985457,E.S.E. HOSPITAL LA SAGRADA FAMILIA,113116484,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS37,NUEVA EPS,890980784,E.S.E. HOSPITAL SAN CARLOS,15442800,
05138,ANTIOQUIA,CAÑASGORDAS,EPSS40,SAVIA SALUD,890980784,E.S.E. HOSPITAL SAN CARLOS,195394502,
05142,ANTIOQUIA,CARACOLI,EPSS40,SAVIA SALUD,890981266,E.S.E. HOSPITAL SAN PIO X,49979966,
05145,ANTIOQUIA,CARAMANTA,EPSS40,SAVIA SALUD,890981163,E.S.E. HOSPITAL SAN ANTONIO,58251445,
05147,ANTIOQUIA,CAREPA,EPSS37,NUEVA EPS,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,27442341,
05147,ANTIOQUIA,CAREPA,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,45797215,
05147,ANTIOQUIA,CAREPA,EPSS40,SAVIA SALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,452174867,
05147,ANTIOQUIA,CAREPA,EPSS41,NUEVA EPS,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,31081968,
05147,ANTIOQUIA,CAREPA,ESS024,COOSALUD,800227877,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,56406180,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS37,NUEVA EPS,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,49397477,
05148,ANTIOQUIA,CARMEN DE VIBORAL,EPSS40,SAVIA SALUD,890907279,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,195464258,
05154,ANTIOQUIA,CAUCASIA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,53715858,
05154,ANTIOQUIA,CAUCASIA,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,316081694,
05154,ANTIOQUIA,CAUCASIA,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,536393550,
05172,ANTIOQUIA,CHIGORODO,EPSI03,A.I.C.,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,49759961,
05172,ANTIOQUIA,CHIGORODO,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,67819676,
05172,ANTIOQUIA,CHIGORODO,EPSS40,SAVIA SALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,519962910,
05172,ANTIOQUIA,CHIGORODO,ESS024,COOSALUD,890980997,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,50325870,
05190,ANTIOQUIA,CISNEROS,EPSS40,SAVIA SALUD,890980444,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,91086800,
05197,ANTIOQUIA,COCORNA,EPSS37,NUEVA EPS,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,19852700,
05197,ANTIOQUIA,COCORNA,EPSS40,SAVIA SALUD,890981108,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,179551733,
05206,ANTIOQUIA,CONCEPCION,EPSS40,SAVIA SALUD,890980512,ESE HOSPITAL JOSE MARIA CORDOBA,33300508,
05209,ANTIOQUIA,CONCORDIA,EPSS40,SAVIA SALUD,890907297,ESE HOSPITAL SAN JUAN DE DIOS,217276330,
05212,ANTIOQUIA,COPACABANA,EPSS40,SAVIA SALUD,890980949,ESE HOSPITAL SANTA MARGARITA,265322959,
05234,ANTIOQUIA,DABEIBA,EPSI03,A.I.C.,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,113736607,
05234,ANTIOQUIA,DABEIBA,ESS024,COOSALUD,890984670,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,362589119,
05237,ANTIOQUIA,DON MATIAS,EPSS40,SAVIA SALUD,890905097,E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA,100331346,
05240,ANTIOQUIA,EBEJICO,EPSS40,SAVIA SALUD,890982370,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,114464190,
05250,ANTIOQUIA,EL BAGRE,EPSS40,SAVIA SALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,94117517,
05250,ANTIOQUIA,EL BAGRE,ESS024,COOSALUD,800138311,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,444595718,
05264,ANTIOQUIA,ENTRERRIOS,EPSS37,NUEVA EPS,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,11505909,
05264,ANTIOQUIA,ENTRERRIOS,EPSS40,SAVIA SALUD,890984779,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,37234197,
05266,ANTIOQUIA,ENVIGADO,EPSS40,SAVIA SALUD,890906347,ESE HOSPITAL MANUEL URIBE ANGEL,274944518,
05282,ANTIOQUIA,FREDONIA,EPSS40,SAVIA SALUD,890980181,ESE HOSPITAL DE SANTA LUCIA,126741783,
05284,ANTIOQUIA,FRONTINO,EPSI03,A.I.C.,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,59786008,
05284,ANTIOQUIA,FRONTINO,EPSS37,NUEVA EPS,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,10329255,
05284,ANTIOQUIA,FRONTINO,EPSS40,SAVIA SALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,44869000,
05284,ANTIOQUIA,FRONTINO,ESS024,COOSALUD,890906991,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,260509384,
05308,ANTIOQUIA,GIRARDOTA,EPSS40,SAVIA SALUD,890980727,E.S.E. HOSPITAL SAN RAFAEL,213015834,
05310,ANTIOQUIA,GOMEZ PLATA,EPSS40,SAVIA SALUD,890902151,E.S.E. HOSPITAL SANTA ISABEL,75808306,
05313,ANTIOQUIA,GRANADA,EPSS40,SAVIA SALUD,890981182,ESE HOSPITAL PADRE CLEMENTE GIRALDO,91186062,
05315,ANTIOQUIA,GUADALUPE,EPSS40,SAVIA SALUD,890981690,E.S.E. NUESTRA SEÑORA DE GUADALUPE,66021722,
05318,ANTIOQUIA,GUARNE,EPSS37,NUEVA EPS,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,35343107,
05318,ANTIOQUIA,GUARNE,EPSS40,SAVIA SALUD,890981719,E.S.E. NUETRA SEÑORA DE LA CANDELARIA,183229628,
05321,ANTIOQUIA,GUATAPE,EPSS40,SAVIA SALUD,890981817,E.S.E. HOSPITAL LA INMACULADA,60874928,
05347,ANTIOQUIA,HELICONIA,EPSS40,SAVIA SALUD,890981074,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,48075055,
05353,ANTIOQUIA,HISPANIA,ESS024,COOSALUD,800068653,ESE HOSPITAL SAN JUAN DEL SUROESTE,39119773,
05360,ANTIOQUIA,ITAGUI,EPSS10,SURAMERICANA,800190884,CLINICA ANTIOQUIA S.A.,57007037,
05360,ANTIOQUIA,ITAGUI,EPSS40,SAVIA SALUD,811017810,E.S.E. HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,726944859,
05361,ANTIOQUIA,ITUANGO,EPSS40,SAVIA SALUD,890980840,ESE HOSPITAL SAN JUAN DE DIOS,312450636,
05364,ANTIOQUIA,JARDIN,EPSI03,A.I.C.,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,22139943,
05364,ANTIOQUIA,JARDIN,EPSS40,SAVIA SALUD,890980732,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,138871148,
05368,ANTIOQUIA,JERICO,ESS024,COOSALUD,890980765,NUEVA ESE HOSPITAL SAN RAFAEL JERICO,146317542,
05376,ANTIOQUIA,LA CEJA,EPSS37,NUEVA EPS,900038926,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA S.A,19695060,
05376,ANTIOQUIA,LA CEJA,EPSS40,SAVIA SALUD,890980758,ESE HOSPITAL DE LA CEJA,101150074,
05380,ANTIOQUIA,LA ESTRELLA,EPSS37,NUEVA EPS,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,9499160,
05380,ANTIOQUIA,LA ESTRELLA,EPSS40,SAVIA SALUD,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,153891968,
05390,ANTIOQUIA,LA PINTADA,EPSS37,NUEVA EPS,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,17002270,
05390,ANTIOQUIA,LA PINTADA,EPSS40,SAVIA SALUD,811013792,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,77911609,
05400,ANTIOQUIA,LA UNION,EPSS40,SAVIA SALUD,890980866,E.S.E. HOSPITAL SAN ROQUE - LA UNION,138031156,
05411,ANTIOQUIA,LIBORINA,EPSS40,SAVIA SALUD,890982139,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO,129425330,
05425,ANTIOQUIA,MACEO,EPSS40,SAVIA SALUD,890906966,EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA,93070570,
05440,ANTIOQUIA,MARINILLA,EPSS37,NUEVA EPS,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,42210168,
05440,ANTIOQUIA,MARINILLA,EPSS40,SAVIA SALUD,890980752,E.S.E. SAN JUAN DE DIOS DE MARINILLA,319909943,
05467,ANTIOQUIA,MONTEBELLO,EPSS40,SAVIA SALUD,890981096,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,80638760,
05475,ANTIOQUIA,MURINDO,EPSI03,A.I.C.,800165050,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,51066892,
05475,ANTIOQUIA,MURINDO,EPSS40,SAVIA SALUD,800165050,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,56116641,
05480,ANTIOQUIA,MUTATA,EPSI03,A.I.C.,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,59720302,
05480,ANTIOQUIA,MUTATA,EPSS37,NUEVA EPS,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,42680862,
05480,ANTIOQUIA,MUTATA,EPSS40,SAVIA SALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,254465925,
05480,ANTIOQUIA,MUTATA,ESS024,COOSALUD,890981268,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ANUNCIACION,27881336,
05483,ANTIOQUIA,NARIÑO,EPSS40,SAVIA SALUD,890981652,E.S.E. HOSPITAL SAN JOAQUIN,125036266,
05490,ANTIOQUIA,NECOCLI,EPSI03,A.I.C.,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,43895900,
05490,ANTIOQUIA,NECOCLI,EPSS37,NUEVA EPS,811045925,SALUD DARIEN I.P.S. S.A.,29521681,
05490,ANTIOQUIA,NECOCLI,EPSS37,NUEVA EPS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,300191076,
05490,ANTIOQUIA,NECOCLI,EPSS40,SAVIA SALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,472464705,
05490,ANTIOQUIA,NECOCLI,EPSS41,NUEVA EPS,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,87284061,
05490,ANTIOQUIA,NECOCLI,ESS024,COOSALUD,890985603,E.S.E. HOSPITAL SAN SEBASTIÁN DE URABÁ,170553376,
05495,ANTIOQUIA,NECHI,ESS024,COOSALUD,800138011,ESE HOSPITAL LA MISERICORDIA,375514803,
05501,ANTIOQUIA,OLAYA,EPSS40,SAVIA SALUD,800202398,ESE HOSPITAL SAN MIGUEL,29612874,
05541,ANTIOQUIA,PEÑOL,EPSS37,NUEVA EPS,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,20659785,
05541,ANTIOQUIA,PEÑOL,EPSS40,SAVIA SALUD,890980486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,167050460,
05543,ANTIOQUIA,PEQUE,EPSS40,SAVIA SALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,47408428,
05543,ANTIOQUIA,PEQUE,ESS024,COOSALUD,890983675,E.S.E. HOSPITAL SAN FRANCISCO,98880004,
05576,ANTIOQUIA,PUEBLORRICO,EPSS40,SAVIA SALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,19971213,
05576,ANTIOQUIA,PUEBLORRICO,ESS024,COOSALUD,890981532,E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE PUEBLO RICO,70593553,
05579,ANTIOQUIA,PUERTO BERRIO,EPSS37,NUEVA EPS,900219765,IPS SALUD ANTIOQUIA LTDA,42319340,
05579,ANTIOQUIA,PUERTO BERRIO,EPSS40,SAVIA SALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,314499073,
05579,ANTIOQUIA,PUERTO BERRIO,ESS024,COOSALUD,890980757,ESE HOSPITAL CESAR URIBE PIEDRAHITA,43502787,
05585,ANTIOQUIA,PUERTO NARE,EPSS37,NUEVA EPS,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,39700000,
05585,ANTIOQUIA,PUERTO NARE,EPSS40,SAVIA SALUD,890985810,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,83333741,
05591,ANTIOQUIA,PUERTO TRIUNFO,EPSS40,SAVIA SALUD,890925336,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S.A.,136986800,
05604,ANTIOQUIA,REMEDIOS,EPSS40,SAVIA SALUD,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,107004499,
05604,ANTIOQUIA,REMEDIOS,ESS024,COOSALUD,890985092,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,358481276,
05607,ANTIOQUIA,RETIRO,EPSS37,NUEVA EPS,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,16586751,
05607,ANTIOQUIA,RETIRO,EPSS40,SAVIA SALUD,890982124,FUNDACION HOSPITAL SAN JUAN DE DIOS DE EL RETIRO,50526157,
05615,ANTIOQUIA,RIONEGRO,EPSS40,SAVIA SALUD,890907254,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,329224329,
05628,ANTIOQUIA,SABANALARGA,EPSS40,SAVIA SALUD,890982140,E.S.E. HOSPITAL SAN PEDRO,118075510,
05631,ANTIOQUIA,SABANETA,EPSS40,SAVIA SALUD,800123106,ESE HOSPITAL VENANCIO DIAZ DIAZ,136710620,
05642,ANTIOQUIA,SALGAR,EPSS40,SAVIA SALUD,890981424,E.S.E. HOSPITAL SAN JOSE,150170333,
05647,ANTIOQUIA,SAN ANDRES,EPSS40,SAVIA SALUD,890982113,EMPRESA SOCIAL DEL ESTADO HOSPITAL GUSTAVO GONZALEZ OCHOA,70318969,
05649,ANTIOQUIA,SAN CARLOS,EPSS40,SAVIA SALUD,890981561,E.S.E. HOSPITAL SAN VICENTE DE PAÚL,125470102,
05652,ANTIOQUIA,SAN FRANCISCO,EPSS40,SAVIA SALUD,800133887,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS,90326540,
05656,ANTIOQUIA,SAN JERONIMO,EPSS37,NUEVA EPS,890981848,E.S.E. HOSPITAL SAN LUIS BELTRAN,28182637,
05656,ANTIOQUIA,SAN JERONIMO,EPSS40,SAVIA SALUD,890981848,E.S.E. HOSPITAL SAN LUIS BELTRAN,95233924,
05658,ANTIOQUIA,SAN JOSE DE LA MONTANA,EPSS40,SAVIA SALUD,890984427,E.S.E. HOSPITAL LAUREANO PINO,20571840,
05659,ANTIOQUIA,SAN JUAN DE URABA,CCF033,EPS FAMILIAR DE COLOMBIA,800143438,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,28516000,
05659,ANTIOQUIA,SAN JUAN DE URABA,EPSS40,SAVIA SALUD,800143438,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,313380088,
05660,ANTIOQUIA,SAN LUIS,EPSS40,SAVIA SALUD,890982091,E.S.E. HOSPITAL SAN RAFAEL DE SAN LUIS,176582061,
05664,ANTIOQUIA,SAN PEDRO,EPSS37,NUEVA EPS,800014405,ESE HOSPITAL SANTA ISABEL,34076379,
05664,ANTIOQUIA,SAN PEDRO,EPSS40,SAVIA SALUD,800014405,ESE HOSPITAL SANTA ISABEL,150808224,
05665,ANTIOQUIA,SAN PEDRO DE URABA,EPSS40,SAVIA SALUD,890985660,E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ,594962795,
05665,ANTIOQUIA,SAN PEDRO DE URABA,ESS024,COOSALUD,890985660,E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ,43232951,
05667,ANTIOQUIA,SAN RAFAEL,EPSS40,SAVIA SALUD,891982128,E.S.E. HOSPITAL PRESBÍTERO ALONSO MARIA GIRALDO,169567736,
05670,ANTIOQUIA,SAN ROQUE,EPSS37,NUEVA EPS,890906211,E.S.E. HOSPITAL MUNICIPAL SAN ROQUE,23995850,
05670,ANTIOQUIA,SAN ROQUE,EPSS40,SAVIA SALUD,890906211,E.S.E. HOSPITAL MUNICIPAL SAN ROQUE,242653530,
05674,ANTIOQUIA,SAN VICENTE,EPSS40,SAVIA SALUD,890983738,E S E HOSPITAL MUNICIPIO DE SAN VICENTE,213514211,
05679,ANTIOQUIA,SANTA BARBARA,EPSS40,SAVIA SALUD,890905198,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTAMARIA,140068870,
